symbol,state,horizon,definition,n_total,nS,rateS,p0,pS,p_control,n_controls,uplift,uplift_matched,delta,CI_low,CI_high,p_perm,nS_train,pS_train,train_uplift,nS_test,pS_test,p0_test,test_uplift,delta_test,p_control_test,n_controls_test,uplift_matched_test,weeks_positive,weeks_total,n_syms_contributing,q_fdr,flag_PASS,weekly_stable
0GUSDT,S03_oi_surge,24h,A_k3.0,16704,390,0.023348,0.004909,0.000000,0.000608,3290.000000,0.000000,0.000000,-0.004909,0.000000,0.009754,1.000000,221.000000,0.000000,0.000000,165,0.000000,0.007879,0.000000,-0.007879,0.000000,1650.000000,0.000000,0.000000,8.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,24h,A_k4.0,16704,390,0.023348,0.000838,0.000000,0.000304,3290.000000,0.000000,0.000000,-0.000838,0.000000,0.009754,1.000000,221.000000,0.000000,0.000000,165,0.000000,0.001870,0.000000,-0.001870,0.000000,1650.000000,0.000000,0.000000,8.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,24h,B,16704,390,0.023348,0.365302,0.484615,0.504559,3290.000000,1.326617,0.960473,0.119314,0.435407,0.534124,0.848576,221.000000,0.461538,1.395762,165,0.503030,0.370326,1.358345,0.132704,0.496970,1650.000000,1.012195,5.000000,8.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,24h,B_adp,16704,390,0.023348,0.078963,0.179487,0.126444,3290.000000,2.273051,1.419502,0.100524,0.144583,0.220644,0.111444,221.000000,0.226244,1.838900,165,0.121212,0.034188,3.545455,0.087024,0.032727,1650.000000,3.703704,4.000000,8.000000,,0.821476,0,0
0GUSDT,S05_fund_lo_oi_hi,12h,A_k3.0,16848,182,0.010802,0.000950,0.000000,0.000000,1600.000000,0.000000,0.000000,-0.000950,0.000000,0.020671,1.000000,76.000000,0.000000,0.000000,105,0.000000,0.002096,0.000000,-0.002096,0.000000,1050.000000,0.000000,0.000000,6.000000,,1.000000,0,0
0GUSDT,S05_fund_lo_oi_hi,12h,A_k4.0,16848,182,0.010802,0.000000,0.000000,0.000000,1600.000000,0.000000,0.000000,0.000000,0.000000,0.020671,1.000000,76.000000,0.000000,0.000000,105,0.000000,0.000000,0.000000,0.000000,0.000000,1050.000000,0.000000,0.000000,6.000000,,1.000000,0,0
0GUSDT,S05_fund_lo_oi_hi,12h,B,16848,182,0.010802,0.389008,0.456044,0.534375,1600.000000,1.172327,0.853416,0.067036,0.385337,0.528568,1.000000,76.000000,0.171053,0.534694,105,0.666667,0.435666,1.530226,0.231001,0.546667,1050.000000,1.219512,3.000000,6.000000,,1.000000,0,0
0GUSDT,S05_fund_lo_oi_hi,12h,B_adp,16848,182,0.010802,0.072709,0.076923,0.096875,1600.000000,1.057959,0.794045,0.004214,0.046371,0.124966,1.000000,76.000000,0.000000,0.000000,105,0.133333,0.032888,4.054183,0.100445,0.027619,1050.000000,4.827586,1.000000,6.000000,,1.000000,0,0
0GUSDT,S05_fund_lo_oi_hi,24h,A_k3.0,16704,182,0.010896,0.004909,0.000000,0.000000,1600.000000,0.000000,0.000000,-0.004909,0.000000,0.020671,1.000000,76.000000,0.000000,0.000000,105,0.000000,0.007879,0.000000,-0.007879,0.000000,1050.000000,0.000000,0.000000,6.000000,,1.000000,0,0
0GUSDT,S05_fund_lo_oi_hi,24h,A_k4.0,16704,182,0.010896,0.000838,0.000000,0.000000,1600.000000,0.000000,0.000000,-0.000838,0.000000,0.020671,1.000000,76.000000,0.000000,0.000000,105,0.000000,0.001870,0.000000,-0.001870,0.000000,1050.000000,0.000000,0.000000,6.000000,,1.000000,0,0
0GUSDT,S05_fund_lo_oi_hi,24h,B,16704,182,0.010896,0.365302,0.576923,0.552500,1600.000000,1.579306,1.044205,0.211621,0.504283,0.646383,0.552224,76.000000,0.644737,1.949782,105,0.523810,0.370326,1.414456,0.153484,0.543810,1050.000000,0.963222,3.000000,6.000000,,1.000000,0,0
0GUSDT,S05_fund_lo_oi_hi,24h,B_adp,16704,182,0.010896,0.078963,0.192308,0.126250,1600.000000,2.435411,1.523229,0.113345,0.141648,0.255688,0.333833,76.000000,0.302632,2.459771,105,0.114286,0.034188,3.342857,0.080098,0.029524,1050.000000,3.870968,2.000000,6.000000,,1.000000,0,0
0GUSDT,S06_compress_vol,12h,A_k3.0,16848,41,0.002434,0.000950,0.000000,0.000000,410.000000,0.000000,0.000000,-0.000950,0.000000,0.085670,1.000000,6.000000,0.000000,0.000000,35,0.000000,0.002096,0.000000,-0.002096,0.000000,350.000000,0.000000,0.000000,4.000000,,1.000000,0,0
0GUSDT,S06_compress_vol,12h,A_k4.0,16848,41,0.002434,0.000000,0.000000,0.000000,410.000000,0.000000,0.000000,0.000000,0.000000,0.085670,1.000000,6.000000,0.000000,0.000000,35,0.000000,0.000000,0.000000,0.000000,0.000000,350.000000,0.000000,0.000000,4.000000,,1.000000,0,0
