,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
fib_respect_score,0.038118166105558515,0.007254317336382599,0.005456277790547581,0.012494031009514295,0.017662908781646003,0.0,0.004559871817489736,0.0,0.0,0.0,0.0
fib_time_vol_pct,0.015365994603095956,0.004417762635491762,0.00011186640094162925,0.0,0.0,0.009237795884865285,0.0,0.0,0.0,0.0,0.0
fib_time_trade_pct,0.010846795394003017,0.0,0.015975322802844083,0.010043257550941043,0.002559587185975154,0.011328157585711374,0.0,0.0,0.010119458694852312,0.0,0.00884277627426977
fib_time_vol_surprise,0.015365994603095956,0.004417762635491762,0.00011186640094162925,0.0,0.0,0.009237795884865285,0.0,0.0,0.0,0.0,0.0
golden_ratio_bs_dist,0.005635715210686065,0.0,0.0,0.004944446851967044,0.0,0.002068495256771108,0.0030349682542167855,0.0,0.0005982283332777172,0.0,0.0010027485341055353
golden_ratio_half_dist,0.02207240697911228,0.01019255765801752,0.0,0.008507346383555436,0.0,0.01825755369930082,0.0075463164117532955,0.010469821492272935,0.0008285360356428129,0.007304170612132843,0.005619785953512313
golden_quartile_pairs,0.006007703164776501,0.0,0.0,0.0,0.013488648684003568,0.0,0.0020401224449386746,0.0028467611987350594,0.0,0.006836557091993711,0.0006345641553906489
golden_ratio_composite,0.0,0.006820269581623073,0.0,0.0,0.0005731588281898681,0.0,0.0,0.0023859085879380793,0.006321983896516947,0.002092395887773879,0.005161288157028654
fib_size_ratio_count,0.04766627897271025,0.005340464561261804,0.0,0.01772533454578884,0.035715179208255954,0.0,0.005644289050922957,0.0,0.0012789200010869806,0.00013721105511343978,0.00016673458964566734
fib_size_ratio_pct,0.0072629612016363865,0.00222337364237557,0.005393293776173813,0.0,0.0,0.007316276301290614,0.0,0.006200063076967854,0.0,0.006820741484999893,0.0
fib_size_max_med_dist,0.0031480628651161524,0.001360769507313897,0.007316088584953917,0.018040640367314786,0.017048703167405144,0.027009325784695726,0.0032182218492993186,0.0,0.0,0.0,0.0
fib_wave_ratio_count,0.002533895416952703,0.0,0.010853428954061162,0.005965176796367544,0.0030529508741476974,0.0023902894167622257,0.009481586186980362,8.840178248537e-05,0.0,0.0,0.0
fib_wave_ratio_pct,0.013806975704024005,0.008828564047323795,0.0,0.0,0.0003136577403424212,0.0032293643644756287,0.014030746112971393,0.0,0.0,0.0,0.0025795816215423706
fib_wave_avg_dist,0.006938260367538529,0.0023546248098829103,0.006745924535979775,0.002377588187368218,0.011576644485501664,0.0,0.002703396782335332,0.0,0.0,0.0,0.0
fib_swing_count,0.009844207656445114,0.0032765117294353274,0.0,0.0034139613582708783,0.0,0.005659322102781861,0.016184051857210058,0.0,0.0,0.0007015649945456559,0.0
fib_updown_wave_ratio,0.0,0.0,0.0,0.01001346165867556,0.01245933228070939,0.0,0.0,0.0037386048590204446,0.0,0.002308055358763106,0.0
fib_updown_golden_dist,0.0,0.0,0.0,0.005668914239771894,0.0034379490278695357,0.005257978404126007,0.0,0.001992936962435188,0.0,0.005145141478644533,0.0
golden_angle_deviation,0.019761856034936187,0.023897409837543293,0.006610625003527382,0.028881439665277675,0.002099092846141737,0.0064881781596923815,0.010731475696982962,0.0,0.0,0.0,0.0
golden_angle_uniformity,0.01974950619165483,0.023915351599283596,0.00661746623366799,0.028910828839869396,0.002081771873293725,0.0064371697972021025,0.010760187795711751,0.0,0.0,0.0,0.0
sunflower_score,0.04780502950193988,0.01164501897939374,0.011488501921364858,0.034912181512828155,0.02540563806034335,0.015057306595997133,0.0,0.0,0.0075276596371387505,0.0,0.00502079633343433
