,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
stackelberg_buy_leader,0.022191372519825947,0.0,0.0,0.003068049038598808,0.0,0.006433701966266803,0.0,0.008542988499859572,0.007732098917579755,0.011147717226728027,0.012064784851908872
auction_clearing_speed,0.008097749395238107,0.0,0.0,0.00764640891330437,0.016323186122557676,0.0077733722551158735,0.001303571194529063,0.00381052167066942,0.0,0.006336117691700949,0.0
large_trade_centroid,0.022386575315802126,0.0,0.0,0.0,0.014529701944845819,0.011122868912216255,0.011529230362890885,0.01731273134396938,0.008958126525627108,0.019486739362577943,0.007048467507985379
large_trade_time_std,5.65982943090404e-06,0.0,0.0,0.018882761557926564,0.017900921987515694,0.0,0.0029545160635651158,0.002056226283939644,0.006534932229646184,0.0021664161570216223,0.004705472101496966
graph_transition_entropy,0.0,0.0,0.02871652800382929,0.011763130663247523,0.003453851917552875,0.0,0.012249468454165857,0.004774550318617621,0.007764752220370319,0.00480947306799262,0.010111785951493868
graph_transition_uniformity,0.0,0.0,0.02871652800382929,0.011763130663247523,0.003453851917552875,0.0,0.012249468454165857,0.004774550318617621,0.007764752220370319,0.00480947306799262,0.010111785951493868
graph_self_loop_ratio,0.032906168949833337,0.006287525082123047,0.0,0.012225891162115587,0.0,0.0,0.0,0.0,0.008373971908841149,0.0,0.009602292205180163
graph_edge_count,0.0,0.0,0.0,0.0028586165811135267,0.007032508546156446,0.005516411846197444,0.0,0.00779063779721012,0.007045016427080775,0.0067254460650865155,0.006137606547279795
graph_edge_density,0.0,0.0,0.0,0.00252214031668041,0.0071009414659095604,0.005226639285071721,0.0,0.002725842334913242,0.02476446998562354,0.0,0.023110668357690045
graph_asymmetry,0.03177534533674642,0.0,0.014548610540140672,0.0,0.0,0.015026656208963374,0.011048524699411644,0.0,0.0,0.0,0.0
price_level_recurrence,0.0,0.00029733857729308255,0.0004407318814185768,0.0,0.0,0.0,0.0,0.003220534731357194,0.0,0.0,0.0
avg_visits_per_level,0.04588775552361568,0.009331634303845426,0.0,0.0,0.0,0.0046185944701928605,0.0,0.0,0.0,0.0,0.0
max_visits_level,0.04174672658289058,0.031772209777285454,0.006696416940774164,0.011557327454455368,0.0,0.00457026656880366,0.01069283930173981,0.0,0.008149920260408727,0.0,0.010057901518258028
hurst_regime,0.013398789190845584,0.0,0.0,0.0,0.00959745588471872,0.0,0.0,0.0,0.005907214157369278,0.0,0.0089542909699305
lyapunov_exponent,0.0,0.006663088733229294,0.0010687273038803013,0.0,0.01137028911061666,0.009673550632514072,0.008113937283836137,0.015460246239120679,0.01483212936741074,0.012772802695504293,0.013986813932433062
rqa_recurrence_rate,0.0,0.017108212793186084,0.0,0.024178799979547527,0.005866505527376553,0.01673314266851733,0.0,0.004580197850590828,0.00678759837071663,0.005942025660660821,0.00241337967741595
rqa_determinism,0.0007228145270641306,0.0011658924712563135,0.0005308322425046086,0.013246212119860878,0.0,0.012109249592116456,0.003576941870391259,0.01013726158689332,0.0,0.006741284240519452,0.0
wavelet_energy_s1,0.016189623612937076,0.0,0.013094526317376065,0.0,0.0033001903210250205,0.008579475965451167,0.005124355209631837,0.0,0.0,0.0,0.0
wavelet_energy_s2,0.002447682960608155,0.0,0.00897880217918523,0.015160081653523783,0.0,0.0,0.009271307514997496,0.0,0.0,0.0,0.0
wavelet_energy_s3,0.0,0.0025672439599899732,0.0,0.001755549048464644,0.014113768204866872,0.0043414516550184246,0.011284249870087137,0.0,0.00753379278027877,0.0,0.003969612125271915
