signal,raw_n,raw_mean,raw_wr,raw_net,delayed_n,delayed_mean,delayed_net,delay_cost,declust_n,declust_mean,declust_net,cluster_ratio,declust_delayed_n,declust_delayed_mean,declust_delayed_net,shuffle_p,shuffle_effect_size,ci95_lo,ci95_hi,ci95_lo_profitable,effective_n,n_inflation,t_stat_raw,t_stat_adj,months_tested,months_profitable,months_pct_profitable,worst_month_net,best_month_net,monthly_sharpe,symbol,horizon_m
AVAXUSDT_Idea4_BTC_pump_60m,20,470.9810358863471,70.0,450.9810358863471,20.0,317.1024564154151,297.1024564154151,153.87857947093204,10.0,409.901326881582,389.901326881582,2.0,10.0,175.0600559607577,155.0600559607577,0.0,24.033758838614354,107.21220363853983,931.8688207741067,True,20.0,1.0,2.2314599188647404,2.2314599188647404,5.0,3.0,60.0,-232.09930103639363,903.4949150797686,0.4195533381218429,AVAXUSDT,60
AVAXUSDT_Idea5_spot_lead_60m,31,1377.6261279464377,70.96774193548387,1357.6261279464377,31.0,1049.297126611541,1029.297126611541,328.3290013348967,4.0,951.5860420728357,931.5860420728357,7.75,4.0,2151.8332627035866,2131.8332627035866,0.0,76.96561174223835,503.3122568504832,2544.5431480786838,True,31.0,1.0,2.556936401384521,2.556936401384521,1.0,1.0,100.0,1357.6261279464377,1357.6261279464377,,AVAXUSDT,60
AVAXUSDT_Idea3_high_IFR_60m,12,181.2191723818709,66.66666666666666,161.2191723818709,12.0,236.7581762207259,216.7581762207259,-55.539003838854995,6.0,161.57854455831327,141.57854455831327,2.0,6.0,223.09859881641952,203.09859881641952,0.0,6.596194983626033,-43.92616350633841,440.4522624858073,False,12.0,1.0,1.3400390420613248,1.3400390420613248,3.0,1.0,33.33333333333333,-135.60069144338937,259.6552015322925,-0.013591950819920325,AVAXUSDT,60
AVAXUSDT_Idea4_BTC_pump_240m,20,760.7657881486889,60.0,740.7657881486889,20.0,592.2938611563577,572.2938611563577,168.4719269923312,10.0,416.8568105698966,396.8568105698966,2.0,10.0,183.90723772078155,163.90723772078155,0.0,19.30755143257224,245.0519031291496,1370.8817704360094,True,20.0,1.0,2.6826054090374845,2.6826054090374845,5.0,3.0,60.0,-527.7528721780345,1589.4075491131498,0.2956373965530262,AVAXUSDT,240
AVAXUSDT_Idea5_spot_lead_240m,31,1815.4332043033671,70.96774193548387,1795.4332043033671,31.0,1461.7014141030925,1441.7014141030925,353.73179020027465,4.0,1299.1678855072635,1279.1678855072635,7.75,4.0,2565.804716034242,2545.804716034242,0.0,46.72956548696862,874.4411018835792,3047.186032882577,True,31.0,1.0,3.129487031861576,3.129487031861576,1.0,1.0,100.0,1795.4332043033671,1795.4332043033671,,AVAXUSDT,240
AVAXUSDT_Idea3_high_IFR_240m,12,425.98341371052646,66.66666666666666,405.98341371052646,12.0,491.17862778235303,471.17862778235303,-65.19521407182657,6.0,305.9011157627202,285.9011157627202,2.0,6.0,393.1443072025824,373.1443072025824,0.0,8.197899868305754,87.43538708369226,823.784284388887,True,12.0,1.0,2.1569529873042232,2.1569529873042232,3.0,1.0,33.33333333333333,-267.3323721142823,613.7444372447324,0.1620640055072246,AVAXUSDT,240
LINKUSDT_Idea4_BTC_pump_30m,20,1090.0362313973694,75.0,1070.0362313973694,20.0,896.8681636019639,876.8681636019639,193.16806779540548,10.0,664.103641124371,644.103641124371,2.0,10.0,500.03865290733,480.03865290733,0.0,65.67414940478331,399.53396949469425,1844.442333931288,True,20.0,1.0,2.7885246246873447,2.7885246246873447,5.0,4.0,80.0,-21.5441629551044,2110.314324513631,0.5213823935650087,LINKUSDT,30
LINKUSDT_Idea5_spot_lead_30m,34,971.7470357646135,58.82352941176471,951.7470357646135,34.0,945.638724153604,925.638724153604,26.108311611009526,5.0,115.4946780492805,95.4946780492805,6.8,5.0,460.59055201155513,440.59055201155513,0.0,73.78780771077969,319.73085363259685,1751.1503271635434,True,34.0,1.0,2.622110996341149,2.622110996341149,1.0,1.0,100.0,951.7470357646135,951.7470357646135,,LINKUSDT,30
LINKUSDT_Idea3_high_IFR_30m,17,606.0239054008646,35.294117647058826,586.0239054008646,17.0,592.8125791666264,572.8125791666264,13.211326234238186,3.0,2021.1897126793237,2001.1897126793237,5.666666666666667,3.0,1529.212845934782,1509.212845934782,0.0,36.24494502241313,-116.68071784267104,1516.895792284826,False,17.0,1.0,1.3887930775670454,1.3887930775670454,2.0,2.0,100.0,319.105920257754,602.706279472309,2.2983738779981167,LINKUSDT,30
LINKUSDT_Idea4_BTC_pump_60m,20,911.3124382073651,85.0,891.3124382073651,20.0,788.9827093137112,768.9827093137112,122.32972889365385,10.0,534.1101148714537,514.1101148714537,2.0,10.0,440.323273895905,420.323273895905,0.0,44.80053314131906,345.7424727769095,1566.2784181786435,True,20.0,1.0,2.821704150711298,2.821704150711298,5.0,4.0,80.0,-294.24852804462273,1770.6125331765481,0.42279227212986786,LINKUSDT,60
