period,signal,horizon_m,n_signals,mean_ret,win_rate,net_fees,sharpe,symbol
full,Coiled_spring,240,5099,-111.22780836058956,38.733084918611496,-131.22780836058956,-0.29798010876720193,ALLOUSDT
full,BTC_pump,30,20,1061.1022182569595,75.0,1041.1022182569595,0.4425613097218566,ANIMEUSDT
full,Coiled_spring,30,3596,-0.7160293216586883,46.85761957730812,-20.716029321658688,-0.008585503340013451,ANIMEUSDT
full,High_IFR,30,42,8.229038901612773,54.761904761904766,-11.770961098387227,0.04133569604422965,ANIMEUSDT
full,BTC_pump,60,20,961.2796011756931,85.0,941.2796011756931,0.48717327032143676,ANIMEUSDT
full,Coiled_spring,60,3596,-5.515673570731948,48.02558398220245,-25.51567357073195,-0.04039562036613293,ANIMEUSDT
full,High_IFR,60,42,-41.705772740442434,40.476190476190474,-61.705772740442434,-0.2687388049896288,ANIMEUSDT
full,BTC_pump,240,20,1204.81460252041,70.0,1184.81460252041,0.5261725934102568,ANIMEUSDT
full,Coiled_spring,240,3596,-38.32336769311546,41.12903225806452,-58.32336769311546,-0.14999129909773753,ANIMEUSDT
full,High_IFR,240,42,-176.7299956206657,30.952380952380953,-196.7299956206657,-0.3603091513556955,ANIMEUSDT
full,BTC_pump,30,19,-111.22967234027286,52.63157894736842,-131.22967234027286,-0.19196471676127214,APEXUSDT
full,Coiled_spring,30,2378,-7.8787427861559065,47.01429772918419,-27.878742786155907,-0.045592788068763115,APEXUSDT
full,High_IFR,30,2142,37.137395064799044,50.79365079365079,17.137395064799044,0.12680023116548225,APEXUSDT
full,Coiled_spring+High_IFR,30,66,-58.37105418768762,45.45454545454545,-78.37105418768762,-0.19409441046756074,APEXUSDT
full,BTC_pump,60,19,-535.9284990629992,42.10526315789473,-555.9284990629992,-0.7191091646195822,APEXUSDT
full,Coiled_spring,60,2378,12.39516671590888,52.2708158116064,-7.60483328409112,0.05381666460843982,APEXUSDT
full,High_IFR,60,2142,53.22547973581101,49.39309056956116,33.22547973581101,0.1367136050067578,APEXUSDT
full,Coiled_spring+High_IFR,60,66,68.77049059675596,45.45454545454545,48.77049059675596,0.20576394854751076,APEXUSDT
full,BTC_pump,240,19,-147.69335891377074,52.63157894736842,-167.69335891377074,-0.3097172646824551,APEXUSDT
full,Coiled_spring,240,2378,194.42502286510035,60.050462573591254,174.42502286510035,0.39306719469668533,APEXUSDT
full,High_IFR,240,2142,88.62337851962629,53.54808590102708,68.62337851962629,0.14042944699962748,APEXUSDT
full,Coiled_spring+High_IFR,240,66,193.10791516584732,57.57575757575758,173.10791516584732,0.25794025095263456,APEXUSDT
full,BTC_pump,30,20,763.4855459804629,70.0,743.4855459804629,0.5631352143872267,APTUSDT
full,Spot_leads,30,74,438.73817697352547,55.4054054054054,418.73817697352547,0.2600099363012793,APTUSDT
full,Coiled_spring,30,2076,-6.16558021599345,45.18304431599229,-26.16558021599345,-0.09080058624685655,APTUSDT
full,BTC_pump,60,20,419.97293790498406,60.0,399.97293790498406,0.4734647291677454,APTUSDT
full,Spot_leads,60,74,448.37330692664455,58.108108108108105,428.37330692664455,0.3232957124486546,APTUSDT
full,Coiled_spring,60,2076,-1.5598213697494385,49.13294797687861,-21.55982136974944,-0.017896367737365804,APTUSDT
full,BTC_pump,240,20,600.5603262581575,55.00000000000001,580.5603262581575,0.532336144500415,APTUSDT
full,Spot_leads,240,73,582.0438642368247,72.6027397260274,562.0438642368247,0.40095296910096645,APTUSDT
full,Coiled_spring,240,2076,-22.46833448323512,51.252408477842,-42.468334483235125,-0.10473267747520408,APTUSDT
full,BTC_pump,30,20,1326.7306847794293,70.0,1306.7306847794293,0.5617776444039945,ARBUSDT
full,Spot_leads,30,41,1137.900606592601,56.09756097560976,1117.900606592601,0.4293020204859732,ARBUSDT
full,Coiled_spring,30,6175,-1.6327019668551197,44.92307692307692,-21.63270196685512,-0.029256540335533963,ARBUSDT
full,High_IFR,30,12,1297.5961551152322,25.0,1277.5961551152322,0.4718955216378365,ARBUSDT
full,BTC_pump,60,20,1029.571550820453,75.0,1009.571550820453,0.5255764134156301,ARBUSDT
full,Spot_leads,60,41,930.2118655420468,56.09756097560976,910.2118655420468,0.4057992081751384,ARBUSDT
