pair,signal,direction,horizon_m,n_signals,mean_ret,median_ret,win_rate,net_fees,avg_corr
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,short_EIGE,240,53983,16.26270307890742,19.535174106751754,56.90865642887576,-23.73729692109258,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,long_EIGE,240,69346,3.7005050297505875,5.828710536791018,52.11692094713466,-36.29949497024941,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,short_EIGE,15,25710,4.644097997904301,4.582353285874643,55.258654220147804,-35.355902002095696,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,long_EIGE,15,31732,2.2565257206162412,0.9564112760146468,51.36140173956889,-37.74347427938376,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,short_EIGE,30,25710,6.265209356050769,7.653613844663674,56.49552703228316,-33.73479064394923,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,long_EIGE,30,31732,2.493972651531694,1.7791736852984457,51.752174461111814,-37.50602734846831,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,short_EIGE,60,25710,5.863487395110945,10.782146270752467,56.371061843640604,-34.136512604889056,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,long_EIGE,60,31732,2.5800753880639795,2.8961306076707967,52.10828186058237,-37.41992461193602,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,short_EIGE,240,25710,16.2038602206658,20.540921212406356,57.14896927265656,-23.7961397793342,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb720,long_EIGE,240,31732,7.327040678300764,8.87864362357491,53.30896256145217,-32.67295932169924,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,short_EIGE,15,10727,8.52640497750933,5.949314219775292,55.69124638762002,-31.47359502249067,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,long_EIGE,15,12189,3.245779348671323,1.3137114347161543,51.587496923455575,-36.75422065132868,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,short_EIGE,30,10727,9.900885367872425,9.69682441475328,57.07094248158852,-30.099114632127574,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,long_EIGE,30,12189,2.9491628860009693,2.457979824077583,52.169989334646,-37.05083711399903,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,short_EIGE,60,10727,5.982065118467849,12.48251020188107,56.5955066654237,-34.01793488153215,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,long_EIGE,60,12189,1.8400578395062177,4.027953044586354,52.539174665682175,-38.159942160493785,0.7794260835245135
