variant,leader_dir,fwd_horizon_m,n_followers,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ETH_3m>100bps_lag,down,1,53,2010,2.618458209977855,-2.2300632146005084,46.25658574181568,-0.0011865156086552154,-17.381541790022148
ETH_1m>75bps,down,3,142,17182,2.604126115453217,-19.04858283483816,39.01156318140175,0.0006906996849344637,-17.395873884546784
BTC_5m>30bps_lag,down,10,145,68249,2.6029009524815647,-1.4578961004279176,47.99205815739046,-0.006607986338930289,-17.397099047518434
BTC_3m>30bps_lag,down,5,145,36310,2.588254272297177,0.7071424260246119,49.66476276089118,0.032326708170069246,-17.411745727702822
ETH_5m>30bps,up,15,145,2445311,2.5878999582656466,-3.086932283875197,47.100056909238845,0.01678951746555908,-17.412100041734355
SOL_3m>100bps_lag,down,1,75,3266,2.5821811329814595,-0.5999568561412262,46.384755947617016,0.004297451687088174,-17.41781886701854
BTC_5m>75bps,down,10,145,66091,2.5753593248919158,-17.011864745991833,43.06068468032057,0.0075331384356819905,-17.424640675108083
SOL_5m>50bps,up,5,145,1071023,2.5625793067233276,-1.7312946599213284,46.858157515611126,0.030820616024883098,-17.437420693276675
ETH_5m>30bps,up,10,145,2445312,2.5369508128665057,-2.082665953679353,47.238498321799796,0.020879770977661267,-17.463049187133496
SOL_3m>30bps,up,5,145,1966334,2.4805370546034426,-1.2482509021516528,47.02765954604262,0.030766346328528444,-17.519462945396555
ETH_3m>30bps_lag,up,5,145,126509,2.4667226922041254,0.17095657747242418,49.02786882236529,0.05182613614399955,-17.533277307795874
ETH_1m>30bps_lag,down,1,145,33671,2.447913173461319,1.059400789602473,49.694472303263794,0.0654131437262658,-17.55208682653868
ETH_5m>50bps,up,3,145,808072,2.443343936317425,-1.7257991521508218,46.32921203541556,0.026612185245198917,-17.556656063682578
ETH_5m>75bps,up,1,145,285931,2.430820573549342,-0.252328596021461,47.02784805671682,0.03478338967244683,-17.569179426450656
SOL_3m>50bps,up,1,145,544772,2.4227315913851055,-0.028684764464665027,47.54517951473032,0.04738766837830489,-17.577268408614895
ETH_3m>30bps,up,5,145,1448846,2.3393542256642808,-1.8157225265546204,46.694832496605514,0.0258501463899922,-17.66064577433572
ETH_3m>75bps,down,5,145,108569,2.306014619053004,-11.852024561680215,41.94799218427062,-0.000464966201763341,-17.693985380946998
BTC_5m>75bps_lag,up,1,81,3727,2.2942867579237323,0.035926478225947515,47.76714507657113,0.04974869271029035,-17.705713242076268
BTC_3m>30bps,down,5,145,527148,2.2707568093534745,-2.1115585189419583,47.03302708627856,0.011132422168275148,-17.729243190646525
ETH_5m>30bps_lag,up,10,145,213919,2.255243509170814,-0.3568907791584126,48.762256770524196,0.0350149582915602,-17.744756490829186
SOL_5m>75bps,up,1,145,362685,2.25449288961513,-0.031482697468684644,47.53272075298077,0.04535190615199452,-17.74550711038487
SOL_1m>30bps_lag,down,1,145,48215,2.2374922835828235,1.4450063789089862,51.0790542350436,0.06997142212943307,-17.762507716417176
BTC_3m>30bps_lag,down,3,145,36310,2.2244207015972277,1.1623230908928024,50.0674932160781,0.04619540055814521,-17.77557929840277
ETH_5m>100bps_lag,down,1,98,6403,2.201528264591556,1.847859137203009,50.40406040192058,0.03397317854231192,-17.798471735408445
BTC_5m>30bps,up,3,145,983888,2.1517188468798985,-1.3504596077457935,46.540777382559185,0.032522302829544304,-17.8482811531201
ETH_5m>30bps_lag,up,15,145,213919,2.1406015900475377,-1.1076374792067705,48.43636033604609,0.027391883365327312,-17.859398409952462
SOL_5m>30bps,up,15,145,3308048,2.1292530943641608,-2.3198943223754447,47.38785276757077,0.01726741284684461,-17.870746905635837
SOL_5m>30bps_lag,up,30,145,374329,2.122925080377787,-1.9972167701900698,48.177474908515535,0.018951931299329653,-17.877074919622213
BTC_3m>30bps,up,1,145,526197,2.1127702121388086,-0.3100633641374408,46.74126663450526,0.04305550324629055,-17.88722978786119
SOL_3m>50bps_lag,down,30,145,45729,2.095799490415196,-1.0124436029584216,49.059814675050866,0.006093505844855968,-17.904200509584804
ETH_1m>30bps,up,1,145,377228,2.0779017331889595,-0.22257505322945415,47.39347797664085,0.03640114278457752,-17.92209826681104
SOL_5m>50bps,up,3,145,1071023,2.0644004094462236,-0.9355243946278169,46.99721959014382,0.032423949168027134,-17.935599590553775
SOL_3m>30bps,up,3,145,1966334,2.0581216278904453,-0.502034278407433,47.28584713204934,0.03400476408483252,-17.941878372109556
ETH_3m>30bps,up,3,145,1448846,2.0475538471815895,-0.9574297993039563,46.8965308217531,0.029429229271874715,-17.95244615281841
