signal,direction,horizon_m,n_symbols,total_sigs,mean_ret,mean_wr,net_fees
coiled_v0.1_oi3.0_momdn,short,60,146,20941,-0.31791580617798615,50.13609489365745,-20.317915806177986
coiled_v0.2_oi2.0_momdn,short,15,148,74373,-0.33009116060527344,48.510715748121676,-20.330091160605274
coiled_v0.2_oi3.0_momdn,short,30,146,38130,-0.3377303172315481,49.02760984367071,-20.33773031723155
coiled_v0.2_oi3.0_momdn,short,60,146,38130,-0.35697025295112184,49.81395340171416,-20.356970252951122
oipricediv_p100_oi5.0_weak,short,15,147,63102,-0.38500745169509104,51.17524138991309,-20.385007451695092
coiled_v0.1_oi3.0_momdn,short,15,146,20941,-0.46636517314180154,48.05034448633872,-20.466365173141803
coiled_v0.1_oi3.0_momdn,short,30,146,20941,-0.4847907632736939,49.14730380195461,-20.484790763273693
coiled_v0.1_oi1.0_momdn,short,30,148,98348,-0.5108047691270204,48.28589350148804,-20.51080476912702
coiled_v0.15_oi1.0_momdn,short,30,148,135425,-0.5191089549547666,48.41604661474541,-20.519108954954767
coiled_v0.15_oi1.0_momup,long,15,148,137318,-0.5533441856589104,46.30501297340913,-20.553344185658908
coiled_v0.1_oi3.0_momup,long,30,147,21632,-0.5957184619959992,45.61721749751092,-20.595718461995997
coiled_v0.2_oi1.0_momup,long,240,148,173410,-0.6037236466268593,46.212048261972015,-20.60372364662686
coiled_v0.15_oi1.0_momup,long,30,148,137318,-0.6065272140643702,46.33844321986321,-20.60652721406437
coiled_v0.2_oi2.0_momdn,short,60,148,74373,-0.6302642464485779,49.35375243419718,-20.630264246448576
coiled_v0.2_oi2.0_momup,long,60,148,76347,-0.6582271358613381,46.434487107929705,-20.65822713586134
coiled_v0.2_oi1.0_momup,long,15,148,173410,-0.6732778614689015,46.308107070096554,-20.6732778614689
coiled_v0.15_oi2.0_momup,long,30,148,59635,-0.6986699481451936,46.298166764528226,-20.69866994814519
volbreak_c0.2_x3.0_up,long,240,18,238,-0.7365096248110383,46.17541771953537,-20.73650962481104
coiled_v0.15_oi3.0_momdn,short,30,146,29489,-0.745897009937959,48.820779348928816,-20.74589700993796
oipricediv_p50_oi2.0_weak,short,15,148,377324,-0.8264567229770773,50.86673226592553,-20.826456722977078
coiled_v0.15_oi2.0_momup,long,15,148,59635,-0.8348475158072065,46.27834684497327,-20.83484751580721
coiled_v0.2_oi2.0_momdn,short,30,148,74373,-0.9023519383619432,48.88119523048782,-20.902351938361942
coiled_v0.2_oi1.0_momup,long,30,148,173410,-0.9878479733187844,46.288235589346634,-20.987847973318786
oipricediv_p100_oi2.0_weak,short,15,148,296217,-1.0172031564859265,50.92009844101455,-21.017203156485927
coiled_v0.15_oi3.0_momdn,short,60,146,29489,-1.0209981161247712,49.93700895595027,-21.02099811612477
coiled_v0.2_oi2.0_momup,long,15,148,76347,-1.0211828297434475,46.264232727180435,-21.021182829743445
coiled_v0.1_oi2.0_momdn,short,30,148,41613,-1.0496220754927585,48.52447449949434,-21.049622075492756
oipricediv_p100_oi5.0_weak,short,30,147,63102,-1.0501922486795896,52.13766868730174,-21.05019224867959
coiled_v0.2_oi2.0_momup,long,30,148,76347,-1.114426832006686,46.15280486105431,-21.114426832006686
oipricediv_p50_oi2.0_accum,long,30,148,404919,-1.1318268001199834,48.860632523355726,-21.131826800119985
oipricediv_p100_oi2.0_accum,long,30,148,324785,-1.1409438632148017,48.92363551909467,-21.1409438632148
coiled_v0.2_oi1.0_momup,long,60,148,173410,-1.1905655332373006,45.947361214474626,-21.1905655332373
coiled_v0.15_oi2.0_momdn,short,30,148,58107,-1.204654254937514,48.49590034841473,-21.204654254937516
coiled_v0.1_oi2.0_momdn,short,60,148,41613,-1.213518234979978,49.05021434566337,-21.21351823497998
coiled_v0.2_oi2.0_momup,long,240,148,76347,-1.2199719721121205,46.26186872186852,-21.21997197211212
coiled_v0.15_oi2.0_momdn,short,60,148,58107,-1.3268458751102967,49.07300520866343,-21.326845875110294
coiled_v0.1_oi3.0_momup,long,15,147,21632,-1.4933896599002299,45.57072959098676,-21.49338965990023
coiled_v0.2_oi3.0_momup,long,60,147,39530,-1.4995945935927493,45.291543196084014,-21.499594593592747
oipricediv_p50_oi2.0_weak,short,30,148,377324,-1.5205521983783437,51.29379434877841,-21.520552198378343
oipricediv_p100_oi2.0_weak,short,30,148,296217,-1.8923496614442263,51.3622396164591,-21.89234966144423
coiled_v0.2_oi3.0_momup,long,30,147,39530,-1.9896902006713508,45.43799583772469,-21.98969020067135
coiled_v0.2_oi3.0_momup,long,15,147,39530,-2.039177527617937,45.50887155014657,-22.039177527617937
coiled_v0.15_oi3.0_momup,long,15,147,30650,-2.135122968779461,45.51687816638453,-22.135122968779463
coiled_v0.15_oi3.0_momup,long,30,147,30650,-2.143246241420574,45.33292882749901,-22.143246241420574
oipricediv_p50_oi2.0_accum,long,60,148,404919,-2.34881074068791,48.90615702395721,-22.34881074068791
oipricediv_p100_oi2.0_accum,long,60,148,324785,-2.6993569404638453,48.97144338758365,-22.699356940463844
oipricediv_p50_oi5.0_weak,short,60,148,74819,-3.134936175863835,52.349752598345646,-23.134936175863835
oipricediv_p50_oi2.0_weak,short,60,148,377324,-3.214678046643091,51.83537030052914,-23.21467804664309
oipricediv_p100_oi2.0_weak,short,60,148,296217,-3.7584497938673267,51.92454138765634,-23.758449793867328
volbreak_c0.15_x2.0_up,long,15,145,7772,-4.588957527694434,46.058714911752695,-24.588957527694433
volbreak_c0.2_x2.0_up,long,15,145,9283,-4.946326515217268,45.96034240507303,-24.94632651521727
oipricediv_p100_oi5.0_weak,short,60,147,63102,-5.49146837622354,52.331970911851265,-25.49146837622354
volbreak_c0.2_x2.0_dn,short,60,143,7365,-5.677362322938926,44.00453116161796,-25.677362322938926
volbreak_c0.15_x3.0_up,long,240,15,190,-6.597855768331071,47.2519735166794,-26.59785576833107
oipricediv_p50_oi5.0_weak,short,240,148,74819,-8.28877794623644,52.4973957542657,-28.28877794623644
oipricediv_p50_oi2.0_weak,short,240,148,377324,-8.69145267762125,52.0989853751848,-28.69145267762125
oipricediv_p100_oi2.0_weak,short,240,148,296217,-9.937722088892114,52.24457506363403,-29.937722088892112
volbreak_c0.15_x2.0_up,long,30,145,7772,-10.014700724343705,44.44962014461948,-30.014700724343705
volbreak_c0.2_x2.0_up,long,30,145,9283,-10.066170682028991,44.389601991540474,-30.066170682028993
oipricediv_p50_oi2.0_accum,long,240,148,404919,-13.360897300478369,48.307421918891826,-33.36089730047837
oipricediv_p100_oi5.0_accum,long,240,148,92551,-13.842295587241887,48.42487891280907,-33.842295587241885
oipricediv_p100_oi5.0_weak,short,240,147,63102,-14.673644034428676,52.488742271409365,-34.673644034428676
oipricediv_p50_oi5.0_accum,long,240,148,107472,-14.812791927908162,47.864543389578834,-34.81279192790816
oipricediv_p100_oi2.0_accum,long,240,148,324785,-15.037915409648186,48.4136051430173,-35.037915409648186
volbreak_c0.15_x2.0_up,long,60,145,7772,-20.388930668322203,42.51065602714733,-40.3889306683222
volbreak_c0.2_x2.0_up,long,60,145,9283,-23.208619042966923,41.91064990237098,-43.208619042966916
volbreak_c0.15_x2.0_up,long,240,145,7772,-34.38208396834353,43.43343733113771,-54.38208396834353
volbreak_c0.2_x2.0_up,long,240,145,9283,-38.844326273069655,42.070150174822125,-58.84432627306966
volbreak_c0.2_x3.0_dn,short,15,4,51,-171.566072877297,55.238095238095234,-191.566072877297
volbreak_c0.2_x3.0_dn,short,30,4,51,-280.0596031169171,46.388888888888886,-300.0596031169171
volbreak_c0.15_x3.0_dn,short,15,3,40,-283.131793075454,41.28364389233954,-303.131793075454
volbreak_c0.15_x3.0_dn,short,30,3,40,-466.38314152783596,31.73913043478261,-486.38314152783596
volbreak_c0.2_x3.0_dn,short,60,4,51,-753.1721497761271,43.888888888888886,-773.1721497761271
volbreak_c0.15_x3.0_dn,short,60,3,40,-1143.0881366083627,24.05797101449275,-1163.0881366083627
volbreak_c0.2_x3.0_dn,short,240,4,51,-1264.7163998223284,56.48148148148148,-1284.7163998223284
volbreak_c0.15_x3.0_dn,short,240,3,40,-1889.4776665396414,43.47826086956522,-1909.4776665396414
