signal,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
fr_diverge_z2.0,short,30,145,276644,6.494119370121169,19.040753804147588,51.88724774136853,0.0028266743940076307,-13.505880629878831
ifr_level_gt5.0_fade,short_contrarian,240,147,1870614,6.274089581013754,29.32631564222444,55.026286223664805,0.06942963869984582,-13.725910418986246
ifr_revert_z3.0_w240,long,15,147,530752,5.730926993146952,1.251375087630174,49.907205061015055,0.019351632037388853,-14.269073006853048
ifr_revert_z2.5_w60,long,30,147,884942,5.532045270882455,0.36843500240227856,49.46439150947881,0.017912895603241347,-14.467954729117546
ifr_revert_z2.5_w240,long,30,147,976867,5.440180347362146,0.927340954445697,49.7447021844326,0.016733566448039586,-14.559819652637856
ifr_revert_z3.0_w60,long,15,147,468143,5.409783501220304,0.3374840294671881,49.29963562295552,0.018656761212410364,-14.590216498779695
ifr_revert_z2.0_w240,long,60,147,1892438,5.185343942783905,0.32936632177634545,49.6244315968811,0.016608706186160737,-14.814656057216096
fr_diverge_z1.5,long,5,147,5744613,4.9460144321896475,1.9350511443427623,49.675030107434004,0.019015145813223965,-15.053985567810352
ifr_revert_z2.0_w60,long,60,147,1774347,4.693040708953169,-0.5120803533377734,49.220060825060195,0.013869871624369534,-15.30695929104683
ifr_revert_z3.0_w60,short,240,147,187749,4.539502729549958,16.508065710493614,52.7496419055919,0.026398135209942913,-15.460497270450043
ifr_revert_z2.0_w240,long,30,147,1892438,4.329628703260119,0.9033499217659403,49.81359326301434,0.01695768817531657,-15.670371296739882
ifr_revert_z2.5_w240,short,240,147,335833,4.2962312224033665,17.091123598920984,52.70807544663815,0.023151360840923115,-15.703768777596634
ifr_revert_z2.0_w60,long,30,147,1774347,4.197720774417048,0.4071897015667765,49.456653193984664,0.016108849731178446,-15.802279225582954
fr_diverge_z1.5,short,15,145,498725,4.188333526613761,7.434209626096195,51.449735289355395,0.009880610193051448,-15.81166647338624
ifr_revert_z2.0_w240,short,60,147,727115,3.928621988346997,5.98362306889788,51.97917744825853,0.023911592561447564,-16.071378011653003
ifr_revert_z2.5_w240,long,15,147,976867,3.870672510290272,1.1053587813126238,49.832948260652884,0.017207140968039356,-16.129327489709727
ifr_revert_z2.5_w60,long,15,147,884942,3.777421440538568,0.5391497615796695,49.43619538246948,0.017551264433436218,-16.222578559461432
ifr_mom15_gt5.0,long,240,147,5293173,3.6975514837364702,-9.313535625307473,48.12704292495809,0.005361921049512587,-16.30244851626353
fr_diverge_z2.0,short,15,145,276644,3.4830085096622896,8.563298736446985,51.03509733342065,0.003463200189581632,-16.51699149033771
ifr_revert_z2.0_w240,short,30,147,727115,3.3415597569151623,4.35336604943994,51.850236051354955,0.024857698818990033,-16.658440243084836
ifr_revert_z2.0_w60,short,60,147,748224,3.317651251954943,5.6701489200244,51.658452711756134,0.01523142134710163,-16.682348748045055
ifr_revert_z2.0_w60,short,30,147,748224,3.239203422197764,3.95945486171677,51.39375683123997,0.018597277754444336,-16.76079657780224
