follower,direction,horizon_m,n_signals,raw_alt_ret,raw_btc_fwd,excess_ret,beta_adj_ret,alt_already_moved,raw_net_fees,excess_net_fees,beta_adj_net_fees,raw_wr,excess_wr,lag_1m,lag_2m,lag_3m,lag_5m
BIOUSDT,down,3,15,907.3945419424575,-0.9633323316777137,908.3578742741353,827.5422802541572,1870.3273543045682,887.3945419424575,888.3578742741353,807.5422802541572,60.0,60.0,633.3427794598737,284.6491235175976,-221.31484616201143,-1030.3102633388771
BIOUSDT,down,5,15,832.6917236859924,-12.953192249738352,845.6449159357311,862.6791492745969,1870.3273543045682,812.6917236859924,825.6449159357311,842.6791492745969,46.666666666666664,53.333333333333336,226.83537832060992,-435.4101176185288,-1087.5778932022824,-2001.0713759930914
BIOUSDT,down,10,15,-986.7463229373633,-70.96305092865354,-915.78327200871,-781.3206462962116,1870.3273543045682,-1006.7463229373633,-935.78327200871,-801.3206462962116,46.666666666666664,46.666666666666664,-1827.3659297009924,-2508.3910321759568,-3104.6849652649526,-3575.572664936593
BIOUSDT,down,15,15,-1789.059578648309,-169.29114963283862,-1619.7684290154705,-1200.3038042243227,1870.3273543045682,-1809.059578648309,-1639.7684290154705,-1220.3038042243227,40.0,40.0,-2415.870710823222,-2906.135518005083,-3369.902877703004,-3633.394835389932
BIOUSDT,down,30,15,-3055.7679933631107,-290.8398314579224,-2764.928161905188,-2027.4566441757243,1870.3273543045682,-3075.7679933631107,-2784.928161905188,-2047.4566441757243,33.33333333333333,33.33333333333333,,,,
BNBUSDT,up,1,20,17.96572545703523,-2.380852355945096,20.346577812980332,8.727479931276122,285.4429781231559,-2.03427454296477,0.34657781298033186,-11.272520068723878,45.0,55.00000000000001,48.00527470577982,-20.346143685617438,-26.207701679454686,-6.198805057821609
BNBUSDT,up,3,20,44.350543006904886,-13.225277502998017,57.575820509902904,48.016420577057794,285.4429781231559,24.350543006904886,37.575820509902904,28.016420577057794,45.0,70.0,1.9870533468422373,-55.121487921890264,-40.88707908021111,72.94742961589773
BNBUSDT,up,5,20,7.806444564674666,23.278436586443966,-15.471992021769296,-39.913219904896046,285.4429781231559,-12.193555435325333,-35.471992021769296,-59.913219904896046,35.0,45.0,-12.425007118468724,-26.22285087751619,36.45171861713141,113.11780316236536
BNBUSDT,up,10,20,116.74549843985999,44.15531188304378,72.59018655681622,29.449225959872678,285.4429781231559,96.74549843985999,52.59018655681622,9.449225959872678,60.0,70.0,142.812388797531,146.33447533233442,176.7816942612405,171.95775506485333
BNBUSDT,up,15,20,179.66247442208095,91.02041998680915,88.64205443527177,24.71807216074843,285.4429781231559,159.66247442208095,68.64205443527177,4.718072160748431,55.00000000000001,60.0,173.78833340462626,148.5155975435852,173.3155954808656,217.95785172331142
