variant,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
LS>0.7_noOI,long,15,31,37291,13.575573452401375,-2.318507689077917,48.67262939299086,0.09461950930985194,-6.424426547598624
LS>0.65_OI>1.5σ_extended,short,240,140,257853,13.375248599078153,19.9245309972449,54.40791806952961,0.06841796658535781,-6.6247514009218476
LS>0.75_noOI_extended,short,240,108,923666,13.219397803910434,15.622874774280588,51.87750651268874,0.03925496693068367,-6.780602196089564
LS>0.65_noOI_extended,long,15,43,34807,13.064259412747917,4.188619589161444,51.575933430983916,0.1143643786705557,-6.9357405872520825
LS>0.75_noOI_extended,long,60,21,4397,12.897466314827946,45.343786190948066,55.32707241838087,0.26457867549766717,-7.102533685172053
LS>0.7_OI>1.5σ,long,5,25,3426,12.838449004946712,2.6882927849144265,48.48923606322296,0.006546441940028272,-7.161550995053289
LS>0.65_OI>2.5σ,long,5,32,1756,12.827774147170187,0.6174881317301021,47.8757407179627,-0.16998564873965247,-7.172225852829813
LS>0.75_OI>3.0σ_extended,short,15,89,12424,12.704082712294596,10.56186951734565,51.56390373811025,-0.009514297237467693,-7.295917287705405
LS>0.72_OI>2.0σ_extended,short,60,110,78605,12.421583046996108,12.268095435136567,54.752885120545635,0.08065301000526666,-7.5784169530038925
LS>0.72_noOI,long,15,25,23556,12.22268173883423,3.399084057554069,48.81064598099914,0.06337888235814783,-7.777318261165767
LS>0.65_OI>1.5σ,short,240,140,669179,12.208841683159571,13.817588858074801,52.798650622724615,0.0418260970115415,-7.791158316840428
LS>0.7_OI>2.0σ,long,5,23,1690,12.129247996066221,-0.4750595509368133,47.78876769774756,0.00788928014492022,-7.870752003933779
LS>0.7_OI>1.5σ,long,15,25,3426,11.969329890540205,-5.224757911249213,48.2527238186038,0.018610558186622238,-8.030670109459795
LS>0.65_OI>1.5σ,long,5,38,7751,11.617912982102615,5.3429277378998155,51.48291874634573,0.09540425758277063,-8.382087017897385
LS>0.7_OI>2.5σ,short,60,119,118237,11.371071350754654,8.919312424273866,52.81061370944187,0.07100924356607456,-8.628928649245347
LS>0.72_OI>2.0σ,short,60,116,201461,11.289804933630787,8.47641964570693,51.74337713258292,0.026593400986729732,-8.710195066369213
LS>0.68_OI>2.0σ_extended,short,60,125,114650,11.220385810378934,13.878329505063066,54.54745926381511,0.06771451219146918,-8.779614189621066
LS>0.68_OI>2.0σ,long,5,25,2483,11.188240521870119,4.347470222260097,48.181348592704225,0.03002355228063621,-8.811759478129881
LS>0.75_noOI_extended,short,60,108,923666,11.06534945101656,11.293259040375279,52.543007824563624,0.1310777186003569,-8.934650548983441
LS>0.75_OI>2.5σ_extended,short,60,97,26208,10.954557621039017,9.768568988838672,53.130934416827586,0.04452332114892426,-9.045442378960983
LS>0.65_OI>3.0σ,long,15,26,770,10.701070802921059,-8.7142289915332,42.08536099183287,0.009754379821529277,-9.298929197078937
LS>0.75_noOI,long,15,22,8651,10.66823445634571,-5.616254615401293,50.305074940750266,0.0915232590054109,-9.33176554365429
LS>0.7_OI>1.5σ_extended,short,60,122,179964,10.667918841340402,13.572041503804646,55.20765267965278,0.10319578004731365,-9.332081158659598
LS>0.65_OI>2.5σ_extended,short,60,139,71667,10.564423588074602,14.487448087700631,54.661927373883415,0.07096143392107988,-9.435576411925398
LS>0.75_OI>3.0σ_extended,short,30,89,12424,10.52804912442484,10.690400652693866,52.65914221038279,0.03284597985887454,-9.47195087557516
LS>0.68_OI>1.5σ,long,5,30,4977,10.461182820181703,2.4369244323344903,51.294733137075035,0.04586621075283551,-9.538817179818297
LS>0.65_noOI,long,5,46,80674,10.346492613529973,8.592099819570745,51.27694643430831,-0.009506135037690062,-9.653507386470027
LS>0.7_OI>3.0σ,short,60,117,54540,10.041480028027657,13.039269291152907,52.662820164460264,0.05600228802776205,-9.958519971972343
LS>0.72_OI>1.5σ,long,5,21,2151,9.748830224964482,-3.570983074005073,47.454640960718905,0.02756800650501195,-10.251169775035518
LS>0.65_OI>3.0σ_extended,long,5,21,258,9.67153028864555,-5.1453517671862254,47.91059193766197,0.0015127022989522895,-10.328469711354451
LS>0.68_OI>3.0σ,short,60,127,64477,9.475447596167049,8.713032643534095,51.628096335534856,0.012958578361414846,-10.524552403832951
LS>0.65_noOI_extended,long,5,43,34807,9.436749314846434,6.435155032875823,50.59779598144879,0.038200301780395685,-10.563250685153566
LS>0.75_OI>2.0σ_extended,short,60,98,52871,9.374090616650493,8.595634509756136,53.59609110353705,0.07151796159698791,-10.625909383349507
LS>0.7_noOI_extended,short,240,125,1641644,9.244323702746687,7.5336831904768875,52.69468268514212,0.03956128378606499,-10.755676297253313
LS>0.75_noOI,short,60,109,2648500,9.180886836699361,5.4347450094056065,50.80705669573791,0.05506489650925848,-10.819113163300639
LS>0.7_noOI,short,240,126,4675405,8.76531953874626,4.663986062744189,50.75761365264072,0.026159092700549523,-11.234680461253742
LS>0.68_OI>2.5σ,short,60,128,139162,8.713898640577355,7.058245332924041,50.87245040228127,0.017105125315680803,-11.286101359422645
LS>0.68_OI>2.5σ_extended,short,30,125,57780,8.510112932673847,9.613291993892332,54.225851212120624,0.07693747582833216,-11.489887067326153
LS>0.68_OI>1.5σ,short,60,135,554782,8.435433583647166,9.20114219834327,51.19539147913464,-0.005039361087692419,-11.564566416352834
LS>0.72_noOI_extended,long,30,23,10894,8.408570762397515,-11.718462900084841,49.60925988506601,0.07249620988904082,-11.591429237602485
LS>0.68_noOI,long,60,35,53330,8.328996871991803,-15.278222506581207,46.26719550722877,-0.0091143042628731,-11.671003128008197
LS>0.75_OI>1.5σ_extended,short,60,101,99017,8.313076502659102,10.387445507678741,53.08061601655423,0.06353421612264726,-11.686923497340898
LS>0.68_OI>1.5σ_extended,short,60,128,211098,8.27587318896752,11.326692564007239,53.73976232027172,0.05769025117955755,-11.72412681103248
LS>0.7_OI>2.0σ,short,60,123,246436,8.18560639973984,4.890991986767697,51.7507218400245,0.06431966135398952,-11.81439360026016
LS>0.7_OI>2.5σ_extended,short,30,116,48641,8.138575711119646,7.262430422773324,53.654586596242574,0.0583108721960227,-11.861424288880354
LS>0.72_OI>1.5σ_extended,short,60,114,146485,7.973948882773441,14.77798850319574,54.75755988027825,0.07736496678651758,-12.026051117226558
LS>0.72_noOI_extended,short,60,119,1350548,7.957059777990358,11.311130753614409,53.48025322208293,0.05199275186334377,-12.042940222009642
LS>0.65_OI>2.5σ,short,60,140,169650,7.9508941947574305,8.769051322723296,52.50924154041303,0.05418891486195628,-12.04910580524257
LS>0.75_OI>3.0σ,short,15,98,29455,7.789973380850486,3.0906204165297466,52.0292097414528,0.08892718728490515,-12.210026619149515
LS>0.72_OI>3.0σ,short,60,111,44307,7.785275949268487,4.84838788666218,51.057299088769454,0.055845993856972205,-12.214724050731512
LS>0.68_OI>3.0σ_extended,short,30,121,28004,7.447297206260043,12.678101954922331,54.24597447901769,0.061176768153065234,-12.552702793739957
LS>0.7_OI>2.0σ_extended,short,30,119,97167,7.407936861529407,8.421125103518023,54.23244653032828,0.07892297874247985,-12.592063138470593
LS>0.68_OI>2.0σ_extended,long,5,23,1001,7.379949836334599,12.871826220412473,47.185143451210685,-0.005262877677493762,-12.6200501636654
LS>0.7_noOI_extended,long,15,31,16981,7.238498248092051,-3.036907167435138,47.5972543616988,0.0011837728586939174,-12.761501751907948
LS>0.68_OI>3.0σ_extended,long,15,17,172,7.1756249390887055,-6.396032592113992,42.22308737014619,-2.7728254906380014,-12.824375060911292
LS>0.65_noOI,long,15,46,80674,7.156261344849703,0.7326547788348872,50.6881654892048,-0.023309971293402443,-12.843738655150299
LS>0.65_OI>2.0σ_extended,short,60,140,140992,6.876466481299568,12.313440788897905,53.92798559385827,0.05233891451481753,-13.123533518700432
LS>0.72_OI>2.5σ,short,30,114,96407,6.834266701327011,4.5722007838091425,51.193972224271526,0.04001037520934186,-13.16573329867299
LS>0.72_OI>1.5σ,short,60,117,390296,6.713557521534831,7.944291673207732,51.89880736656643,0.04536369668498071,-13.286442478465169
LS>0.68_OI>2.5σ,long,5,23,1131,6.702562599692694,-2.5257295999601426,47.243021479504755,0.03973577425723231,-13.297437400307306
LS>0.7_OI>3.0σ_extended,short,30,111,23444,6.701101253512088,9.407655871942708,53.89532555750493,0.06047138350853559,-13.298898746487911
LS>0.65_OI>3.0σ_extended,short,60,134,35172,6.680783131133318,14.61634266089908,54.55394305626597,0.056193008844228516,-13.31921686886668
LS>0.65_noOI,short,240,141,6534577,6.64625371719888,9.097100935157197,51.6283047044418,0.032575107081859435,-13.35374628280112
LS>0.72_OI>2.5σ_extended,short,30,110,39219,6.597417650806027,3.1753431439692728,52.21513730380835,0.039228159028739946,-13.402582349193972
LS>0.7_OI>3.0σ_extended,short,15,111,23444,6.526357834007879,5.8267380265321425,52.74020451642955,0.052601212654370344,-13.473642165992121
LS>0.7_OI>2.0σ_extended,long,30,21,733,6.521017147010217,-13.916394350584472,49.86733831485685,0.005918872883699466,-13.478982852989784
LS>0.68_noOI_extended,long,30,34,23657,6.455319896356128,-5.076161147252276,48.6350231243983,0.031121848078842884,-13.544680103643872
LS>0.65_OI>2.0σ,short,60,140,349745,6.339161134109227,7.001526494278024,51.89606787420257,0.0370338587732497,-13.660838865890774
LS>0.75_OI>1.5σ,short,60,105,266211,6.327139072373016,4.131402680759796,50.68652891702466,0.033716039462606436,-13.672860927626983
LS>0.68_noOI_extended,short,60,134,1910514,6.323043566425673,8.917180961474601,52.77152145985416,0.03355229775452382,-13.676956433574327
LS>0.68_OI>3.0σ_extended,short,15,121,28004,6.20665663405326,7.662907160336035,53.21951277289398,0.05452456707937479,-13.79334336594674
LS>0.68_noOI,short,240,139,5436351,6.080004929587342,4.844041135584474,50.48908022626755,-0.02315264256125394,-13.919995070412657
LS>0.68_OI>2.0σ,short,60,132,288619,5.7433427125216445,4.543665402060182,50.52630082145708,-0.0063552719392761985,-14.256657287478356
LS>0.65_OI>1.5σ_extended,short,60,140,257853,5.705120848633226,10.956091690844469,53.535056372560895,0.038757967586742215,-14.294879151366775
LS>0.72_noOI_extended,long,15,23,10894,5.701394677044005,-5.564471315464801,48.51534317487601,0.059113970859985536,-14.298605322955995
LS>0.68_OI>2.0σ_extended,short,30,125,114650,5.613085793563508,8.14764739335184,53.862937679681316,0.05226920193854954,-14.386914206436492
LS>0.75_OI>2.5σ_extended,short,30,97,26208,5.551569861587107,4.119157690126186,50.43986152388435,0.019857679681841937,-14.448430138412892
LS>0.7_OI>3.0σ_extended,long,5,14,114,5.541594931663897,-22.730950741509304,47.82421943136229,-0.06333400815857439,-14.458405068336106
LS>0.75_OI>1.5σ_extended,short,30,101,99017,5.517499221819922,6.200563083414072,52.69752576414187,0.06878099339578914,-14.482500778180079
LS>0.72_OI>2.0σ,long,5,20,1007,5.30824000810029,-13.747815929464362,45.503090927227696,-0.010092481944642063,-14.69175999189971
LS>0.75_OI>3.0σ,short,30,98,29455,5.305810273948027,3.166144679585955,50.69283018952567,0.010388456340409368,-14.694189726051974
LS>0.68_OI>2.5σ_extended,short,15,125,57780,5.27055190274823,5.708799027983056,52.861137027403885,0.054988734423445165,-14.72944809725177
LS>0.72_OI>2.5σ,short,15,114,96407,5.166485185385692,5.837802993337504,50.6257012796941,0.03810830466688882,-14.833514814614306
LS>0.7_OI>3.0σ,short,15,117,54540,5.153378802505448,3.5530530126255004,51.37855467026911,0.039789636609595995,-14.846621197494553
LS>0.75_OI>2.0σ,short,60,104,136424,4.978034611328597,2.8846579789444604,50.22495493261309,0.026063889714388618,-15.021965388671402
LS>0.75_noOI,short,30,109,2648500,4.945966429022122,1.9781853145555028,50.137163621894246,0.04099353108359915,-15.054033570977879
LS>0.75_noOI_extended,short,30,108,923666,4.895778370067286,5.225404876264647,51.57033871648858,0.05704520423449781,-15.104221629932715
LS>0.75_OI>1.5σ,short,30,105,266211,4.828389670263599,2.4364826666094834,50.236919722098705,0.025232365017592753,-15.1716103297364
LS>0.72_noOI_extended,short,30,119,1350548,4.813213346864556,6.444117928267769,52.43100066410947,0.04034847009085506,-15.186786653135444
LS>0.75_OI>3.0σ,short,60,98,29455,4.800809091066265,0.2985073501986722,49.06137028533406,-0.032947885175674665,-15.199190908933737
LS>0.65_OI>1.5σ,short,60,140,669179,4.694957325116559,5.4483435097990585,51.596214748716314,0.027624527768082458,-15.30504267488344
LS>0.65_OI>2.5σ_extended,short,30,139,71667,4.668700280437879,7.690710241679642,53.371009243148,0.05301355486207903,-15.33129971956212
LS>0.72_OI>2.0σ_extended,short,30,110,78605,4.571523280818485,3.4297026334467438,52.83407739410671,0.04621631658454363,-15.428476719181516
LS>0.75_OI>1.5σ,short,15,105,266211,4.567055809750801,2.0238549167119864,50.59463840158162,0.0237598028330381,-15.432944190249199
LS>0.65_OI>3.0σ,short,60,139,79233,4.451371817625729,8.186420886329504,52.151240499998785,0.05184668669106363,-15.548628182374271
LS>0.72_noOI,short,60,121,3851735,4.404400383726911,3.493512311421569,50.69219889240297,0.02567288303077601,-15.59559961627309
LS>0.7_OI>2.0σ_extended,short,15,119,97167,4.395702107974473,6.458955572741679,53.461797727164985,0.050087089971986846,-15.604297892025526
LS>0.68_OI>3.0σ,short,15,127,64477,4.275019429546907,2.9064105378507534,50.611507137856265,0.03152784878267678,-15.724980570453091
LS>0.75_OI>3.0σ_extended,short,5,89,12424,4.2494893589444676,2.019684187932865,50.314677655880814,0.0400913098095901,-15.750510641055532
LS>0.75_OI>2.0σ_extended,short,30,98,52871,4.2470494955062215,5.100992471893407,51.945487787425435,0.05419790771465874,-15.752950504493779
LS>0.68_OI>2.5σ,short,30,128,139162,4.2345400026252165,3.735334404878503,50.65473999284788,0.030113274805462123,-15.765459997374784
LS>0.7_OI>1.5σ,short,60,126,475750,4.18860048429249,3.1989685657995675,51.363573304761125,0.039506836954524956,-15.81139951570751
LS>0.72_OI>2.0σ,short,30,116,201461,4.170197504096953,2.0538524164010585,50.72766700634898,-0.018466082644996672,-15.82980249590305
LS>0.72_OI>2.5σ_extended,short,15,110,39219,4.10990093411408,3.716243905786918,51.523733391183505,0.028346529211841928,-15.89009906588592
LS>0.65_OI>2.5σ,short,30,140,169650,4.0563731878402525,4.638828323444287,51.596920001392014,0.0360984149006154,-15.94362681215975
LS>0.68_OI>1.5σ_extended,long,60,29,2073,4.042441397853297,-5.2258128472976555,48.847852525237684,0.8573245029551904,-15.957558602146703
LS>0.65_noOI_extended,long,30,43,34807,3.9901467188484636,-2.0402878145853687,48.76904318666991,0.08665273052341485,-16.009853281151535
LS>0.75_OI>2.5σ_extended,short,15,97,26208,3.9581232628143486,2.377202604159262,50.74808746773338,0.0007946724348271974,-16.04187673718565
LS>0.7_OI>1.5σ_extended,long,5,22,1512,3.9543716828149127,-1.4401591565217002,48.58526476076624,0.0017518896263603917,-16.045628317185088
LS>0.7_OI>2.5σ_extended,short,15,116,48641,3.9390251457168763,3.658222178926635,51.73732944527154,0.0427154897816806,-16.060974854283124
LS>0.7_OI>2.5σ,short,30,119,118237,3.9053318123697576,2.748397632495916,51.263403765209034,0.03836551845480623,-16.09466818763024
LS>0.65_noOI_extended,short,240,140,2311796,3.8934941462646666,15.418482523703382,52.85169430801319,0.022620633978107374,-16.10650585373533
LS>0.7_noOI,short,60,126,4675405,3.8264550981805883,2.9548685208307957,50.48185310273798,0.018436059836767674,-16.17354490181941
LS>0.68_OI>3.0σ,short,30,127,64477,3.704924183821775,5.87828644271711,50.977017969261915,0.028972573002324267,-16.295075816178226
LS>0.75_OI>2.5σ,short,60,103,64921,3.702444923021947,-0.3282349028530162,49.536697652047216,0.0028014291061515227,-16.297555076978053
LS>0.7_noOI,long,5,31,37291,3.6225856592575334,-2.3355195764360626,47.42037557505185,0.03031131053486501,-16.37741434074247
LS>0.75_noOI,long,5,22,8651,3.617878710578509,-4.154233945197003,49.98580286540329,0.05498571854134309,-16.38212128942149
LS>0.68_OI>1.5σ,short,15,135,554782,3.594102223188719,3.848916142791214,50.137720644790875,-0.0016530972447985192,-16.40589777681128
LS>0.68_noOI_extended,short,30,134,1910514,3.592407944551396,4.593704899721511,51.9152825996041,0.0285159500927418,-16.407592055448607
LS>0.75_OI>1.5σ_extended,long,30,15,429,3.5405144044420735,-57.82351814232771,43.94470894722969,-0.09887400537510536,-16.459485595557926
LS>0.7_noOI_extended,short,60,125,1641644,3.4959938799558707,7.507470836154443,52.56334352409263,0.026736654743017736,-16.50400612004413
LS>0.75_OI>3.0σ,short,5,98,29455,3.4614752612175983,-0.1321122075197786,48.191482031384616,0.0019837006752789392,-16.5385247387824
LS>0.72_OI>1.5σ_extended,short,30,114,146485,3.1923547441088784,5.144230538727125,53.39112035689513,0.055795173174005425,-16.807645255891124
LS>0.75_OI>1.5σ_extended,short,15,101,99017,3.1889222059363114,3.8010210299584664,51.90416680373345,0.048636213425062864,-16.81107779406369
LS>0.68_noOI_extended,long,15,34,23657,3.1453022689077192,-8.962006754252686,48.21056565192788,0.03330280594614019,-16.85469773109228
LS>0.72_OI>1.5σ_extended,long,5,20,1020,3.140579076391546,-6.789875010573182,47.622461925558625,0.016880403077985783,-16.859420923608454
LS>0.7_OI>2.0σ,long,60,23,1690,3.1396932793962686,-17.875338407087447,42.69959979945031,-0.07708430031054818,-16.86030672060373
LS>0.68_OI>1.5σ,short,30,135,554782,3.1317994477959643,4.200837527456648,49.60153826913335,-0.03621485983637605,-16.868200552204037
LS>0.72_OI>2.0σ,long,60,20,1007,3.0921899540924858,-29.566908572305344,43.791894802578824,-0.07914523205924187,-16.90781004590751
LS>0.68_OI>2.0σ_extended,short,15,125,114650,2.9924250707710147,4.547421947673791,52.46804347365863,0.033544903458598216,-17.007574929228984
LS>0.7_OI>1.5σ_extended,short,30,122,179964,2.937276541556351,5.365324797172694,53.500148828518185,0.10509440695727276,-17.06272345844365
LS>0.65_OI>3.0σ,short,15,139,79233,2.9190554524312775,2.757423309024654,50.527585217516126,0.0211842236197048,-17.080944547568723
