signal,horizon_m,n_pairs,total_sigs,mean_ret,mean_wr,net_fees,avg_corr
spread_z3.0_lb240,15,28,207174,5.6230231609887875,55.1443528235964,-34.37697683901121,0.7284421752920088
momdiv_5m_gt50,30,28,343398,5.570232561689729,53.42620029003136,-34.42976743831027,0.7284421752920088
spread_z2.5_lb60,60,28,467044,5.36741449996953,54.761113349909856,-34.632585500030466,0.7284421752920088
spread_z2.0_lb60,240,28,1351325,5.293302558066537,53.18426833862797,-34.706697441933464,0.7284421752920088
spread_z1.5_lb240,240,28,3189223,5.194863893873653,53.790124274375096,-34.80513610612635,0.7284421752920088
spread_z2.5_lb720,30,28,606592,5.107468434846638,55.34968936183012,-34.89253156515336,0.7284421752920088
spread_z1.5_lb720,240,28,3151251,4.648784582460963,54.568337866477556,-35.35121541753904,0.7284421752920088
spread_z2.0_lb720,60,28,1488478,4.532028731057391,54.75575881982553,-35.467971268942605,0.7284421752920088
spread_z2.5_lb60,30,28,467078,4.4518461541461445,55.048496043429296,-35.548153845853854,0.7284421752920088
spread_z2.5_lb240,30,28,580827,4.3879177964140395,55.18447374147272,-35.612082203585956,0.7284421752920088
spread_z2.0_lb240,60,28,1481621,4.384264897772549,54.6181678674866,-35.615735102227454,0.7284421752920088
momdiv_5m_gt50,15,28,343404,4.315888438151963,53.71606843600856,-35.68411156184804,0.7284421752920088
momdiv_30m_gt100,15,28,508326,4.221166157628489,53.17127651429268,-35.77883384237151,0.7284421752920088
momdiv_15m_gt50,240,28,1090005,4.124266291045766,52.33317828721092,-35.875733708954236,0.7284421752920088
momdiv_15m_gt50,60,28,1090526,3.9060214144917857,53.02196792155474,-36.09397858550822,0.7284421752920088
momdiv_30m_gt50,240,28,2003670,3.7864860687875295,52.52461837217847,-36.21351393121247,0.7284421752920088
spread_z1.5_lb60,240,28,3108154,3.606762563162547,52.55840964175597,-36.39323743683745,0.7284421752920088
spread_z2.5_lb60,15,28,467091,3.594620598420062,55.24794188708257,-36.405379401579935,0.7284421752920088
spread_z2.0_lb60,60,28,1352004,3.5595497232519984,53.857809136903356,-36.440450276748,0.7284421752920088
