symbol,lookback,zscore_thresh,direction,horizon_m,n_signals,mean_ret_bps,median_ret_bps,win_rate,sharpe,net_of_fees_bps,avg_premium_bps
CCUSDT,360,3.5,long,15,2092,12.854212997404941,8.058018308993997,55.831739961759084,0.11299776192182615,-7.145787002595059,-14.285537571701722
CCUSDT,360,3.5,short,30,581,6.000028538511593,12.386092187914866,57.6592082616179,0.05302647709144044,-13.999971461488407,10.655216179001721
CCUSDT,360,3.5,long,30,2092,15.015741721414098,8.027959152574482,54.636711281070745,0.1137934691870556,-4.9842582785859015,-14.285537571701722
CCUSDT,360,3.5,short,60,581,-2.053669435539828,17.792086757604242,55.59380378657487,-0.01178256504191644,-22.053669435539828,10.655216179001721
CCUSDT,360,3.5,long,60,2090,22.870602934756175,15.565587642728529,56.26794258373206,0.1249858039602501,2.8706029347561746,-14.278035550239236
CCUSDT,360,3.5,short,240,581,15.209980650441098,30.735852467907996,57.6592082616179,0.05337203278482377,-4.790019349558902,10.655216179001721
CCUSDT,360,3.5,long,240,2090,19.427486582067285,4.269309416367051,50.43062200956938,0.06064094606855261,-0.5725134179327149,-14.278035550239236
CCUSDT,720,1.5,short,5,2735,3.218267522029297,4.345127250154901,56.855575868372945,0.061232187894679525,-16.781732477970703,6.538734734917734
CCUSDT,720,1.5,long,5,14146,3.9534366847365026,1.8591395202038896,52.495405061501486,0.07671503826026746,-16.046563315263498,-11.78825170366181
CCUSDT,720,1.5,short,15,2735,5.593872741814915,8.968609865471766,57.95246800731262,0.06778072710539007,-14.406127258185085,6.538734734917734
CCUSDT,720,1.5,long,15,14145,9.381135953715168,4.9318784291974005,54.16755037115588,0.10767934528643223,-10.618864046284832,-11.78787001767409
CCUSDT,720,1.5,short,30,2735,10.636182887215696,15.340138061242792,60.0,0.09283623696419536,-9.363817112784304,6.538734734917734
CCUSDT,720,1.5,long,30,14144,12.327028199724637,7.962071524491021,54.807692307692314,0.10567607860984846,-7.672971800275363,-11.787372228506786
CCUSDT,720,1.5,short,60,2735,6.528449350297629,15.204500532155496,56.892138939670936,0.03948501470876243,-13.47155064970237,6.538734734917734
CCUSDT,720,1.5,long,60,14130,15.966365409913784,11.010418259743693,55.20169851380042,0.09789398792825318,-4.033634590086216,-11.780457947629156
CCUSDT,720,1.5,short,240,2728,-5.574649877640386,43.8435036137691,58.32111436950147,-0.017880535094154253,-25.574649877640386,6.555513013196481
