symbol,signal,direction,horizon_m,n_signals,mean_abs_ret,mean_ret,median_ret,win_rate,net_fees
USELESSUSDT,coiled_v0.15_oi2.0_momdn,short,240,788,351.58837160553486,-42.51147300989313,-30.74107948082827,45.93908629441624,-62.51147300989313
USELESSUSDT,coiled_v0.15_oi3.0,abs_move,15,697,82.58159374140679,-3.0320727425085776,-9.79868163192621,43.75896700143472,62.58159374140679
USELESSUSDT,coiled_v0.15_oi3.0_momup,long,15,281,82.52117288358048,-12.02029754605547,-17.265193370166187,40.569395017793596,-32.020297546055474
USELESSUSDT,coiled_v0.15_oi3.0_momdn,short,15,380,85.27419164261558,-4.232784947849826,4.857472396095908,51.05263157894737,-24.232784947849826
USELESSUSDT,coiled_v0.15_oi3.0,abs_move,30,697,118.51722876145892,-4.575806820839029,-19.98857795545539,44.90674318507891,98.51722876145892
USELESSUSDT,coiled_v0.15_oi3.0_momup,long,30,281,119.07884458635222,-19.44323805766786,-25.829781738344604,41.99288256227758,-39.443238057667855
USELESSUSDT,coiled_v0.15_oi3.0_momdn,short,30,380,119.76926650635876,-9.235516723029654,10.008256823260675,52.10526315789473,-29.235516723029654
USELESSUSDT,coiled_v0.15_oi3.0,abs_move,60,697,165.09793916604227,-6.44588526031717,-28.49002849002913,42.75466284074606,145.09793916604227
USELESSUSDT,coiled_v0.15_oi3.0_momup,long,60,281,173.27993319034874,-44.970708266801275,-62.84916201117263,34.87544483985765,-64.97070826680127
USELESSUSDT,coiled_v0.15_oi3.0_momdn,short,60,380,163.88424946286494,-22.217205789377427,4.656637724907431,51.84210526315789,-42.21720578937743
USELESSUSDT,coiled_v0.15_oi3.0,abs_move,240,697,361.7753632425048,-35.94581185827209,-35.79295154185091,47.05882352941176,341.7753632425048
USELESSUSDT,coiled_v0.15_oi3.0_momup,long,240,281,366.22715603359984,-153.67257880505247,-178.7072243346022,34.87544483985765,-173.67257880505247
USELESSUSDT,coiled_v0.15_oi3.0_momdn,short,240,380,371.3675229117522,-46.607776821856504,-45.854450815722146,45.0,-66.6077768218565
USELESSUSDT,coiled_v0.2_oi1.0,abs_move,15,4070,71.57862615521853,-3.320060505640351,-6.769367677593174,45.06142506142506,51.57862615521853
USELESSUSDT,coiled_v0.2_oi1.0_momup,long,15,1779,72.66254467045394,-3.9434658650938235,-8.988764044944864,43.84485666104553,-23.943465865093824
USELESSUSDT,coiled_v0.2_oi1.0_momdn,short,15,2063,71.38643290660514,2.7317702106684174,5.288207297725611,51.62384876393602,-17.26822978933158
USELESSUSDT,coiled_v0.2_oi1.0,abs_move,30,4070,102.08813033371827,-5.0147339472847685,-10.982147549131739,45.33169533169533,82.08813033371827
USELESSUSDT,coiled_v0.2_oi1.0_momup,long,30,1779,104.90022442477894,-8.307982416589876,-16.728002676480447,43.62001124227094,-28.307982416589876
USELESSUSDT,coiled_v0.2_oi1.0_momdn,short,30,2063,100.29732040832974,1.162466482479754,7.8247261345854024,51.72079495879787,-18.837533517520246
USELESSUSDT,coiled_v0.2_oi1.0,abs_move,60,4070,145.99713604007036,-8.591598221469438,-21.58020768039337,43.78378378378379,125.99713604007036
USELESSUSDT,coiled_v0.2_oi1.0_momup,long,60,1779,147.9467132590856,-17.43448250703185,-30.40353786622374,41.76503653738055,-37.434482507031845
USELESSUSDT,coiled_v0.2_oi1.0_momdn,short,60,2063,146.1341208822871,1.0908666851063715,14.32078559738148,53.95055744062045,-18.90913331489363
