symbol,gross_bps,sig_str,hold,entry_time,exit_time,strategy,net_tk,net_mk,month
CHZUSDT,-6.513597134018001,2.6303479750200847,3,2025-11-17 15:05:00,2025-11-17 15:20:00,long_vg,-26.513597134018,-14.513597134018001,2025-11
CHZUSDT,182.81915446141107,2.5443561570034685,20,2026-01-12 00:30:00,2026-01-12 02:10:00,long_vg,162.81915446141107,174.81915446141107,2026-01
DYDXUSDT,25485.1157662624,7.567793236182485,20,2025-10-10 21:20:00,2025-10-10 23:00:00,long_vg,25465.1157662624,25477.1157662624,2025-10
CYBERUSDT,-2911.491551974936,6.129470405849917,15,2025-08-12 07:30:00,2025-08-12 08:45:00,long_vg,-2931.491551974936,-2919.491551974936,2025-08
CYBERUSDT,240.5632700958371,3.0512589311681406,3,2025-08-14 12:30:00,2025-08-14 12:45:00,long_vg,220.5632700958371,232.5632700958371,2025-08
CYBERUSDT,4694.6564885496155,4.128759786397942,24,2025-10-10 21:20:00,2025-10-10 23:20:00,long_vg,4674.6564885496155,4686.6564885496155,2025-10
CYBERUSDT,-174.2781548372252,2.862439474513461,10,2025-12-10 15:00:00,2025-12-10 15:50:00,long_vg,-194.2781548372252,-182.2781548372252,2025-12
CYBERUSDT,-263.3814783347488,2.714364593551715,11,2025-12-17 14:55:00,2025-12-17 15:50:00,long_vg,-283.3814783347488,-271.3814783347488,2025-12
DOGEUSDT,391.7758000044169,4.175131109156286,24,2025-08-22 14:20:00,2025-08-22 16:20:00,long_vg,371.7758000044169,383.7758000044169,2025-08
DOGEUSDT,90.54960169637471,4.1774292644262285,7,2025-09-17 17:55:00,2025-09-17 18:30:00,long_vg,70.54960169637471,82.54960169637471,2025-09
DOGEUSDT,-103.11326565076607,3.3774457383368675,3,2025-09-22 00:30:00,2025-09-22 00:45:00,long_vg,-123.11326565076607,-111.11326565076607,2025-09
DOGEUSDT,-1213.3050053686068,4.283714249336498,24,2025-10-10 20:55:00,2025-10-10 22:55:00,long_vg,-1233.3050053686068,-1221.3050053686068,2025-10
DOGEUSDT,-108.99470899470853,2.5637308551212628,4,2025-12-01 00:20:00,2025-12-01 00:40:00,long_vg,-128.99470899470853,-116.99470899470853,2025-12
DOGEUSDT,34.93662658433428,2.646956076056756,11,2025-12-25 23:35:00,2025-12-26 00:30:00,long_vg,14.936626584334277,26.936626584334277,2025-12
CRVUSDT,144.09011117612502,2.867168657705833,8,2025-09-22 06:05:00,2025-09-22 06:45:00,long_vg,124.09011117612502,136.09011117612502,2025-09
CRVUSDT,11026.21876280213,11.00235874466995,24,2025-10-10 21:15:00,2025-10-10 23:15:00,long_vg,11006.21876280213,11018.21876280213,2025-10
DOTUSDT,5992.274101444404,9.540329556869832,3,2025-10-10 21:15:00,2025-10-10 21:30:00,long_vg,5972.274101444404,5984.274101444404,2025-10
DOTUSDT,243.8490794655168,2.829989837643341,22,2025-10-10 21:50:00,2025-10-10 23:40:00,long_vg,223.8490794655168,235.8490794655168,2025-10
ENSOUSDT,11.671014691747583,3.0046913802555277,4,2025-12-25 00:30:00,2025-12-25 00:50:00,long_vg,-8.328985308252417,3.671014691747583,2025-12
ENSOUSDT,221.50506087722067,3.0182557568724446,24,2026-01-03 07:35:00,2026-01-03 09:35:00,long_vg,201.50506087722067,213.50506087722067,2026-01
ENSOUSDT,52.46678514005288,2.661062124085924,24,2026-01-22 10:15:00,2026-01-22 12:15:00,long_vg,32.46678514005288,44.46678514005288,2026-01
EIGENUSDT,13581.653520303831,4.014246167758564,19,2025-10-10 21:15:00,2025-10-10 22:50:00,long_vg,13561.653520303831,13573.653520303831,2025-10
EIGENUSDT,328.53651914200424,3.7869746749731847,4,2025-11-21 07:30:00,2025-11-21 07:50:00,long_vg,308.53651914200424,320.53651914200424,2025-11
ENAUSDT,234.5415778251603,2.99203894607107,6,2025-07-11 04:40:00,2025-07-11 05:10:00,long_vg,214.5415778251603,226.5415778251603,2025-07
ENAUSDT,447.88975021533116,2.9241682375670512,9,2025-09-22 06:00:00,2025-09-22 06:45:00,long_vg,427.88975021533116,439.88975021533116,2025-09
ENAUSDT,3007.416376570302,4.736165331393188,21,2025-10-10 21:20:00,2025-10-10 23:05:00,long_vg,2987.416376570302,2999.416376570302,2025-10
ENAUSDT,-194.1911516379613,2.8753134127112623,4,2025-12-04 09:05:00,2025-12-04 09:25:00,long_vg,-214.1911516379613,-202.1911516379613,2025-12
ETCUSDT,111.73031743429985,3.546279372829713,24,2025-09-22 06:05:00,2025-09-22 08:05:00,long_vg,91.73031743429985,103.73031743429985,2025-09
ETCUSDT,1265.0929601002713,6.257911955518285,21,2025-10-10 21:15:00,2025-10-10 23:00:00,long_vg,1245.0929601002713,1257.0929601002713,2025-10
ETCUSDT,35.03678862806004,2.5304041332916274,8,2026-01-31 15:05:00,2026-01-31 15:45:00,long_vg,15.036788628060037,27.036788628060037,2026-01
FFUSDT,4071.4169248328712,5.934220875831618,16,2025-10-10 21:15:00,2025-10-10 22:35:00,long_vg,4051.4169248328712,4063.4169248328712,2025-10
FFUSDT,59.94321169418227,2.555696777177071,7,2025-12-18 11:40:00,2025-12-18 12:15:00,long_vg,39.94321169418227,51.94321169418227,2025-12
ETHFIUSDT,173.53800176594493,2.704520724787248,6,2025-09-17 18:45:00,2025-09-17 19:15:00,long_vg,153.53800176594493,165.53800176594493,2025-09
ETHFIUSDT,-1041.1378379467362,3.9017014486867834,18,2025-10-10 21:10:00,2025-10-10 22:40:00,long_vg,-1061.1378379467362,-1049.1378379467362,2025-10
ETHFIUSDT,186.57044794508693,2.5850191114614476,11,2026-01-29 15:45:00,2026-01-29 16:40:00,long_vg,166.57044794508693,178.57044794508693,2026-01
ETHUSDT,32.8259926659058,2.598252445662988,6,2025-07-02 16:05:00,2025-07-02 16:35:00,long_vg,12.825992665905801,24.8259926659058,2025-07
