signal,n_symbols,mean_corr_6,std_corr_6,pct_positive_corr_6,mean_corr_12,std_corr_12,mean_edge_6,std_edge_6,pct_positive_edge_6,mean_edge_12,std_edge_12,mean_extreme_edge_6,std_extreme_edge_6,pct_positive_extreme_edge_6,mean_high_fwd6,std_high_fwd6,mean_low_fwd6,std_low_fwd6,mean_high_hit_rate,std_high_hit_rate,mean_low_hit_rate,std_low_hit_rate,mean_high_win_mean,std_high_win_mean,mean_low_win_mean,std_low_win_mean,abs_corr_6
vol_ratio_z288,116,0.0025696549325071134,0.005672030350253151,0.6896551724137931,0.003276824314106497,0.006623675915562866,1.0359011848954767,3.035243371496166,0.6810344827586207,1.4221743078919882,4.43384621052938,0.881812128756091,4.102599342955097,0.6724137931034483,0.8489331174211685,2.325648301711363,-0.18696806747430794,2.116538781507086,0.4896739894363162,0.01215574790522647,0.5061536785529118,0.011683664249140958,67.566083099369,27.71823794291788,-56.1964710107118,22.35824407595812,0.0025696549325071134
vol_spike_ratio,116,0.0024057983239521483,0.019860674990878395,0.5775862068965517,0.0021885352303234636,0.01317124781606164,-0.10992004291690939,2.153156426410237,0.49137931034482757,0.1399059204336215,3.146088083526392,-0.17668572151881237,2.6101935987183764,0.4482758620689655,0.06877543466457446,1.4975472083567434,0.1786954775814839,1.684124899614507,0.49042308508690174,0.010637043293315192,0.5017419671704337,0.010596579256541186,53.75443234338303,19.03275360232373,-45.14929936783453,14.785175243910514,0.0024057983239521483
ls_div_ma12,116,-0.002381613156735904,0.010924004290571564,0.4224137931034483,-0.0042134549394012375,0.0157986976017421,-1.0153461649659006,6.121952281583883,0.46551724137931033,-2.486250335710689,12.310263154650034,-1.1733401524423173,8.572170322963215,0.4396551724137931,-1.1562203414741123,3.265332921738757,-0.14087417650821124,5.458149836955746,0.48728812214666045,0.01663687753125057,0.5075093392008452,0.01471682257848428,59.70147400655513,22.778638336708728,-77.17394395777391,45.72576518133496,0.002381613156735904
bb_vol_spike,116,0.0023793188972230494,0.012726159306578834,0.6120689655172413,0.005865690745299117,0.011662463918474952,1.4054189943104478,5.07163862865528,0.6637931034482759,3.2170905639802077,7.867153195727229,1.134949508677927,7.438338121690085,0.6293103448275862,1.168189894553835,4.363802258389038,-0.23722909975661324,1.9915221320131224,0.491134251314574,0.013000858496261638,0.5007653923617319,0.01120743406686319,91.60434511923204,41.94701964833349,-46.61181655550946,14.724922302697944,0.0023793188972230494
bn_taker_imbalance,116,-0.002366925259133125,0.005642433213521851,0.28448275862068967,-0.0029363631016497476,0.006059543565862351,-0.6845375524457329,2.3313253121222566,0.3879310344827586,-1.0065063186620222,3.6338488535734843,-0.509146912174119,2.7192124382213727,0.41379310344827586,-0.37469198091802264,1.81896171562479,0.30984557152771053,1.4644797402899377,0.47955565888132295,0.010779089749814579,0.49225658675509304,0.01051476220826033,49.463358489423165,16.75604136394997,-48.02788143977159,15.110525852838904,0.002366925259133125
bn_taker_buy_pct,116,-0.002366925259133125,0.005642433213521851,0.28448275862068967,-0.0029363631016497468,0.00605954356586235,-0.6845375524457329,2.3313253121222566,0.3879310344827586,-1.0065063186620222,3.6338488535734843,-0.509146912174119,2.7192124382213727,0.41379310344827586,-0.37469198091802264,1.81896171562479,0.30984557152771053,1.4644797402899377,0.47955565888132295,0.010779089749814579,0.49225658675509304,0.01051476220826033,49.463358489423165,16.75604136394997,-48.02788143977159,15.110525852838904,0.002366925259133125
ls_div_ma36,116,-0.0019522289038967843,0.01046721690760643,0.4224137931034483,-0.0033232428597961784,0.015312281450019526,-0.7630745798895903,6.3044886051919535,0.4827586206896552,-1.6722343387641592,12.483064490022326,-0.7974685584315856,9.38503369920861,0.4396551724137931,-1.049487144982511,3.5199514326814825,-0.2864125650929204,5.947811684754078,0.48732103221472134,0.016642890372454047,0.5073311501994665,0.013801570659635538,59.819166444523574,23.250812092149623,-77.11782418149349,46.666758394277934,0.0019522289038967843
premium_z288,116,-0.00192886082379984,0.020852657372061087,0.4396551724137931,-0.005966802660327127,0.018723389548753105,-1.3082226162788848,5.583855738823649,0.41379310344827586,-3.789055248895597,9.968705602994955,-1.4296910060320986,8.397506904015081,0.4396551724137931,0.18442189279023732,3.6083595034318474,1.4926445090691223,3.56928503281708,0.49072758837791636,0.013758659821278565,0.5047314352763776,0.014995662171081727,73.41514256861568,35.27959686821562,-67.62807900138289,28.02995780587581,0.00192886082379984
bn_taker_imb_ma36,116,-0.0017618787779450447,0.009922954232396995,0.3620689655172414,-0.00019799749405126875,0.013687541171208486,-0.7450721631556847,5.264733141347855,0.33620689655172414,-0.32319692104678854,9.64016368039129,-0.5124526417231341,6.025254776451483,0.4051724137931034,-0.6170565222172596,2.852190811053061,0.1280156409384253,3.3084458769984595,0.4803341662354352,0.01525251280925074,0.49431795860877215,0.015760846975630727,54.24635309501359,23.14146283090195,-51.96559797442047,16.93612470835551,0.0017618787779450447
vol_ratio_ma12,116,0.0014563802834607449,0.00827406396519,0.603448275862069,0.001075958682282987,0.011637161263343816,0.5671435280868091,4.448320622288662,0.5948275862068966,0.7247144665258619,8.590302332536945,0.31582794105079465,6.635539666354284,0.5431034482758621,0.9176059911607071,3.5456701095930745,0.3504624630738982,2.8093556222713816,0.4897043910528632,0.01432373125092696,0.5018267730562882,0.012902768351029189,72.7067955261185,28.874633856251883,-51.76397978910031,26.0693315781803,0.0014563802834607449
