symbol,gross_bps,signal_strength,hold_bars,direction,entry_time,exit_time,net_bps_taker,net_bps_maker
PIPPINUSDT,-1073.8546032663676,3.6009986733293062,24,1,2025-10-30 21:05:00,2025-10-30 23:05:00,-1093.8546032663676,-1081.8546032663676
PIPPINUSDT,223.0228169497328,3.584539646232658,24,-1,2025-11-22 21:30:00,2025-11-22 23:30:00,203.0228169497328,215.0228169497328
PIPPINUSDT,-1541.8239618517794,3.535817890499393,13,1,2025-11-23 06:10:00,2025-11-23 07:15:00,-1561.8239618517794,-1549.8239618517794
PIPPINUSDT,2977.1923405293333,5.6133613806002,24,-1,2025-11-23 14:15:00,2025-11-23 16:15:00,2957.1923405293333,2969.1923405293333
PIPPINUSDT,697.3749380881644,4.8855524272379816,12,-1,2025-11-28 18:35:00,2025-11-28 19:35:00,677.3749380881644,689.3749380881644
PIPPINUSDT,334.64639399182647,4.77437888598501,24,-1,2025-11-30 16:30:00,2025-11-30 18:30:00,314.64639399182647,326.64639399182647
PIPPINUSDT,-343.95280235988145,4.184524682012137,24,-1,2025-12-01 02:10:00,2025-12-01 04:10:00,-363.95280235988145,-351.95280235988145
PIPPINUSDT,-157.00962397063424,3.5992318538417845,24,-1,2025-12-02 07:20:00,2025-12-02 09:20:00,-177.00962397063424,-165.00962397063424
PIPPINUSDT,-212.28326041160096,3.6976564646275243,14,-1,2025-12-06 17:50:00,2025-12-06 19:00:00,-232.28326041160096,-220.28326041160096
PIPPINUSDT,2835.4020303994876,3.5369348313311697,24,1,2025-12-09 18:10:00,2025-12-09 20:10:00,2815.4020303994876,2827.4020303994876
PIPPINUSDT,1823.4027279253407,4.440328647321007,24,-1,2025-12-24 10:45:00,2025-12-24 12:45:00,1803.4027279253407,1815.4027279253407
PIPPINUSDT,-139.56230496345867,3.8672115336282697,24,-1,2026-01-04 20:15:00,2026-01-04 22:15:00,-159.56230496345867,-147.56230496345867
PIPPINUSDT,380.34818530539917,3.8928365800713665,24,-1,2026-01-04 22:40:00,2026-01-05 00:40:00,360.34818530539917,372.34818530539917
PIPPINUSDT,54.383031289075845,3.7933611010363983,23,-1,2026-01-06 16:15:00,2026-01-06 18:10:00,34.383031289075845,46.383031289075845
PIPPINUSDT,105.15660174958752,3.73943023856225,24,-1,2026-01-18 06:20:00,2026-01-18 08:20:00,85.15660174958752,97.15660174958752
PIPPINUSDT,16.769440006338954,3.5613646841301843,24,-1,2026-01-25 00:10:00,2026-01-25 02:10:00,-3.2305599936610463,8.769440006338954
PIPPINUSDT,997.3882031633241,4.449572416668097,17,-1,2026-01-25 02:15:00,2026-01-25 03:40:00,977.3882031633241,989.3882031633241
PIPPINUSDT,641.7502278942577,4.358917790453946,24,-1,2026-01-29 07:55:00,2026-01-29 09:55:00,621.7502278942577,633.7502278942577
PIPPINUSDT,238.55343635081795,6.6958732377570325,24,-1,2026-01-30 19:20:00,2026-01-30 21:20:00,218.55343635081795,230.55343635081795
PIPPINUSDT,-319.87345665450914,3.845947117909303,24,-1,2026-02-22 07:50:00,2026-02-22 09:50:00,-339.87345665450914,-327.87345665450914
RENDERUSDT,-7724.781814491577,5.354213620895575,1,1,2025-10-10 21:10:00,2025-10-10 21:15:00,-7744.781814491577,-7732.781814491577
RENDERUSDT,5413.194444444444,4.10672601241242,14,1,2025-10-10 21:35:00,2025-10-10 22:45:00,5393.194444444444,5405.194444444444
RENDERUSDT,224.0735420856077,4.351730649812938,1,1,2025-11-21 07:30:00,2025-11-21 07:35:00,204.0735420856077,216.0735420856077
SEIUSDT,9194.07132931913,6.577911337616526,23,1,2025-10-10 21:20:00,2025-10-10 23:15:00,9174.07132931913,9186.07132931913
SAHARAUSDT,944.528331876342,3.808093628505308,19,-1,2025-07-24 05:35:00,2025-07-24 07:10:00,924.528331876342,936.528331876342
SAHARAUSDT,163.82732800643174,4.850293280632904,23,-1,2025-07-26 00:20:00,2025-07-26 02:15:00,143.82732800643174,155.82732800643174
SAHARAUSDT,-31.099802092167117,4.314136104306965,24,-1,2025-07-29 00:50:00,2025-07-29 02:50:00,-51.09980209216712,-39.09980209216712
