symbol,gross_bps,sig_str,hold,entry_time,exit_time,exit_reason,net_tk,net_mk,month,sig_bucket
HUSDT,-250.7340060694274,4.765932526573229,9,2025-07-02 08:30:00,2025-07-02 09:15:00,cross,-270.73400606942744,-258.73400606942744,2025-07,4-5
HUSDT,2001.8005339514477,4.231159885959475,9,2025-10-10 21:15:00,2025-10-10 22:00:00,cross,1981.8005339514477,1993.8005339514477,2025-10,4-5
HUSDT,-286.90095846645505,7.860370391390541,12,2025-12-17 12:00:00,2025-12-17 13:00:00,cross,-306.90095846645505,-294.90095846645505,2025-12,7+
HUSDT,-30.450119087100937,4.62932044830276,7,2026-01-27 15:55:00,2026-01-27 16:30:00,cross,-50.45011908710094,-38.45011908710094,2026-01,4-5
HYPEUSDT,-52.29754411784193,4.826079307981032,12,2025-08-04 19:05:00,2025-08-04 20:05:00,cross,-72.29754411784194,-60.29754411784193,2025-08,4-5
HYPEUSDT,3522.6408572416167,6.843933556431254,24,2025-10-10 21:15:00,2025-10-10 23:15:00,maxhold,3502.6408572416167,3514.6408572416167,2025-10,5-7
HYPEUSDT,215.97501115573348,5.680065768653622,21,2025-11-21 07:30:00,2025-11-21 09:15:00,cross,195.97501115573348,207.97501115573348,2025-11,5-7
HYPEUSDT,-8.594615143050488,4.078926584231002,3,2026-02-21 07:10:00,2026-02-21 07:25:00,cross,-28.59461514305049,-16.59461514305049,2026-02,4-5
ICPUSDT,128.75536480686733,4.0518473995900885,10,2025-09-22 06:05:00,2025-09-22 06:55:00,cross,108.75536480686733,120.75536480686733,2025-09,4-5
ICPUSDT,1555.6876734046775,5.4994682416432035,24,2025-10-10 21:15:00,2025-10-10 23:15:00,maxhold,1535.6876734046775,1547.6876734046775,2025-10,5-7
INITUSDT,3624.3694218083,7.972059086004931,6,2025-10-10 21:15:00,2025-10-10 21:45:00,cross,3604.3694218083,3616.3694218083,2025-10,7+
IPUSDT,-300.10562199973333,4.313393040302938,24,2025-08-30 18:40:00,2025-08-30 20:40:00,maxhold,-320.10562199973333,-308.10562199973333,2025-08,4-5
