test_day,active_symbols,active_symbol_count,baseline_events,baseline_pair_net_15m_bps,baseline_pair_net_30m_bps,baseline_pair_win_15m,active_events,active_pair_net_15m_bps,active_pair_net_30m_bps,active_pair_win_15m
2026-02-20,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT",7,341.0,6.289656653017361,5.786270853784846,0.6011730205278593,96.0,21.428601496008245,18.395759566187603,0.8229166666666666
2026-02-21,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT",7,338.0,5.8359051046978045,5.204690542091361,0.5562130177514792,87.0,21.622598822628422,17.97855550527852,0.7471264367816092
2026-02-22,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,MOODENGUSDT",8,326.0,6.150832202784466,5.266393714626098,0.5153374233128835,76.0,30.312447179231693,26.24619158220513,0.8157894736842105
2026-02-23,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,BREVUSDT",8,347.0,4.881976596998836,4.126163891870975,0.547550432276657,99.0,19.001383266666924,15.682898535725757,0.7676767676767676
2026-02-24,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,BREVUSDT",8,410.0,5.053496328370783,4.9311123344244665,0.6024390243902439,106.0,17.36231621259195,16.949714890407385,0.7452830188679245
2026-02-25,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,BREVUSDT",7,372.0,3.5909447518730824,5.224736602774861,0.5456989247311828,101.0,12.894824333567394,18.059173097317736,0.6336633663366337
2026-02-26,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,BREVUSDT",7,395.0,4.208004598986937,3.145853901799955,0.5468354430379747,115.0,14.858360547029552,10.774989778889804,0.7304347826086957
2026-02-27,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,BREVUSDT",7,380.0,4.130061926846871,5.317564267329341,0.5131578947368421,96.0,16.99785842806995,18.908876510547397,0.6770833333333334
2026-02-28,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,BREVUSDT",7,355.0,6.031429997540737,6.432895963240676,0.5830985915492958,89.0,22.688150398785822,24.70860994503742,0.7865168539325843
2026-03-01,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,BREVUSDT",7,327.0,5.455799320420871,6.697430150059916,0.4954128440366973,94.0,22.081934427891166,23.3232987910678,0.7446808510638298
2026-03-02,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,JTOUSDT",7,348.0,5.0522984457405915,5.865715173328606,0.5114942528735632,91.0,21.84609095939699,24.17177524437112,0.7692307692307693
2026-03-03,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,JTOUSDT,CHZUSDT",8,338.0,7.0121487419678195,6.783890605492064,0.6005917159763313,89.0,24.47951622419341,22.06350264367916,0.797752808988764
2026-03-04,"DYDXUSDT,CRVUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT,JTOUSDT,CHZUSDT",8,279.0,3.8381418029654792,5.801277241157996,0.5555555555555556,79.0,12.426470572816395,17.574587661876738,0.7341772151898734
