test_day,train_start_day,train_end_day,variant,events,execution_pair_net_15m_bps,delayed_pair_net_15m_bps,execution_pair_win_15m,execution_extra_cost_bps,entry_decay_bps
2025-11-30,2025-10-31,2025-11-29,active_exec_state_top_quantile,12.0,-6.784522859691303,-3.5191077864460887,0.3333333333333333,3.2654150732452147,15.123029392287064
2025-11-30,2025-10-31,2025-11-29,active_exec_model_top_quantile,12.0,-3.1426025395088626,-1.7126745617589156,0.25,1.4299279777499467,11.328059138689023
2025-12-01,2025-11-01,2025-11-30,active_exec_baseline,12.0,-3.4204171739413485,0.20787407112740489,0.25,3.6282912450687537,17.58473395707033
2025-12-01,2025-11-01,2025-11-30,active_exec_state_top_quantile,12.0,-11.821648546462228,-7.407650503525553,0.16666666666666666,4.413998042936673,14.202471480674975
2025-12-01,2025-11-01,2025-11-30,active_exec_model_top_quantile,12.0,-7.9218447642676,-6.181187819895714,0.16666666666666666,1.7406569443718862,18.3583425304983
2025-12-02,2025-11-02,2025-12-01,active_exec_baseline,12.0,-13.292974922702077,-10.225118866029108,0.16666666666666666,3.0678560566729693,22.65987206378504
2025-12-02,2025-11-02,2025-12-01,active_exec_state_top_quantile,12.0,-21.72775121973277,-17.167496774325304,0.0,4.560254445407464,21.77900655052541
2025-12-02,2025-11-02,2025-12-01,active_exec_model_top_quantile,12.0,-8.109364576985408,-6.274873475597272,0.25,1.834491101388135,19.16284303720271
2025-12-03,2025-11-03,2025-12-02,active_exec_baseline,12.0,-13.890856310954925,-11.398389068560805,0.0,2.4924672423941208,18.846739083213564
2025-12-03,2025-11-03,2025-12-02,active_exec_state_top_quantile,12.0,-13.30617112527218,-8.819186250437902,0.08333333333333333,4.4869848748342775,20.517911009672044
2025-12-03,2025-11-03,2025-12-02,active_exec_model_top_quantile,12.0,2.745789311877953,4.43500677755092,0.16666666666666666,1.689217465672968,12.011850565925206
2025-12-04,2025-11-04,2025-12-03,active_exec_baseline,12.0,-8.467834003656435,-6.122376057905861,0.4166666666666667,2.345457945750571,10.533837009271592
2025-12-04,2025-11-04,2025-12-03,active_exec_state_top_quantile,12.0,-8.197912487079362,-5.616584087213414,0.25,2.5813283998659498,10.9285199225372
2025-12-04,2025-11-04,2025-12-03,active_exec_model_top_quantile,12.0,-9.43366910508472,-7.849520549967674,0.4166666666666667,1.5841485551170444,10.984905950288022
2025-12-05,2025-11-05,2025-12-04,active_exec_baseline,12.0,-21.684718608431954,-18.62303382533038,0.16666666666666666,3.061684783101572,20.267804924939032
2025-12-05,2025-11-05,2025-12-04,active_exec_state_top_quantile,12.0,-23.259222385865655,-18.65032900470516,0.16666666666666666,4.608893381160497,19.873180266990662
2025-12-05,2025-11-05,2025-12-04,active_exec_model_top_quantile,12.0,-17.04200895453432,-15.288909371856077,0.3333333333333333,1.7530995826782465,21.597575329399078
2025-12-06,2025-11-06,2025-12-05,active_exec_baseline,12.0,-5.034822140889112,1.0031699497616902,0.4166666666666667,6.0379920906508024,13.311503775386795
2025-12-06,2025-11-06,2025-12-05,active_exec_state_top_quantile,12.0,-20.455911280030765,-13.085866797682748,0.16666666666666666,7.37004448234802,15.584376466147853
2025-12-06,2025-11-06,2025-12-05,active_exec_model_top_quantile,12.0,-12.457890273500901,-10.850005693702066,0.16666666666666666,1.6078845797988344,21.051214294000772
2025-12-07,2025-11-07,2025-12-06,active_exec_baseline,12.0,-7.283586070950675,-3.288581668534215,0.3333333333333333,3.9950044024164604,13.307977323325318
2025-12-07,2025-11-07,2025-12-06,active_exec_state_top_quantile,12.0,-2.765627455340408,0.9358711513899225,0.4166666666666667,3.7014986067303295,12.939928503612473
2025-12-07,2025-11-07,2025-12-06,active_exec_model_top_quantile,12.0,-2.6953567432064287,-1.0332815764411982,0.5,1.662075166765228,16.62459623334019
2025-12-08,2025-11-08,2025-12-07,active_exec_baseline,12.0,-17.107662163089064,-12.418740383534313,0.08333333333333333,4.688921779554753,19.884316761385836
2025-12-08,2025-11-08,2025-12-07,active_exec_state_top_quantile,12.0,-9.843428401382239,-5.415403454336843,0.25,4.428024947045395,12.161140953100558
2025-12-08,2025-11-08,2025-12-07,active_exec_model_top_quantile,12.0,-8.738670375959805,-6.729215173283724,0.16666666666666666,2.0094552026760804,8.641232247528126
2025-12-09,2025-11-09,2025-12-08,active_exec_baseline,12.0,-16.24342416229386,-11.51930923310993,0.16666666666666666,4.724114929183933,21.642305890175464
2025-12-09,2025-11-09,2025-12-08,active_exec_state_top_quantile,12.0,-17.62615272573615,-12.542498710141025,0.16666666666666666,5.0836540155951235,23.979307278717187
2025-12-09,2025-11-09,2025-12-08,active_exec_model_top_quantile,12.0,-17.660295709671896,-15.623314965172307,0.16666666666666666,2.03698074449959,29.176334006533562
2025-12-10,2025-11-10,2025-12-09,active_exec_baseline,12.0,-8.238180199728722,-4.861690167557675,0.3333333333333333,3.3764900321710485,7.131203886962997
2025-12-10,2025-11-10,2025-12-09,active_exec_state_top_quantile,12.0,-8.063820678143543,-2.830201691592142,0.16666666666666666,5.2336189865514,12.630103084294761
2025-12-10,2025-11-10,2025-12-09,active_exec_model_top_quantile,12.0,-8.262436546935591,-5.89296300185065,0.3333333333333333,2.3694735450849396,13.500334415773585
2025-12-11,2025-11-11,2025-12-10,active_exec_baseline,12.0,-8.035492846081338,-4.550695292030312,0.25,3.484797554051026,20.01874700275149
2025-12-11,2025-11-11,2025-12-10,active_exec_state_top_quantile,12.0,-10.357679869677568,-6.507686364629202,0.16666666666666666,3.849993505048365,16.496153857251485
2025-12-11,2025-11-11,2025-12-10,active_exec_model_top_quantile,12.0,-12.95204423867379,-11.151997718573902,0.08333333333333333,1.8000465200998856,19.841082650445724
2025-12-12,2025-11-12,2025-12-11,active_exec_baseline,12.0,-13.914769514665196,-10.894870149894407,0.25,3.0198993647707906,18.34856291236827
2025-12-12,2025-11-12,2025-12-11,active_exec_state_top_quantile,12.0,-17.07492798715067,-12.942578309518517,0.08333333333333333,4.1323496776321536,23.467414768537548
2025-12-12,2025-11-12,2025-12-11,active_exec_model_top_quantile,12.0,-16.19158720853755,-13.98714602273139,0.3333333333333333,2.204441185806162,21.21599855222348
2025-12-13,2025-11-13,2025-12-12,active_exec_baseline,12.0,-13.027890986172638,-9.247331236123953,0.16666666666666666,3.7805597500486847,12.136881766154536
2025-12-13,2025-11-13,2025-12-12,active_exec_state_top_quantile,12.0,-2.3275593345126198,1.2242448818156497,0.3333333333333333,3.551804216328271,9.962928488150927
2025-12-13,2025-11-13,2025-12-12,active_exec_model_top_quantile,12.0,-7.354285956040837,-5.196954258641966,0.25,2.157331697398869,15.396056747968567
2025-12-14,2025-11-14,2025-12-13,active_exec_baseline,12.0,-2.0216620469075397,0.9167807018333822,0.5,2.938442748740922,15.848454035728063
2025-12-14,2025-11-14,2025-12-13,active_exec_state_top_quantile,12.0,-15.383821810372533,-10.476784449523075,0.25,4.907037360849455,27.161095351489752
2025-12-14,2025-11-14,2025-12-13,active_exec_model_top_quantile,12.0,-6.2783352368634295,-4.375116082244216,0.25,1.9032191546192125,16.95648261378459
2025-12-15,2025-11-15,2025-12-14,active_exec_baseline,12.0,-2.4436036396577347,0.26450057181256853,0.25,2.7081042114703036,12.195286272722226
2025-12-15,2025-11-15,2025-12-14,active_exec_state_top_quantile,12.0,-8.502545368080995,-3.1990276593924434,0.3333333333333333,5.3035177086885525,10.289754272468828
2025-12-15,2025-11-15,2025-12-14,active_exec_model_top_quantile,12.0,-8.981408623910868,-7.602687302016439,0.16666666666666666,1.3787213218944292,12.61679633249709
2025-12-16,2025-11-16,2025-12-15,active_exec_baseline,12.0,-5.573027575364275,-2.125164518429806,0.3333333333333333,3.4478630569344695,18.55547861725454
2025-12-16,2025-11-16,2025-12-15,active_exec_state_top_quantile,12.0,-4.219575206423909,-0.7147537672616117,0.25,3.504821439162297,11.338813658288798
2025-12-16,2025-11-16,2025-12-15,active_exec_model_top_quantile,12.0,-7.117913028857493,-3.88811788042773,0.25,3.2297951484297616,22.07990066647125
2025-12-17,2025-11-17,2025-12-16,active_exec_baseline,12.0,-3.877700967590918,-0.636324417150662,0.5,3.2413765504402554,11.554397225739441
2025-12-17,2025-11-17,2025-12-16,active_exec_state_top_quantile,12.0,-3.2732546031996215,0.13507923760827398,0.4166666666666667,3.4083338408078965,19.525681383311674
2025-12-17,2025-11-17,2025-12-16,active_exec_model_top_quantile,12.0,-1.4014533017821504,1.95107149721286,0.5,3.35252479899501,8.532675634974803
2025-12-18,2025-11-18,2025-12-17,active_exec_baseline,12.0,-10.752016776936694,-7.798865573888417,0.3333333333333333,2.9531512030482765,14.343751521558593
2025-12-18,2025-11-18,2025-12-17,active_exec_state_top_quantile,12.0,-4.593288087230794,-1.1548185065817897,0.4166666666666667,3.4384695806490044,10.803997467555005
2025-12-18,2025-11-18,2025-12-17,active_exec_model_top_quantile,12.0,1.3366079643987125,3.5859858308385113,0.5833333333333334,2.249377866439799,10.616119559814415
2025-12-19,2025-11-19,2025-12-18,active_exec_baseline,12.0,-9.045770136372377,-3.7247316122017438,0.16666666666666666,5.321038524170634,16.24891413057263
2025-12-19,2025-11-19,2025-12-18,active_exec_state_top_quantile,12.0,-12.645219048903291,-9.196884519786003,0.25,3.4483345291172918,26.080020357102104
2025-12-19,2025-11-19,2025-12-18,active_exec_model_top_quantile,12.0,-18.627747909226645,-16.23080113325122,0.16666666666666666,2.3969467759754277,25.979649585288016
2025-12-20,2025-11-20,2025-12-19,active_exec_baseline,12.0,-23.962810419664304,-20.329457041653964,0.08333333333333333,3.633353378010334,24.912379620174352
2025-12-20,2025-11-20,2025-12-19,active_exec_state_top_quantile,12.0,-11.678689517831238,-8.497276395167631,0.16666666666666666,3.1814131226636078,18.54992014726007
2025-12-20,2025-11-20,2025-12-19,active_exec_model_top_quantile,12.0,-8.73726186496815,-7.013118289921306,0.16666666666666666,1.724143575046843,16.672863628523032
2025-12-21,2025-11-21,2025-12-20,active_exec_baseline,12.0,3.5885236875672306,6.360742910134728,0.3333333333333333,2.7722192225674966,17.45254625235893
2025-12-21,2025-11-21,2025-12-20,active_exec_state_top_quantile,12.0,-4.198560593324962,-0.1303782678771063,0.25,4.068182325447855,14.745536248709314
2025-12-21,2025-11-21,2025-12-20,active_exec_model_top_quantile,12.0,0.04777748442339439,1.717481250090162,0.3333333333333333,1.669703765666769,10.788303576907039
2025-12-22,2025-11-22,2025-12-21,active_exec_baseline,12.0,-18.649241719645865,-15.237322425040494,0.08333333333333333,3.4119192946053736,19.29940583466877
2025-12-22,2025-11-22,2025-12-21,active_exec_state_top_quantile,12.0,-16.643929691109282,-14.879307631441252,0.08333333333333333,1.7646220596680289,13.436364394151616
2025-12-22,2025-11-22,2025-12-21,active_exec_model_top_quantile,12.0,-14.266906041900116,-13.005310531107087,0.08333333333333333,1.2615955107930297,12.092359951007083
2025-12-23,2025-11-23,2025-12-22,active_exec_baseline,12.0,-9.631508881014206,-6.647806514511795,0.16666666666666666,2.983702366502412,18.32835571115558
2025-12-23,2025-11-23,2025-12-22,active_exec_state_top_quantile,12.0,-12.655875228588966,-10.604360803737938,0.16666666666666666,2.051514424851027,26.940976667249316
2025-12-23,2025-11-23,2025-12-22,active_exec_model_top_quantile,12.0,-9.160286844670303,-7.786835101937,0.25,1.3734517427333037,12.387351542258914
2025-12-24,2025-11-24,2025-12-23,active_exec_baseline,12.0,-5.69782056242509,-3.8885706758305685,0.4166666666666667,1.80924988659452,10.870610059745916
2025-12-24,2025-11-24,2025-12-23,active_exec_state_top_quantile,12.0,-20.150495769896747,-17.90566687258443,0.08333333333333333,2.2448288973123165,28.200187941455805
2025-12-24,2025-11-24,2025-12-23,active_exec_model_top_quantile,12.0,-7.57612899814409,-6.432955580814074,0.16666666666666666,1.1431734173300152,9.552525658987529
2025-12-25,2025-11-25,2025-12-24,active_exec_baseline,12.0,-4.349905785719831,4.279668818231117,0.5,8.629574603950948,12.96448400605758
2025-12-25,2025-11-25,2025-12-24,active_exec_state_top_quantile,12.0,-6.289401839053671,-0.10236056454962765,0.4166666666666667,6.187041274504042,12.86662316848014
2025-12-25,2025-11-25,2025-12-24,active_exec_model_top_quantile,12.0,-15.088894874986101,-13.794919852013338,0.0,1.2939750229727585,16.65019594024338
2025-12-26,2025-11-26,2025-12-25,active_exec_baseline,12.0,-21.282963017435133,-19.222358407102877,0.0,2.0606046103322555,25.219714081741543
2025-12-26,2025-11-26,2025-12-25,active_exec_state_top_quantile,12.0,-13.980369903388636,-12.349876625063162,0.16666666666666666,1.6304932783254762,14.58504285152651
