test_day,train_start_day,train_end_day,variant,events,fast_pair_net_15m_bps,fast_gap_close_15m_bps,fast_pair_win_15m,fast_entry_decay_bps,bb_spread_bps_ob,entry_fill_lag_ms,exit_fill_lag_ms
2025-12-14,2025-11-14,2025-12-13,active_fast_exec_model_top_quantile,12.0,-5.376796883091818,5.75223065061257,0.25,16.034121256156553,3.129027533704388,38218.333333333336,41081.333333333336
2025-12-15,2025-11-15,2025-12-14,active_fast_exec_baseline,12.0,0.22581288423334564,12.28549326935835,0.5,10.28506757790676,4.059680385125005,13105.5,11823.333333333334
2025-12-15,2025-11-15,2025-12-14,active_fast_exec_state_top_quantile,12.0,-7.772247969228604,3.199205177233933,0.25,10.315819035750796,2.9714531464625353,16947.083333333332,28922.75
2025-12-15,2025-11-15,2025-12-14,active_fast_exec_model_top_quantile,12.0,-6.861305325269568,3.472218844877139,0.3333333333333333,11.59849146473037,2.333524170146707,14752.333333333334,15775.333333333334
2025-12-16,2025-11-16,2025-12-15,active_fast_exec_baseline,12.0,-18.669928311386865,-6.040240628216176,0.08333333333333333,23.36952459993843,4.629687683170691,20478.083333333332,18995.416666666668
2025-12-16,2025-11-16,2025-12-15,active_fast_exec_state_top_quantile,12.0,-16.410593430660786,-4.5477785218127815,0.08333333333333333,21.532666483105498,3.862814908848005,35112.0,23421.916666666668
2025-12-16,2025-11-16,2025-12-15,active_fast_exec_model_top_quantile,12.0,-15.688603085990815,-4.300278682798734,0.08333333333333333,22.327247523279137,3.388324403192081,9571.666666666666,14252.916666666666
2025-12-17,2025-11-17,2025-12-16,active_fast_exec_baseline,12.0,-14.530808342291117,-1.6214022746124932,0.25,19.063135697017415,4.909406067678622,22666.75,13888.0
2025-12-17,2025-11-17,2025-12-16,active_fast_exec_state_top_quantile,12.0,-0.21260476481001048,12.56024510165941,0.4166666666666667,18.709518415466754,4.7728498664694206,25601.916666666668,50597.166666666664
2025-12-17,2025-11-17,2025-12-16,active_fast_exec_model_top_quantile,12.0,-10.64202959795677,1.413913450782622,0.16666666666666666,12.317216974368032,4.05594304873939,17308.75,21505.5
2025-12-18,2025-11-18,2025-12-17,active_fast_exec_baseline,12.0,-21.113075723400893,-8.546381295245764,0.08333333333333333,30.850511251525422,4.56669442815513,39962.166666666664,6895.416666666667
2025-12-18,2025-11-18,2025-12-17,active_fast_exec_state_top_quantile,12.0,-13.91338438717299,-0.7413729940760246,0.08333333333333333,16.20928980765648,5.172011393096963,36071.666666666664,14589.833333333334
2025-12-18,2025-11-18,2025-12-17,active_fast_exec_model_top_quantile,12.0,-13.536502491562054,-1.8136128443253325,0.16666666666666666,22.914759641637264,3.72288964723672,18218.333333333332,10488.666666666666
2025-12-19,2025-11-19,2025-12-18,active_fast_exec_baseline,12.0,-6.068382796522422,7.606696137448243,0.25,18.274578282620002,5.675078933970664,12919.5,10450.666666666666
2025-12-19,2025-11-19,2025-12-18,active_fast_exec_state_top_quantile,12.0,-14.134781987565333,-1.662972282907108,0.16666666666666666,25.244025211022816,4.471809704658228,10660.0,8084.166666666667
2025-12-19,2025-11-19,2025-12-18,active_fast_exec_model_top_quantile,12.0,6.3150931190935315,18.565073703665597,0.4166666666666667,10.478986520717585,4.249980584572062,8961.166666666666,7762.5
2025-12-20,2025-11-20,2025-12-19,active_fast_exec_baseline,12.0,-13.284148171915104,-0.23531700227258368,0.16666666666666666,16.58603624101733,5.048831169642519,17083.916666666668,38613.5
2025-12-20,2025-11-20,2025-12-19,active_fast_exec_state_top_quantile,12.0,-6.389255591204304,5.880168915406344,0.25,16.301151215339555,4.269424506610647,24453.083333333332,49312.666666666664
2025-12-20,2025-11-20,2025-12-19,active_fast_exec_model_top_quantile,12.0,-0.015267375073074074,10.564568060760783,0.3333333333333333,9.19651869017657,2.579835435833856,15743.666666666666,12585.333333333334
2025-12-21,2025-11-21,2025-12-20,active_fast_exec_baseline,12.0,-4.428704787435895,7.850803925245713,0.5833333333333334,21.58917402780264,4.279508712681608,10631.583333333334,37347.583333333336
2025-12-21,2025-11-21,2025-12-20,active_fast_exec_state_top_quantile,12.0,-9.051275748714332,2.8617026535929235,0.4166666666666667,15.828664854481053,3.912978402307255,15239.916666666666,29885.25
2025-12-21,2025-11-21,2025-12-20,active_fast_exec_model_top_quantile,12.0,0.989262711909095,12.993451795165939,0.6666666666666666,21.403802946921846,4.004189083256846,20400.666666666668,19470.916666666668
2025-12-22,2025-11-22,2025-12-21,active_fast_exec_baseline,12.0,-11.87764355376895,0.9580481046357149,0.08333333333333333,19.215735076556495,4.835691658404664,9531.25,9351.416666666666
2025-12-22,2025-11-22,2025-12-21,active_fast_exec_state_top_quantile,12.0,-10.574379591573097,-0.12134265660425791,0.16666666666666666,11.936064659333704,2.453036934968837,7157.666666666667,19165.0
