symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
UNIUSDT,5,4,13.0,-1.984170321151913,-2.674593533763478,0.23076923076923078,7.0,-1.725016558224285,-0.6429605529425755,0.2857142857142857,20.0,-1.8934665041272427,-1.963521990476162,10.689021730853066,-3.587071091257151
GRASSUSDT,5,4,115.0,-2.759938777030255,-3.7354709979927403,0.34782608695652173,75.0,-1.7341953047658247,-1.2733182647140928,0.3333333333333333,190.0,-2.3550400379785064,-2.7635686032774855,14.1202347031187,-7.510337424917372
JUPUSDT,5,4,66.0,-0.6234062497232112,-0.18379106425513161,0.42424242424242425,35.0,-1.959382263448329,0.985292057157907,0.22857142857142856,101.0,-1.0863682346774601,0.22133675009592146,11.414275693130042,-7.021483448742086
USELESSUSDT,5,4,116.0,-4.297735898131899,-4.083142875708509,0.22413793103448276,79.0,-2.2594808372997304,-1.1733357740235975,0.31645569620253167,195.0,-3.471981283743482,-2.904297947333596,13.86095358666718,-9.90110520958266
POPCATUSDT,5,4,93.0,-0.6608906017835705,-1.192539538437918,0.3978494623655914,79.0,-2.766487983793253,-2.5673584397747065,0.34177215189873417,172.0,-1.6279963760787148,-1.8239970570751642,12.258971112410183,-12.122824029487278
AIXBTUSDT,5,4,109.0,-0.6063347038396832,-0.3353418747607412,0.45871559633027525,81.0,-2.8165790559320674,-2.2175996135090914,0.3333333333333333,190.0,-1.5485967697316998,-1.1377780686481955,13.625036829840777,-12.41187313721722
BEATUSDT,5,4,118.0,-5.828471139715919,-4.908270521269585,0.16101694915254236,81.0,-2.995751725787094,-3.801386607388149,0.2962962962962963,199.0,-4.675454694850418,-4.457729832704779,13.847307713386694,-13.20143679005109
SANDUSDT,5,4,39.0,-0.8245131105206335,-0.026394587684555642,0.358974358974359,58.0,-3.82481288370534,-4.125591279817135,0.1724137931034483,97.0,-2.618506789332108,-2.4774606510215618,11.690767792898844,-15.595817749241537
SEIUSDT,5,4,43.0,4.276438474544534,3.956260322088222,0.6744186046511628,52.0,-5.478438185978172,-4.7919427715736544,0.057692307692307696,95.0,-1.0630729606889464,-0.7901051861751366,11.60101471699778,-21.750998828684292
BNBUSDT,5,4,26.0,-6.024994498959651,-5.626142509439603,0.0,35.0,-6.017271107234371,-5.35493889292551,0.0,61.0,-6.020563044691047,-5.470533877013485,10.704131448239755,-21.563004970599135
PIPPINUSDT,5,4,115.0,-7.3251620549294065,-6.997354174372902,0.034782608695652174,91.0,-7.991948671052061,-7.967005863436971,0.03296703296703297,206.0,-7.619713424187472,-7.423054915913225,22.454809673982364,-36.13790220912547
HUSDT,5,4,57.0,-5.117135161910869,-4.038417258848969,0.12280701754385964,96.0,-8.100652423521696,-7.2578492365306095,0.09375,153.0,-6.989145992725506,-6.050562244899994,32.36125672863391,-37.058143574924735
SAHARAUSDT,5,4,2.0,9.953403141373059,9.661225056104234,1.0,0.0,,,,2.0,9.953403141373059,9.661225056104234,11.192077921630128,-0.0
ESPUSDT,5,4,1.0,9.124212359854731,2.4991886990557504,1.0,0.0,,,,1.0,9.124212359854731,2.4991886990557504,10.49918869905575,-0.0
ZORAUSDT,5,4,1.0,7.091843896155588,3.859170651624673,1.0,0.0,,,,1.0,7.091843896155588,3.859170651624673,12.394244759388329,-0.0
BERAUSDT,5,4,1.0,4.970168612191912,0.10635538261994526,1.0,0.0,,,,1.0,4.970168612191912,0.10635538261994526,12.970168612191912,-0.0
BCHUSDT,5,4,1.0,3.5684761385059787,3.5507933514402694,1.0,0.0,,,,1.0,3.5684761385059787,3.5507933514402694,13.951491736425847,-0.0
DASHUSDT,5,4,6.0,3.4438352981346045,5.405525698017192,1.0,0.0,,,,6.0,3.4438352981346045,5.405525698017192,11.944207757859095,-0.0
PENGUUSDT,5,4,1.0,2.8594393328154126,-1.8023230483152837,1.0,0.0,,,,1.0,2.8594393328154126,-1.8023230483152837,12.414649286158763,-0.0
HBARUSDT,5,4,1.0,1.3714151206625296,0.3346102957126966,1.0,0.0,,,,1.0,1.3714151206625296,0.3346102957126966,10.410160316467465,-0.0
BARDUSDT,5,4,3.0,-2.328564058866012,0.2775120149447545,0.0,0.0,,,,3.0,-2.328564058866012,0.2775120149447545,10.458175959861352,-0.0
TONUSDT,5,4,1.0,-3.2190902944892947,1.5942851710728583,0.0,0.0,,,,1.0,-3.2190902944892947,1.5942851710728583,10.402496599182243,-0.0
