test_day,train_start_day,train_end_day,symbol,rank,train_events,mean_edge_bps,positive_day_share,selection_score,was_active_prev_day
2026-02-13,2026-01-14,2026-02-12,AIXBTUSDT,10,534.0,1.717971865494933,0.8666666666666667,3.0740270332607906,True
2026-02-13,2026-01-14,2026-02-12,GIGGLEUSDT,6,239.0,3.5762242285479924,0.896551724137931,3.816289933451054,True
2026-02-13,2026-01-14,2026-02-12,AEROUSDT,8,181.0,3.2841501236154413,0.9,3.5238577461510423,True
2026-02-14,2026-01-15,2026-02-13,DYDXUSDT,1,685.0,32.02654083553549,1.0,13.154143001852878,True
2026-02-14,2026-01-15,2026-02-13,CRVUSDT,2,669.0,13.730036882198087,0.9666666666666667,10.13897970838836,True
2026-02-14,2026-01-15,2026-02-13,INITUSDT,6,162.0,11.129875451059265,1.0,4.092128847676628,True
2026-02-14,2026-01-15,2026-02-13,ATHUSDT,3,396.0,6.514699077886482,1.0,8.832233820066776,True
2026-02-14,2026-01-15,2026-02-13,GALAUSDT,4,620.0,6.287969771616762,0.9333333333333333,7.219126911932146,True
2026-02-14,2026-01-15,2026-02-13,AIXBTUSDT,12,548.0,1.5294719462736857,0.8333333333333334,2.6016167244559982,True
2026-02-14,2026-01-15,2026-02-13,GIGGLEUSDT,5,233.0,3.8523353254968136,0.896551724137931,4.145058417170741,True
2026-02-14,2026-01-15,2026-02-13,AEROUSDT,8,192.0,3.4122615200049533,0.9,3.7351975182467534,True
2026-02-15,2026-01-16,2026-02-14,DYDXUSDT,1,682.0,32.95413176458118,1.0,13.795649682108492,True
2026-02-15,2026-01-16,2026-02-14,CRVUSDT,2,670.0,13.86420055223233,0.9666666666666667,10.30496338292626,True
2026-02-15,2026-01-16,2026-02-14,INITUSDT,6,145.0,11.30989395714813,1.0,4.008755554568926,True
2026-02-15,2026-01-16,2026-02-14,ATHUSDT,3,391.0,6.4692446915347075,1.0,8.761267432802216,True
2026-02-15,2026-01-16,2026-02-14,GALAUSDT,4,620.0,6.438337388480972,0.9333333333333333,7.48177923685516,True
2026-02-15,2026-01-16,2026-02-14,GIGGLEUSDT,5,224.0,4.181423072614964,0.896551724137931,4.510012462638637,True
2026-02-15,2026-01-16,2026-02-14,AEROUSDT,7,195.0,3.283870950191171,0.8666666666666667,3.396987496713847,True
2026-02-16,2026-01-17,2026-02-15,DYDXUSDT,1,681.0,33.65302237693646,1.0,14.468324956879904,True
2026-02-16,2026-01-17,2026-02-15,CRVUSDT,2,670.0,14.29392746314881,0.9666666666666667,10.598070213835102,True
2026-02-16,2026-01-17,2026-02-15,INITUSDT,6,128.0,11.820327378790129,1.0,4.042819360756676,True
2026-02-16,2026-01-17,2026-02-15,ATHUSDT,3,382.0,6.392669904078859,1.0,8.655795059200042,True
2026-02-16,2026-01-17,2026-02-15,GALAUSDT,4,624.0,6.422022024733619,0.9333333333333333,7.466425473549157,True
2026-02-16,2026-01-17,2026-02-15,GIGGLEUSDT,5,208.0,4.791916180021996,0.9310344827586207,5.351114007448569,True
2026-02-16,2026-01-17,2026-02-15,AEROUSDT,7,204.0,3.263431472743781,0.8666666666666667,3.4080934949302293,True
2026-02-17,2026-01-18,2026-02-16,DYDXUSDT,1,681.0,33.80502562366256,1.0,14.644083797523516,True
2026-02-17,2026-01-18,2026-02-16,CRVUSDT,2,669.0,14.810907786661515,0.9666666666666667,11.165075399198248,True
2026-02-17,2026-01-18,2026-02-16,INITUSDT,6,113.0,12.81558873372844,1.0,4.269909811896043,True
2026-02-17,2026-01-18,2026-02-16,ATHUSDT,4,379.0,6.415748990255164,1.0,8.66406452582244,True
2026-02-17,2026-01-18,2026-02-16,GALAUSDT,3,620.0,6.893509843496403,0.9666666666666667,9.06503070692869,True
2026-02-17,2026-01-18,2026-02-16,GIGGLEUSDT,5,198.0,5.399811579440292,0.9655172413793104,6.222730524361185,True
2026-02-17,2026-01-18,2026-02-16,AEROUSDT,7,208.0,3.182954069341385,0.8666666666666667,4.116453298601997,True
2026-02-18,2026-01-19,2026-02-17,DYDXUSDT,1,681.0,34.43202918602411,1.0,14.919926454196073,True
2026-02-18,2026-01-19,2026-02-17,CRVUSDT,2,669.0,15.129820156247865,0.9666666666666667,11.259729457276054,True
2026-02-18,2026-01-19,2026-02-17,INITUSDT,6,98.0,13.929119823685928,1.0,4.491271087578531,True
2026-02-18,2026-01-19,2026-02-17,ATHUSDT,4,383.0,6.377875443002529,1.0,8.664437553901388,True
2026-02-18,2026-01-19,2026-02-17,GALAUSDT,3,624.0,7.085520039109431,0.9666666666666667,9.260472975993299,True
2026-02-18,2026-01-19,2026-02-17,GIGGLEUSDT,5,190.0,6.073931542731153,1.0,7.672451205057104,True
2026-02-18,2026-01-19,2026-02-17,AEROUSDT,7,213.0,3.103179687091603,0.8666666666666667,4.124449706076119,True
2026-02-19,2026-01-20,2026-02-18,DYDXUSDT,1,680.0,35.273350127783466,1.0,15.384288257439737,True
2026-02-19,2026-01-20,2026-02-18,CRVUSDT,3,669.0,15.271879126941636,0.9666666666666667,11.304549163933602,True
2026-02-19,2026-01-20,2026-02-18,INITUSDT,7,86.0,14.162528098456917,1.0,4.351932421436269,True
2026-02-19,2026-01-20,2026-02-18,ATHUSDT,5,398.0,6.140750557230551,1.0,8.13040776353313,True
2026-02-19,2026-01-20,2026-02-18,GALAUSDT,4,624.0,7.428326936686153,0.9666666666666667,9.72164533713164,True
2026-02-19,2026-01-20,2026-02-18,GIGGLEUSDT,6,193.0,6.213413413445724,1.0,7.8934984949719516,True
2026-02-19,2026-01-20,2026-02-18,AEROUSDT,8,212.0,3.1720188237023352,0.8666666666666667,4.258506902008976,True
2026-02-20,2026-01-21,2026-02-19,DYDXUSDT,2,678.0,35.52887615855232,1.0,15.55049034176228,True
2026-02-20,2026-01-21,2026-02-19,CRVUSDT,4,669.0,15.12958203933692,0.9666666666666667,11.200515725592743,True
2026-02-20,2026-01-21,2026-02-19,INITUSDT,8,79.0,14.132036928793411,1.0,4.1600426161742785,True
2026-02-20,2026-01-21,2026-02-19,ATHUSDT,6,408.0,6.053572735435199,1.0,8.22064961518844,True
2026-02-20,2026-01-21,2026-02-19,GALAUSDT,3,624.0,8.02656958622202,1.0,11.221846633825901,True
2026-02-20,2026-01-21,2026-02-19,GIGGLEUSDT,5,203.0,6.50950762991338,1.0,8.457886664956161,True
2026-02-20,2026-01-21,2026-02-19,AEROUSDT,7,211.0,3.193977308461667,0.8666666666666667,4.276867384441061,True
2026-02-21,2026-01-22,2026-02-20,DYDXUSDT,2,677.0,36.93742861372159,1.0,16.493221238119297,True
2026-02-21,2026-01-22,2026-02-20,CRVUSDT,4,670.0,15.211011059605635,0.9666666666666667,11.226685023726892,True
2026-02-21,2026-01-22,2026-02-20,INITUSDT,8,78.0,14.192506465195434,1.0,4.106716077876266,True
2026-02-21,2026-01-22,2026-02-20,ATHUSDT,6,417.0,5.860933566286923,1.0,8.10466972916864,True
