day,month,equity_start_dollars,day_pnl_dollars,day_return_pct,month_realized_pnl_dollars,equity_end_dollars
2025-11-04,2025-11,100609.27,104.08,0.1034,740.06,100713.34
2025-11-05,2025-11,100713.34,72.08,0.0716,740.06,100785.42
2025-11-06,2025-11,100785.42,4.22,0.0042,740.06,100789.64
2025-11-07,2025-11,100789.64,10.04,0.0100,740.06,100799.68
2025-11-08,2025-11,100799.68,4.83,0.0048,740.06,100804.51
2025-11-09,2025-11,100804.51,11.34,0.0112,740.06,100815.85
2025-11-10,2025-11,100815.85,5.29,0.0053,740.06,100821.14
2025-11-11,2025-11,100821.14,0.07,0.0001,740.06,100821.21
2025-11-12,2025-11,100821.21,16.15,0.0160,740.06,100837.36
2025-11-13,2025-11,100837.36,19.32,0.0192,740.06,100856.68
2025-11-14,2025-11,100856.68,28.34,0.0281,740.06,100885.03
2025-11-15,2025-11,100885.03,53.63,0.0532,740.06,100938.66
2025-11-16,2025-11,100938.66,-9.31,-0.0092,740.06,100929.35
2025-11-17,2025-11,100929.35,55.14,0.0546,740.06,100984.50
2025-11-18,2025-11,100984.50,17.84,0.0177,740.06,101002.34
2025-11-19,2025-11,101002.34,10.28,0.0102,740.06,101012.63
2025-11-20,2025-11,101012.63,5.36,0.0053,740.06,101017.98
2025-11-21,2025-11,101017.98,29.11,0.0288,740.06,101047.10
2025-11-22,2025-11,101047.10,-22.41,-0.0222,740.06,101024.69
2025-11-23,2025-11,101024.69,0.20,0.0002,740.06,101024.89
2025-11-24,2025-11,101024.89,-10.09,-0.0100,740.06,101014.79
2025-11-25,2025-11,101014.79,81.17,0.0804,740.06,101095.96
2025-11-26,2025-11,101095.96,62.14,0.0615,740.06,101158.10
2025-11-27,2025-11,101158.10,23.10,0.0228,740.06,101181.20
2025-11-28,2025-11,101181.20,103.70,0.1025,740.06,101284.90
2025-11-29,2025-11,101284.90,41.37,0.0408,740.06,101326.27
2025-11-30,2025-11,101326.27,-9.78,-0.0096,740.06,101316.49
2025-12-01,2025-12,101316.49,-12.29,-0.0121,1041.05,101304.21
2025-12-02,2025-12,101304.21,0.95,0.0009,1041.05,101305.16
2025-12-03,2025-12,101305.16,36.80,0.0363,1041.05,101341.96
2025-12-04,2025-12,101341.96,48.08,0.0474,1041.05,101390.04
2025-12-05,2025-12,101390.04,6.73,0.0066,1041.05,101396.77
2025-12-06,2025-12,101396.77,51.84,0.0511,1041.05,101448.61
2025-12-07,2025-12,101448.61,53.92,0.0531,1041.05,101502.53
2025-12-08,2025-12,101502.53,36.76,0.0362,1041.05,101539.30
2025-12-09,2025-12,101539.30,79.37,0.0782,1041.05,101618.66
2025-12-10,2025-12,101618.66,27.31,0.0269,1041.05,101645.98
2025-12-11,2025-12,101645.98,-6.53,-0.0064,1041.05,101639.45
2025-12-12,2025-12,101639.45,63.56,0.0625,1041.05,101703.01
2025-12-13,2025-12,101703.01,73.82,0.0726,1041.05,101776.83
2025-12-14,2025-12,101776.83,68.40,0.0672,1041.05,101845.24
2025-12-15,2025-12,101845.24,35.96,0.0353,1041.05,101881.19
2025-12-16,2025-12,101881.19,12.95,0.0127,1041.05,101894.14
2025-12-17,2025-12,101894.14,89.46,0.0878,1041.05,101983.60
2025-12-18,2025-12,101983.60,-11.50,-0.0113,1041.05,101972.10
2025-12-19,2025-12,101972.10,14.64,0.0144,1041.05,101986.74
2025-12-20,2025-12,101986.74,51.01,0.0500,1041.05,102037.76
2025-12-21,2025-12,102037.76,-14.88,-0.0146,1041.05,102022.88
2025-12-22,2025-12,102022.88,133.07,0.1304,1041.05,102155.95
2025-12-23,2025-12,102155.95,31.22,0.0306,1041.05,102187.17
2025-12-24,2025-12,102187.17,46.31,0.0453,1041.05,102233.48
2025-12-25,2025-12,102233.48,29.09,0.0285,1041.05,102262.57
2025-12-26,2025-12,102262.57,27.27,0.0267,1041.05,102289.83
2025-12-27,2025-12,102289.83,-15.31,-0.0150,1041.05,102274.53
2025-12-28,2025-12,102274.53,51.82,0.0507,1041.05,102326.34
2025-12-29,2025-12,102326.34,7.60,0.0074,1041.05,102333.94
2025-12-30,2025-12,102333.94,43.33,0.0423,1041.05,102377.27
2025-12-31,2025-12,102377.27,-19.73,-0.0193,1041.05,102357.55
2026-01-01,2026-01,102357.55,53.41,0.0522,881.70,102410.95
2026-01-02,2026-01,102410.95,74.67,0.0729,881.70,102485.62
2026-01-03,2026-01,102485.62,-12.17,-0.0119,881.70,102473.45
2026-01-04,2026-01,102473.45,20.29,0.0198,881.70,102493.74
2026-01-05,2026-01,102493.74,-20.03,-0.0195,881.70,102473.71
2026-01-06,2026-01,102473.71,20.30,0.0198,881.70,102494.01
2026-01-07,2026-01,102494.01,22.62,0.0221,881.70,102516.63
2026-01-08,2026-01,102516.63,20.81,0.0203,881.70,102537.44
2026-01-09,2026-01,102537.44,3.96,0.0039,881.70,102541.40
2026-01-10,2026-01,102541.40,-3.39,-0.0033,881.70,102538.01
2026-01-11,2026-01,102538.01,31.51,0.0307,881.70,102569.52
2026-01-12,2026-01,102569.52,2.12,0.0021,881.70,102571.64
2026-01-13,2026-01,102571.64,32.39,0.0316,881.70,102604.04
2026-01-14,2026-01,102604.04,24.66,0.0240,881.70,102628.70
2026-01-15,2026-01,102628.70,12.23,0.0119,881.70,102640.93
2026-01-16,2026-01,102640.93,26.77,0.0261,881.70,102667.70
2026-01-17,2026-01,102667.70,15.53,0.0151,881.70,102683.23
2026-01-18,2026-01,102683.23,35.67,0.0347,881.70,102718.90
2026-01-19,2026-01,102718.90,-13.28,-0.0129,881.70,102705.62
2026-01-20,2026-01,102705.62,56.34,0.0549,881.70,102761.96
2026-01-21,2026-01,102761.96,80.85,0.0787,881.70,102842.81
2026-01-22,2026-01,102842.81,3.58,0.0035,881.70,102846.39
2026-01-23,2026-01,102846.39,3.89,0.0038,881.70,102850.28
2026-01-24,2026-01,102850.28,-31.11,-0.0303,881.70,102819.16
2026-01-25,2026-01,102819.16,6.29,0.0061,881.70,102825.46
2026-01-26,2026-01,102825.46,119.80,0.1165,881.70,102945.26
2026-01-27,2026-01,102945.26,38.15,0.0371,881.70,102983.41
2026-01-28,2026-01,102983.41,-11.01,-0.0107,881.70,102972.39
2026-01-29,2026-01,102972.39,98.97,0.0961,881.70,103071.37
2026-01-30,2026-01,103071.37,92.08,0.0893,881.70,103163.45
2026-01-31,2026-01,103163.45,75.80,0.0735,881.70,103239.25
2026-02-01,2026-02,103239.25,111.51,0.1080,2006.49,103350.76
2026-02-02,2026-02,103350.76,96.33,0.0932,2006.49,103447.09
2026-02-03,2026-02,103447.09,61.81,0.0598,2006.49,103508.91
2026-02-04,2026-02,103508.91,28.59,0.0276,2006.49,103537.50
2026-02-05,2026-02,103537.50,55.41,0.0535,2006.49,103592.91
2026-02-06,2026-02,103592.91,32.60,0.0315,2006.49,103625.52
2026-02-07,2026-02,103625.52,76.20,0.0735,2006.49,103701.72
2026-02-08,2026-02,103701.72,116.18,0.1120,2006.49,103817.89
2026-02-09,2026-02,103817.89,30.65,0.0295,2006.49,103848.54
2026-02-10,2026-02,103848.54,97.21,0.0936,2006.49,103945.75
2026-02-11,2026-02,103945.75,29.41,0.0283,2006.49,103975.16
2026-02-12,2026-02,103975.16,54.93,0.0528,2006.49,104030.09
2026-02-13,2026-02,104030.09,115.10,0.1106,2006.49,104145.19
2026-02-14,2026-02,104145.19,21.87,0.0210,2006.49,104167.07
2026-02-15,2026-02,104167.07,18.96,0.0182,2006.49,104186.02
2026-02-16,2026-02,104186.02,34.40,0.0330,2006.49,104220.42
2026-02-17,2026-02,104220.42,90.00,0.0864,2006.49,104310.43
2026-02-18,2026-02,104310.43,40.66,0.0390,2006.49,104351.09
2026-02-19,2026-02,104351.09,-11.78,-0.0113,2006.49,104339.31
2026-02-20,2026-02,104339.31,106.46,0.1020,2006.49,104445.77
2026-02-21,2026-02,104445.77,103.43,0.0990,2006.49,104549.20
2026-02-22,2026-02,104549.20,75.07,0.0718,2006.49,104624.26
2026-02-23,2026-02,104624.26,29.45,0.0281,2006.49,104653.72
2026-02-24,2026-02,104653.72,169.52,0.1620,2006.49,104823.24
2026-02-25,2026-02,104823.24,91.65,0.0874,2006.49,104914.89
2026-02-26,2026-02,104914.89,46.65,0.0445,2006.49,104961.54
2026-02-27,2026-02,104961.54,147.09,0.1401,2006.49,105108.62
2026-02-28,2026-02,105108.62,137.11,0.1304,2006.49,105245.73
2026-03-01,2026-03,105245.73,36.57,0.0347,112.89,105282.30
2026-03-02,2026-03,105282.30,76.32,0.0725,112.89,105358.62
