symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
GALAUSDT,2026-01-21,2026-01,1769012880000,1769012940000,9.527479,26.374156,18.822469,10243.58,19.28
CRVUSDT,2026-01-22,2026-01,1769040780000,1769040840000,9.044189,-8.114646,-16.013209,10245.51,-16.41
CRVUSDT,2026-01-22,2026-01,1769040840000,1769040900000,10.574876,8.114646,-1.001113,10243.87,-1.03
CRVUSDT,2026-01-22,2026-01,1769041500000,1769041560000,16.951069,48.745264,39.089700,10243.77,40.04
GALAUSDT,2026-01-22,2026-01,1769042880000,1769042940000,14.959804,13.698862,5.644311,10247.77,5.78
GALAUSDT,2026-01-22,2026-01,1769056200000,1769056260000,9.708317,5.968800,-1.596728,10248.35,-1.64
GALAUSDT,2026-01-22,2026-01,1769059020000,1769059080000,22.819335,19.069984,11.163225,10248.19,11.44
CRVUSDT,2026-01-23,2026-01,1769127000000,1769127060000,13.093662,-0.000000,-8.208422,10249.33,-8.41
CRVUSDT,2026-01-23,2026-01,1769127060000,1769127120000,8.082568,8.292542,0.362572,10248.49,0.37
GALAUSDT,2026-01-23,2026-01,1769127960000,1769128020000,9.408289,4.731046,-3.705480,10248.52,-3.80
GALAUSDT,2026-01-23,2026-01,1769128140000,1769128200000,8.568643,9.399451,1.831758,10248.15,1.88
CRVUSDT,2026-01-23,2026-01,1769129220000,1769129280000,8.280352,35.855988,27.650689,10248.33,28.34
GALAUSDT,2026-01-23,2026-01,1769131080000,1769131140000,11.775992,-0.000000,-7.405369,10251.17,-7.59
CRVUSDT,2026-01-24,2026-01,1769214900000,1769214960000,11.023138,-0.000000,-9.054707,10250.41,-9.28
CRVUSDT,2026-01-24,2026-01,1769214960000,1769215020000,13.312728,22.150765,13.096058,10249.48,13.42
CRVUSDT,2026-01-24,2026-01,1769215140000,1769215200000,12.460756,13.985959,5.045214,10250.82,5.17
GALAUSDT,2026-01-24,2026-01,1769215980000,1769216040000,11.062523,9.481652,1.425591,10251.34,1.46
GALAUSDT,2026-01-24,2026-01,1769217960000,1769218020000,9.367641,3.166556,-4.259977,10251.48,-4.37
GALAUSDT,2026-01-24,2026-01,1769218080000,1769218140000,8.039233,26.936091,19.113851,10251.05,19.59
CRVUSDT,2026-01-25,2026-01,1769300400000,1769300460000,11.761917,5.555545,-2.668839,10253.01,-2.74
GALAUSDT,2026-01-25,2026-01,1769306700000,1769306760000,8.929521,3.217498,-4.795267,10252.73,-4.92
GALAUSDT,2026-01-25,2026-01,1769307840000,1769307900000,9.627061,-4.831685,-12.283506,10252.24,-12.59
GALAUSDT,2026-01-25,2026-01,1769309400000,1769309460000,9.317578,-1.615766,-9.476646,10250.98,-9.71
CRVUSDT,2026-01-25,2026-01,1769311800000,1769311860000,9.417591,2.870309,-5.246626,10250.01,-5.38
CRVUSDT,2026-01-25,2026-01,1769313000000,1769313060000,8.160213,30.947084,22.978185,10249.47,23.55
CRVUSDT,2026-01-26,2026-01,1769400660000,1769400720000,8.363444,28.686173,20.965003,10251.83,21.49
CRVUSDT,2026-01-26,2026-01,1769402220000,1769402280000,9.840226,28.530670,20.534987,10253.98,21.06
CRVUSDT,2026-01-26,2026-01,1769405160000,1769405220000,12.548691,34.387240,25.236035,10256.08,25.88
GALAUSDT,2026-01-26,2026-01,1769433840000,1769433900000,12.146261,16.420368,8.778008,10258.67,9.01
GALAUSDT,2026-01-26,2026-01,1769448060000,1769448120000,25.119808,0.065743,-8.421324,10259.57,-8.64
GALAUSDT,2026-01-26,2026-01,1769449140000,1769449200000,12.071004,-0.000000,-7.733041,10258.71,-7.93
GALAUSDT,2026-01-27,2026-01,1769473620000,1769473680000,13.469068,-0.000000,-8.313940,10257.92,-8.53
GALAUSDT,2026-01-27,2026-01,1769473680000,1769473740000,15.179318,8.254897,0.437016,10257.06,0.45
GALAUSDT,2026-01-27,2026-01,1769474100000,1769474160000,26.085676,23.106670,15.374119,10257.11,15.77
