symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
GALAUSDT,2026-02-13,2026-02,1770951480000,1770951540000,19.030158,10.183291,0.277889,25413.65,0.71
GALAUSDT,2026-02-13,2026-02,1770957060000,1770957120000,9.636903,33.435557,22.743034,25413.82,57.80
GALAUSDT,2026-02-13,2026-02,1770960240000,1770960300000,10.415736,-2.573993,-13.145973,25428.27,-33.43
CRVUSDT,2026-02-14,2026-02,1771029840000,1771029900000,9.764288,27.700831,16.483511,25419.92,41.90
GALAUSDT,2026-02-14,2026-02,1771039800000,1771039860000,12.866574,-2.405571,-12.824942,25430.39,-32.61
CRVUSDT,2026-02-14,2026-02,1771043940000,1771044000000,14.626321,7.849196,-4.926734,25422.24,-12.52
CRVUSDT,2026-02-14,2026-02,1771044480000,1771044540000,9.076183,39.432177,28.423168,25419.11,72.25
GALAUSDT,2026-02-14,2026-02,1771055640000,1771055700000,14.303264,2.411372,-8.133635,25437.17,-20.69
GALAUSDT,2026-02-14,2026-02,1771055700000,1771055760000,17.979353,2.412537,-7.891333,25432.00,-20.07
CRVUSDT,2026-02-15,2026-02,1771118940000,1771119000000,14.889129,64.383918,52.345610,25426.98,133.10
CRVUSDT,2026-02-15,2026-02,1771120740000,1771120800000,9.135829,60.377393,48.729458,25460.26,124.07
CRVUSDT,2026-02-15,2026-02,1771122480000,1771122540000,15.236969,-3.777823,-15.249458,25491.27,-38.87
GALAUSDT,2026-02-15,2026-02,1771125060000,1771125120000,14.261498,16.286101,5.708466,25481.55,14.55
GALAUSDT,2026-02-15,2026-02,1771131480000,1771131540000,9.464514,11.614393,1.158951,25485.19,2.95
GALAUSDT,2026-02-15,2026-02,1771134780000,1771134840000,13.653343,6.894956,-3.540724,25485.93,-9.02
SEIUSDT,2026-02-15,2026-02,1771163640000,1771163700000,16.692514,1.352782,-8.635329,25483.67,-22.01
SEIUSDT,2026-02-15,2026-02,1771175820000,1771175880000,31.652577,1.334576,-8.920984,25478.17,-22.73
SEIUSDT,2026-02-15,2026-02,1771175880000,1771175940000,29.247531,16.040994,6.253874,25472.49,15.93
GALAUSDT,2026-02-16,2026-02,1771200600000,1771200660000,8.096175,14.648389,3.465659,25476.47,8.83
CRVUSDT,2026-02-16,2026-02,1771201200000,1771201260000,17.913466,3.966611,-8.862444,25478.68,-22.58
CRVUSDT,2026-02-16,2026-02,1771201260000,1771201320000,11.720014,39.840637,27.408243,25473.03,69.82
