symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
GALAUSDT,2026-02-28,2026-02,1772284740000,1772284800000,17.740940,-26.635099,26.635099,0.000000,0.859845,24.433260,12.212852,11.852922,6.827430,1,0,0.003378,0.003379,2.959893,26019.660801,35061.484262,-0.148030,0.000000,0,0,nan,0,390514.800970,261685.941350,0.197529,1.000000,0,11.174920,-1.000000
GALAUSDT,2026-02-28,2026-02,1772285520000,1772285580000,38.525551,-17.772512,17.772512,0.000000,0.852975,11.199347,9.678827,7.932258,28.498300,1,0,0.003375,0.003376,2.962524,28030.588470,32215.871809,-0.069469,0.000000,0,0,nan,29000,283770.924370,341058.308920,-0.091685,4.000000,0,59.814130,-1.000000
GALAUSDT,2026-02-28,2026-02,1772289000000,1772289060000,-0.076767,-26.246719,26.246719,8.784554,0.854252,34.440733,16.090066,15.787432,-11.390667,0,0,0.003435,0.003436,2.910784,26143.700965,28068.622999,-0.035507,0.000000,0,0,nan,28000,304703.903630,339482.681620,-0.053989,4.000000,12.542240,21.458080,-0.262228
GALAUSDT,2026-02-28,2026-02,1772293140000,1772293200000,20.670747,-17.720024,17.720024,8.836483,0.848510,19.571817,21.776720,15.651233,10.206920,1,0,0.003388,0.003389,2.951158,25188.943947,35076.165341,-0.164062,8.000000,111.769220,213.520556,-0.312802,28000,302350.440630,334309.068670,-0.050197,4.000000,0,40.742520,-1.000000
GALAUSDT,2026-02-28,2026-02,1772293320000,1772293380000,41.311874,-29.498525,29.498525,2.942019,0.850960,58.078307,19.332848,22.133045,29.964921,1,0,0.003388,0.003389,2.951158,32305.489632,33618.883812,-0.019923,0.000000,0,0,nan,28000,411552.236370,236863.597270,0.269408,7.000000,10.827660,167.303240,-0.878430
GALAUSDT,2026-02-28,2026-02,1772295000000,1772295060000,-8.805347,-20.606417,20.606417,0.000000,0.859523,22.738829,16.665492,13.740035,-19.115989,0,0,0.003396,0.003397,2.944207,35752.277921,31279.987438,0.066718,5.000000,0,132.150094,-1.000000,29000,389702.798330,246984.714950,0.224157,4.000000,8.068200,30.313380,-0.579580
GALAUSDT,2026-02-28,2026-02,1772295060000,1772295120000,11.743920,-29.411765,29.411765,8.805347,0.859523,22.738829,5.011150,7.912864,0.112476,1,0,0.003397,0.003398,2.943341,33437.599479,35581.459314,-0.031062,8.000000,189.980622,0,1.000000,0,317575.911620,245044.984810,0.128916,5.000000,0,98.679510,-1.000000
GALAUSDT,2026-02-28,2026-02,1772295120000,1772295180000,-0.000000,-17.667845,17.667845,11.743920,0.859523,22.738829,25.068359,17.941468,-10.603981,0,0,0.003400,0.003401,2.940744,28759.030245,31458.176893,-0.044824,0.000000,0,0,nan,28000,334220.014310,238394.712660,0.167347,6.000000,40.650400,41.493600,-0.010265
GALAUSDT,2026-02-28,2026-02,1772295180000,1772295240000,11.788950,-17.667845,17.667845,0.000000,0.859523,22.738829,13.350014,12.082296,1.772165,1,0,0.003395,0.003396,2.945074,36264.040436,33452.458585,0.040329,0.000000,0,0,nan,0,274957.286070,282217.991140,-0.013031,3.000000,0,47.378640,-1.000000
GALAUSDT,2026-02-28,2026-02,1772297580000,1772297640000,-0.000000,-20.485806,20.485806,0.000000,0.863135,23.705048,15.086793,13.147541,-10.298581,0,0,0.003417,0.003418,2.926116,42989.073010,31494.390360,0.154325,0.000000,0,0,nan,0,380029.484470,219018.965540,0.268777,1.000000,0,28.364380,-1.000000
