ts,density,avg_clustering,n_components,eigvec_dispersion
2025-11-03 07:55:00+00:00,0.8328373015873016,0.9264846805316199,1,72435315972.2521
2025-11-03 08:55:00+00:00,0.8387896825396826,0.9273957134790911,1,72693303213.84875
2025-11-03 09:55:00+00:00,0.8338293650793651,0.9065806313140705,1,72478042737.662
2025-11-03 10:55:00+00:00,0.7862103174603174,0.8739955188557655,1,70378441301.29622
2025-11-03 11:55:00+00:00,0.7033730158730159,0.8223292302827951,1,66567560873.63298
2025-11-03 12:55:00+00:00,0.6924603174603174,0.8086045151547666,1,66048784094.82941
2025-11-03 13:55:00+00:00,0.7063492063492064,0.84014502799221,1,66707875956.91272
2025-11-03 14:55:00+00:00,0.6919642857142857,0.8456999412195375,1,66025270020.12136
2025-11-03 15:55:00+00:00,0.8204365079365079,0.9188704430896254,1,71893460498.31592
2025-11-03 16:55:00+00:00,0.8447420634920635,0.9236045493999392,1,72950777348.91103
2025-11-03 17:55:00+00:00,0.8283730158730159,0.9280429630990108,1,72240836180.55981
2025-11-03 18:55:00+00:00,0.8447420634920635,0.923709864432213,1,72950696357.81776
2025-11-03 19:55:00+00:00,0.8576388888888888,0.9498621895776744,1,73504891251.2507
2025-11-03 20:55:00+00:00,0.845734126984127,0.9496533923486172,1,72993520368.7604
2025-11-03 21:55:00+00:00,0.8338293650793651,0.9213395477777291,1,72477559942.80717
2025-11-03 22:55:00+00:00,0.7351190476190477,0.8757376706058508,1,68052532409.19739
2025-11-03 23:55:00+00:00,0.7668650793650794,0.8803321386485057,1,69506730864.45134
2025-11-04 00:55:00+00:00,0.7906746031746031,0.8875913792554587,1,70577657639.70331
2025-11-04 01:55:00+00:00,0.7976190476190477,0.9006666553671042,1,70887234393.78911
2025-11-04 02:55:00+00:00,0.6959325396825397,0.8370536258657891,1,66213951580.46278
2025-11-04 03:55:00+00:00,0.6815476190476191,0.822563928494906,1,65526566612.19982
2025-11-04 04:55:00+00:00,0.7063492063492064,0.8366779287730532,1,66708172198.734215
2025-11-04 05:55:00+00:00,0.8154761904761905,0.9085585264248102,1,71675560175.58507
2025-11-04 06:55:00+00:00,0.8070436507936508,0.9126906078884032,1,71304645156.64064
2025-11-04 07:55:00+00:00,0.8685515873015873,0.9301883470245942,1,73972041002.1044
2025-11-04 08:55:00+00:00,0.8497023809523809,0.92187215972434,1,73164403302.86848
2025-11-04 09:55:00+00:00,0.8288690476190477,0.9161774152970595,1,72261900349.36864
2025-11-04 10:55:00+00:00,0.8541666666666666,0.9288723876637832,1,73356677986.51448
2025-11-04 11:55:00+00:00,0.7658730158730159,0.885338323751697,1,69461911474.39523
2025-11-04 12:55:00+00:00,0.7242063492063492,0.8715985558347157,1,67545980466.12053
2025-11-04 13:55:00+00:00,0.7108134920634921,0.8411479905751764,1,66918571188.00537
2025-11-04 14:55:00+00:00,0.7395833333333334,0.8529181365314498,1,68259160010.03373
2025-11-04 15:55:00+00:00,0.8541666666666666,0.9313036556744345,1,73356840870.69852
2025-11-04 16:55:00+00:00,0.8621031746031746,0.9415607865035782,1,73695378498.79814
2025-11-04 17:55:00+00:00,0.8472222222222222,0.9493778920624019,1,73058033759.5899
2025-11-04 18:55:00+00:00,0.8392857142857143,0.9438081367383924,1,72714713483.95006
2025-11-04 19:55:00+00:00,0.8506944444444444,0.957999686251731,1,73207589768.22809
2025-11-04 20:55:00+00:00,0.8179563492063492,0.9452963021401253,1,71783915242.16273
2025-11-04 21:55:00+00:00,0.7966269841269841,0.9196519347466577,1,70842979273.51033
2025-11-04 22:55:00+00:00,0.84375,0.946205842441008,1,72907928136.78598
2025-11-04 23:55:00+00:00,0.8799603174603174,0.9591409440995391,1,74456115070.49731
2025-11-05 00:55:00+00:00,0.8834325396825397,0.9478335428463333,1,74602453953.9873
2025-11-05 01:55:00+00:00,0.8988095238095238,0.9663579872861046,1,75249417629.18997
2025-11-05 02:55:00+00:00,0.9141865079365079,0.9614110563340503,2,75889872145.83551
2025-11-05 03:55:00+00:00,0.9449404761904762,0.9649348573360013,1,77155811528.78725
2025-11-05 04:55:00+00:00,0.8963293650793651,0.9588163923131023,1,75145274685.87497
2025-11-05 05:55:00+00:00,0.9017857142857143,0.9799312138156152,1,75373983476.47478
2025-11-05 06:55:00+00:00,0.9141865079365079,0.9576654084956724,1,75889703638.33952
2025-11-05 07:55:00+00:00,0.8308531746031746,0.922754114771993,1,72348177416.31535
2025-11-05 08:55:00+00:00,0.7738095238095238,0.8818658617285163,1,69820735119.31834
2025-11-05 09:55:00+00:00,0.7544642857142857,0.8554153374180381,1,68942069213.88976
2025-11-05 10:55:00+00:00,0.7475198412698413,0.8573893380206633,1,68624352838.19806
2025-11-05 11:55:00+00:00,0.75,0.8827904561041895,1,68738406479.45296
2025-11-05 12:55:00+00:00,0.7698412698412699,0.8829567753299569,2,69641864067.91963
2025-11-05 13:55:00+00:00,0.7782738095238095,0.8927936240949067,2,70021618214.28966
2025-11-05 14:55:00+00:00,0.7326388888888888,0.8494923963298422,2,67937787799.73587
2025-11-05 15:55:00+00:00,0.720734126984127,0.8344594549562955,1,67383935426.12798
2025-11-05 16:55:00+00:00,0.6483134920634921,0.7804244224500951,1,63909044202.528755
2025-11-05 17:55:00+00:00,0.6130952380952381,0.7261204521424975,1,62148807476.16919
2025-11-05 18:55:00+00:00,0.6125992063492064,0.723280441567329,1,62123385403.25602
2025-11-05 19:55:00+00:00,0.5947420634920635,0.7166032798261761,1,61211586816.450356
2025-11-05 20:55:00+00:00,0.6438492063492064,0.7711554569914937,1,63688696014.28497
2025-11-05 21:55:00+00:00,0.660218253968254,0.7907376164620795,1,64493145095.79754
2025-11-05 22:55:00+00:00,0.6622023809523809,0.7815395464635286,1,64589838286.44222
2025-11-05 23:55:00+00:00,0.6041666666666666,0.7363322239936136,1,61694744901.33905
2025-11-06 00:55:00+00:00,0.6369047619047619,0.7674428526451174,1,63343805016.34409
2025-11-06 01:55:00+00:00,0.7291666666666666,0.8240607070366452,1,67777208558.62979
2025-11-06 02:55:00+00:00,0.7638888888888888,0.8470756625596824,1,69371953572.5377
2025-11-06 03:55:00+00:00,0.8373015873015873,0.9085494891895205,1,72628872694.68288
2025-11-06 04:55:00+00:00,0.8268849206349206,0.9048825300853891,1,72175920034.892
2025-11-06 05:55:00+00:00,0.8120039682539683,0.9059600162081918,1,71523279877.43138
2025-11-06 06:55:00+00:00,0.7996031746031746,0.9003877224191004,1,70974717450.76808
2025-11-06 07:55:00+00:00,0.7752976190476191,0.8910119096970168,1,69888148559.60846
