symbol,days,mean,std,max,p95,p99
PHAUSDT,492.0,-0.08482689701897023,5.630093666063854,0.5,0.5,0.5
ALCHUSDT,488.0,0.4979177595628415,0.09662687995110371,1.9877,0.5,0.5
STABLEUSDT,233.66666666666666,-1.2343790299572042,3.6517032597996044,1.7038,0.5,0.5
GPSUSDT,1089.6666666666667,-0.9982449984704802,9.251545350510655,3.5527999999999995,0.5,0.5
TRUMPUSDT,493.6666666666667,-0.4124908170155301,2.9328125303974266,1.8023,0.5,0.5
JTOUSDT,549.3333333333334,-0.7169076456310679,6.37275084223328,1.9103999999999999,0.5,0.5
ORDIUSDT,493.6666666666667,0.29998284942606346,0.4458362420128556,0.5,0.5,0.5
IMXUSDT,490.0,0.0734804761904762,1.1652939227823875,0.5,0.5,0.5
VIRTUALUSDT,493.6666666666667,-0.017495948683322077,2.124539050727159,1.6775000000000002,0.5,0.5
ENAUSDT,493.6666666666667,-0.26787089804186354,1.396791326106476,2.6616,0.5,0.5
NOTUSDT,490.0,0.349926462585034,0.6035997187176967,0.5,0.5,0.5
AVNTUSDT,545.3333333333334,-4.850021026894866,12.65545515560854,8.6533,0.5,0.5
PENGUUSDT,493.6666666666667,0.003125050641458469,2.8267233047557148,1.53,0.5,0.5
POPCATUSDT,493.6666666666667,0.2275835246455098,2.2196202682413584,3.0266,0.5,0.5
AIXBTUSDT,493.6666666666667,0.028388521269412572,1.7032618416495748,0.5,0.5,0.5
2ZUSDT,303.0,-0.8333381738173817,3.2683663079050804,1.7396999999999998,0.5,0.5
USUALUSDT,1351.6666666666667,-0.33706712700369906,3.750131196414688,3.2251,0.25,0.25
BERAUSDT,982.0,-2.5889501018329937,8.887565787814745,0.5,0.25,0.25
ANIMEUSDT,1251.3333333333333,-1.0666975759190196,7.927729136797896,0.6715000000000001,0.25,0.25
IPUSDT,1714.0,-1.1390926487747959,5.011340547362375,1.955,0.25,0.25
KAITOUSDT,1958.3333333333333,-0.9418943659574468,5.269400092639232,1.0884,0.125,0.125
XTZUSDT,1822.3333333333333,-0.31560920065849635,2.62564230757199,1.0,0.125,0.125
SIGNUSDT,1958.3333333333333,-0.45983040000000003,2.732112011410935,11.1318,0.125,0.125
BIRBUSDT,240.66666666666666,-8.31269972299169,29.38137172935953,0.5,0.125,0.125
0GUSDT,1295.0,-5.36560731016731,14.504365455634401,0.5,0.125,0.125
SAHARAUSDT,1958.3333333333333,-0.7854064000000002,6.341521453411277,9.2657,0.125,0.125
