lag_bars,lag_minutes,BTCUSDT_acf,ETHUSDT_acf,SOLUSDT_acf,DOGEUSDT_acf,XRPUSDT_acf
219,1095,0.328458,0.376414,0.323794,0.429579,0.392817
220,1100,0.320914,0.365374,0.306807,0.414747,0.38072
221,1105,0.322125,0.366281,0.30842,0.415232,0.381854
222,1110,0.331433,0.379072,0.326651,0.433418,0.394737
223,1115,0.323096,0.368973,0.309462,0.416007,0.381912
224,1120,0.324087,0.369563,0.307294,0.416575,0.381371
225,1125,0.331456,0.379417,0.322647,0.431669,0.392451
226,1130,0.325227,0.370622,0.30899,0.417388,0.38013
227,1135,0.325271,0.370562,0.310441,0.418552,0.382367
228,1140,0.334499,0.38353,0.329424,0.436281,0.396258
229,1145,0.325696,0.37127,0.310739,0.418037,0.381205
230,1150,0.32475,0.369631,0.307607,0.416136,0.379498
231,1155,0.332238,0.380031,0.3234,0.431595,0.390275
232,1160,0.324124,0.369434,0.306162,0.416164,0.378234
233,1165,0.325374,0.370713,0.307528,0.41693,0.379372
234,1170,0.335151,0.382537,0.325639,0.434078,0.392249
235,1175,0.32509,0.370192,0.307889,0.417175,0.378503
236,1180,0.327656,0.371933,0.309248,0.417874,0.378828
237,1185,0.335011,0.382406,0.325033,0.433189,0.390833
238,1190,0.328559,0.37391,0.311515,0.420027,0.379855
239,1195,0.33008,0.375641,0.312739,0.421952,0.381127
240,1200,0.339695,0.38786,0.331866,0.441006,0.395658
241,1205,0.332131,0.376896,0.314092,0.42336,0.381628
242,1210,0.330039,0.374649,0.31217,0.420676,0.380261
243,1215,0.338311,0.384732,0.327444,0.434604,0.391338
244,1220,0.331867,0.375546,0.31252,0.420001,0.379446
245,1225,0.333215,0.376701,0.313866,0.420912,0.379849
246,1230,0.344518,0.389918,0.331961,0.438451,0.393762
247,1235,0.33595,0.378771,0.314669,0.42226,0.381239
248,1240,0.336373,0.379677,0.315623,0.422411,0.37989
249,1245,0.344616,0.391284,0.332742,0.438271,0.391386
250,1250,0.337982,0.3815,0.31818,0.423963,0.381078
251,1255,0.340527,0.384321,0.321811,0.426241,0.382483
252,1260,0.350324,0.39706,0.340031,0.445027,0.396541
253,1265,0.34201,0.385168,0.322086,0.428474,0.382823
254,1270,0.34303,0.385806,0.321749,0.427273,0.38086
255,1275,0.350724,0.396978,0.338672,0.442748,0.39409
256,1280,0.344392,0.387157,0.323399,0.429624,0.381881
257,1285,0.346276,0.389403,0.324471,0.430273,0.383433
258,1290,0.355605,0.401965,0.344637,0.449206,0.397164
259,1295,0.348771,0.391212,0.327393,0.433907,0.383998
260,1300,0.350483,0.393439,0.328892,0.43468,0.384182
261,1305,0.359696,0.405263,0.346545,0.45129,0.39735
262,1310,0.354313,0.396838,0.333199,0.437986,0.388158
263,1315,0.356816,0.399903,0.337461,0.440708,0.390059
264,1320,0.367392,0.412619,0.356032,0.459943,0.40408
265,1325,0.357632,0.40051,0.337914,0.442427,0.38982
266,1330,0.357358,0.400255,0.337547,0.440996,0.388708
267,1335,0.366738,0.411005,0.354086,0.45625,0.401059
268,1340,0.361229,0.402006,0.338204,0.441616,0.390343
269,1345,0.362197,0.404106,0.34095,0.442969,0.392148
270,1350,0.372941,0.416587,0.359767,0.461772,0.406665
271,1355,0.365456,0.406092,0.343405,0.445628,0.39376
272,1360,0.365703,0.406488,0.342728,0.446004,0.393839
273,1365,0.375159,0.419438,0.361367,0.461907,0.407282
274,1370,0.369905,0.412435,0.349281,0.450245,0.397704
275,1375,0.37161,0.415159,0.352833,0.452058,0.398974
276,1380,0.38099,0.427257,0.373044,0.469846,0.413071
277,1385,0.372653,0.415135,0.353296,0.452827,0.399946
278,1390,0.372148,0.41353,0.35199,0.451694,0.398089
279,1395,0.380221,0.425006,0.367085,0.465285,0.409445
280,1400,0.372914,0.414123,0.351456,0.450135,0.397577
281,1405,0.373762,0.415889,0.353641,0.45202,0.397923
282,1410,0.383723,0.429384,0.373908,0.470756,0.413461
283,1415,0.376265,0.419215,0.355219,0.45347,0.40046
284,1420,0.377204,0.419748,0.356696,0.454078,0.401103
285,1425,0.38638,0.431559,0.373839,0.470517,0.413813
286,1430,0.380664,0.424257,0.358774,0.457236,0.403858
287,1435,0.383973,0.426867,0.363964,0.460912,0.405683
288,1440,0.395719,0.442862,0.385854,0.481896,0.422488
