symbol,state,horizon,threshold,n_state,p_up,p_down,p_big,skew_ratio,p_up_base,p_down_base,uplift_up,uplift_down
1000RATSUSDT,S03_oi_surge,12h,300bp,268,0.16417910447761194,0.44776119402985076,0.6119402985074627,0.36666666666666664,0.177541928721174,0.28432914046121593,0.9247342622679958,1.5747988169750327
1000RATSUSDT,S03_oi_surge,24h,100bp,268,0.15298507462686567,0.6865671641791045,0.8395522388059702,0.22282608695652173,0.3020833333333333,0.5591613247863247,0.5064333504889347,1.2278516659596692
1000RATSUSDT,S03_oi_surge,24h,200bp,268,0.07462686567164178,0.6156716417910447,0.6902985074626866,0.12121212121212122,0.24452457264957264,0.4967948717948718,0.3051916822224215,1.239287433798748
1000RATSUSDT,S03_oi_surge,24h,300bp,268,0.05970149253731343,0.5261194029850746,0.585820895522388,0.11347517730496454,0.1893696581196581,0.42761752136752135,0.3152642990968991,1.2303504339638474
1000RATSUSDT,S09_stall_fund,12h,100bp,60,0.0,0.9833333333333333,0.9833333333333333,0.0,0.3122379454926625,0.5115303983228512,0.0,1.9223360655737702
1000RATSUSDT,S09_stall_fund,12h,200bp,60,0.0,0.7166666666666667,0.7166666666666667,0.0,0.23781446540880502,0.38011006289308175,0.0,1.8854188210961738
1000RATSUSDT,S09_stall_fund,12h,300bp,60,0.0,0.6,0.6,0.0,0.177541928721174,0.28432914046121593,0.0,2.110230414746544
1000RATSUSDT,S09_stall_fund,24h,100bp,60,0.0,1.0,1.0,0.0,0.3020833333333333,0.5591613247863247,0.0,1.788392643897779
1000RATSUSDT,S09_stall_fund,24h,200bp,60,0.0,1.0,1.0,0.0,0.24452457264957264,0.4967948717948718,0.0,2.0129032258064514
1000RATSUSDT,S09_stall_fund,24h,300bp,60,0.0,1.0,1.0,0.0,0.1893696581196581,0.42761752136752135,0.0,2.338538413491568
1000RATSUSDT,S10_thin_move,12h,100bp,85,0.3176470588235294,0.4235294117647059,0.7411764705882353,0.75,0.3122379454926625,0.5115303983228512,1.0173236898620126,0.8279652844744454
1000RATSUSDT,S10_thin_move,12h,200bp,85,0.23529411764705882,0.29411764705882354,0.5294117647058824,0.7999999999999999,0.23781446540880502,0.38011006289308175,0.9894020418084589,0.7737696940203176
1000RATSUSDT,S10_thin_move,12h,300bp,85,0.18823529411764706,0.16470588235294117,0.35294117647058826,1.1428571428571428,0.177541928721174,0.28432914046121593,1.0602300846537878,0.5792789373814041
1000RATSUSDT,S10_thin_move,24h,100bp,85,0.4117647058823529,0.49411764705882355,0.9058823529411765,0.8333333333333333,0.3020833333333333,0.5591613247863247,1.3630831643002028,0.8836763652200791
1000RATSUSDT,S10_thin_move,24h,200bp,85,0.38823529411764707,0.4823529411764706,0.8705882352941177,0.8048780487804879,0.24452457264957264,0.4967948717948718,1.5877148456324093,0.9709297912713473
1000RATSUSDT,S10_thin_move,24h,300bp,85,0.32941176470588235,0.36470588235294116,0.6941176470588235,0.903225806451613,0.1893696581196581,0.42761752136752135,1.739517132664067,0.8528787155086894
1000TURBOUSDT,S07_compress_oi,12h,100bp,49,0.0,0.9387755102040817,0.9387755102040817,0.0,0.3390985324947589,0.45964360587002095,0.0,2.042398715472506
1000TURBOUSDT,S07_compress_oi,12h,200bp,49,0.0,0.8367346938775511,0.8367346938775511,0.0,0.2344077568134172,0.33831236897274636,0.0,2.473260721794527
1000TURBOUSDT,S07_compress_oi,12h,300bp,49,0.0,0.6326530612244898,0.6326530612244898,0.0,0.15880503144654087,0.2275943396226415,0.0,2.7797398752247013
1000TURBOUSDT,S07_compress_oi,24h,100bp,49,0.04081632653061224,0.8775510204081632,0.9183673469387755,0.046511627906976744,0.3298611111111111,0.5036057692307693,0.12373791621911921,1.742535677755589
1000TURBOUSDT,S07_compress_oi,24h,200bp,49,0.0,0.8775510204081632,0.8775510204081632,0.0,0.2690972222222222,0.4326923076923077,0.0,2.028117913832199
1000TURBOUSDT,S07_compress_oi,24h,300bp,49,0.0,0.8775510204081632,0.8775510204081632,0.0,0.21834935897435898,0.3530982905982906,0.0,2.485288215134768
1000TURBOUSDT,S03_oi_surge,12h,100bp,244,0.24180327868852458,0.5901639344262295,0.8319672131147541,0.4097222222222222,0.3390985324947589,0.45964360587002095,0.7130767476626042,1.283959848215788
1000TURBOUSDT,S03_oi_surge,12h,200bp,244,0.1598360655737705,0.48360655737704916,0.6434426229508197,0.3305084745762712,0.2344077568134172,0.33831236897274636,0.6818719130570243,1.4294675623166688
1000TURBOUSDT,S03_oi_surge,12h,300bp,244,0.12704918032786885,0.28688524590163933,0.4139344262295082,0.4428571428571429,0.15880503144654087,0.2275943396226415,0.8000324622626197,1.2605113395056484
1000TURBOUSDT,S03_oi_surge,24h,100bp,243,0.18518518518518517,0.6008230452674898,0.7860082304526749,0.30821917808219174,0.3298611111111111,0.5036057692307693,0.5614035087719298,1.193042419242366
1000TURBOUSDT,S03_oi_surge,24h,200bp,243,0.13580246913580246,0.4897119341563786,0.6255144032921811,0.2773109243697479,0.2690972222222222,0.4326923076923077,0.5046594982078852,1.1317786922725193
1000TURBOUSDT,S03_oi_surge,24h,300bp,243,0.12345679012345678,0.4444444444444444,0.5679012345679012,0.2777777777777778,0.21834935897435898,0.3530982905982906,0.5654094461433911,1.258698940998487
1000TURBOUSDT,S09_stall_fund,12h,100bp,38,0.868421052631579,0.13157894736842105,1.0,6.6000000000000005,0.3390985324947589,0.45964360587002095,2.560969657528675,0.2862629778551281
1000TURBOUSDT,S09_stall_fund,12h,200bp,38,0.5263157894736842,0.05263157894736842,0.5789473684210527,10.0,0.2344077568134172,0.33831236897274636,2.245300226530552,0.15557095682661337
