symbol,state,target,variant,nS_test,p0_test,pS_test,uplift_test
ARCUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,478,0.017094017094017096,0.016736401673640166,0.9790794979079496
ARCUSDT,S03_oi_surge,big_B_24h,normal,478,0.6195245726495726,0.803347280334728,1.2967157652826997
ARCUSDT,S03_oi_surge,big_B_24h,leaked,478,0.6195245726495726,0.8075313807531381,1.3034694932268804
ARCUSDT,S07_compress_oi,big_A_k3.0_24h,normal,26,0.017094017094017096,0.0,0.0
ARCUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,29,0.017094017094017096,0.0,0.0
ARCUSDT,S07_compress_oi,big_B_24h,normal,26,0.6195245726495726,0.4230769230769231,0.6829057986635051
ARCUSDT,S07_compress_oi,big_B_24h,leaked,29,0.6195245726495726,0.4482758620689655,0.7235804387092938
ARCUSDT,S08_stall_oi,big_A_k3.0_24h,normal,57,0.017094017094017096,0.0,0.0
ARCUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,58,0.017094017094017096,0.0,0.0
ARCUSDT,S08_stall_oi,big_B_24h,normal,57,0.6195245726495726,0.6491228070175439,1.0477757229893012
ARCUSDT,S08_stall_oi,big_B_24h,leaked,58,0.6195245726495726,0.6206896551724138,1.0018806074436377
ASTERUSDT,S03_oi_surge,big_A_k3.0_24h,normal,227,0.0,0.0,0.0
ASTERUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,227,0.0,0.0,0.0
ASTERUSDT,S03_oi_surge,big_B_24h,normal,227,0.21233974358974358,0.1894273127753304,0.8920954201645749
ASTERUSDT,S03_oi_surge,big_B_24h,leaked,227,0.21233974358974358,0.20704845814977973,0.9750810406450005
ASTERUSDT,S07_compress_oi,big_A_k3.0_24h,normal,87,0.0,0.0,0.0
ASTERUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,89,0.0,0.0,0.0
ASTERUSDT,S07_compress_oi,big_B_24h,normal,87,0.21233974358974358,0.0,0.0
ASTERUSDT,S07_compress_oi,big_B_24h,leaked,89,0.21233974358974358,0.0,0.0
ASTERUSDT,S08_stall_oi,big_A_k3.0_24h,normal,31,0.0,0.0,0.0
ASTERUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,31,0.0,0.0,0.0
ASTERUSDT,S08_stall_oi,big_B_24h,normal,31,0.21233974358974358,0.1935483870967742,0.911503347534997
ASTERUSDT,S08_stall_oi,big_B_24h,leaked,31,0.21233974358974358,0.16129032258064516,0.7595861229458308
ATHUSDT,S03_oi_surge,big_A_k3.0_24h,normal,223,0.00641025641025641,0.03139013452914798,4.896860986547085
ATHUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,223,0.00641025641025641,0.03139013452914798,4.896860986547085
ATHUSDT,S03_oi_surge,big_B_24h,normal,223,0.34655448717948717,0.48878923766816146,1.410425360947666
ATHUSDT,S03_oi_surge,big_B_24h,leaked,223,0.34655448717948717,0.5022421524663677,1.449244407579253
ATHUSDT,S07_compress_oi,big_A_k3.0_24h,normal,60,0.00641025641025641,0.16666666666666666,26.0
ATHUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,62,0.00641025641025641,0.16129032258064516,25.161290322580644
ATHUSDT,S07_compress_oi,big_B_24h,normal,60,0.34655448717948717,0.4,1.1542196531791908
