feature,target,mean_oos,pct_positive,n_folds,snr,metric
max_buy_run,tgt_vol_expansion_5,0.14877168166915372,1.0,5,3.589279221764292,AUC_dev
turbulence,tgt_vol_expansion_5,0.13886482206049194,1.0,5,3.306583972891965,AUC_dev
monotonicity_score_z,tgt_vol_expansion_5,0.13869032751752636,1.0,5,2.5583259962051033,AUC_dev
shock_attention_ratio,tgt_vol_expansion_5,0.13314511693005754,1.0,5,2.7226088059686697,AUC_dev
mi_side_return,tgt_vol_expansion_5,0.1178620520025235,1.0,5,2.396468652673368,AUC_dev
fib_intertime_ratio_pct_z,tgt_vol_expansion_5,0.10910100836496064,1.0,5,2.002902508355686,AUC_dev
golden_angle_deviation,tgt_vol_expansion_5,0.1090132020513861,1.0,5,2.2136313701194785,AUC_dev
value_area_overlap_pct_z,tgt_vol_expansion_5,0.10825468853699313,1.0,5,3.176781323788569,AUC_dev
max_drawup_z,tgt_vol_expansion_5,0.1068237502734504,1.0,5,2.9782060893902704,AUC_dev
atr_5,tgt_vol_expansion_5,0.1041852581107529,1.0,5,3.73064636619991,AUC_dev
quartile_count_ratio_z,tgt_vol_expansion_5,0.10203069935403283,1.0,5,2.62844166887285,AUC_dev
market_pressure,tgt_vol_expansion_5,0.10117779368163796,1.0,5,2.2532887431456157,AUC_dev
te_price_to_volume,tgt_vol_expansion_5,0.09816984767569463,1.0,5,2.140064524438491,AUC_dev
contrarian_ratio,tgt_vol_expansion_5,0.09642279999174994,1.0,5,2.430888945314195,AUC_dev
std_trade_size_z,tgt_vol_expansion_5,0.09476679532795929,1.0,5,1.7987740744924487,AUC_dev
volume_autocorr,tgt_vol_expansion_5,0.09342046185406445,1.0,5,4.746514726017325,AUC_dev
wavelet_energy_s2_z,tgt_vol_expansion_5,0.09084408268116592,1.0,5,1.9607224418769205,AUC_dev
session_asia,tgt_vol_expansion_5,0.08936985112199256,1.0,5,2.6174207013835202,AUC_dev
atr_percentile_14,tgt_vol_expansion_5,0.08875728485785173,1.0,5,2.069296259043134,AUC_dev
contrarian_ratio_z,tgt_vol_expansion_5,0.08852558634173317,1.0,5,6.211827340984318,AUC_dev
absorption_ratio_z,tgt_vol_expansion_5,0.08799471100720262,1.0,5,2.6754914696048253,AUC_dev
hour_cos,tgt_vol_expansion_5,0.0871057976685777,1.0,5,4.832072456869829,AUC_dev
atr_percentile_10,tgt_vol_expansion_5,0.08368027866657093,1.0,5,2.9252151597547207,AUC_dev
arrival_time_kurtosis_z,tgt_vol_expansion_5,0.08355464821525774,1.0,5,2.3796661673827995,AUC_dev
volume_skewness,tgt_vol_expansion_5,0.08211280116754456,1.0,5,6.538924531347212,AUC_dev
ll_streak_z,tgt_vol_expansion_5,0.08035657611250506,1.0,5,1.7484489833559633,AUC_dev
donchian_width_bps_10_z,tgt_vol_expansion_5,0.07711521242421748,1.0,5,2.1753060568045934,AUC_dev
micro_fear_score_z,tgt_vol_expansion_5,0.07371968269264098,1.0,5,1.5719671650614564,AUC_dev
side_switch_rate,tgt_vol_expansion_5,0.07360406601492003,0.8,5,1.1702586710128169,AUC_dev
fomo_buy_ratio,tgt_vol_expansion_5,0.07211982328535471,1.0,5,2.075910657933921,AUC_dev
price_clustering,tgt_vol_expansion_5,0.07202855184646198,1.0,5,3.5030262077650476,AUC_dev
atr_percentile_10_z,tgt_vol_expansion_5,0.06738250456316605,1.0,5,1.1969669828611376,AUC_dev
hour_sin,tgt_vol_expansion_5,0.06670160129475548,1.0,5,1.8071677002285502,AUC_dev
first_half_return_z,tgt_vol_expansion_5,0.06136285215870605,1.0,5,15.48208594094745,AUC_dev
upper_wick_ratio_z,tgt_vol_expansion_5,0.06109976808742847,1.0,5,4.550004812605101,AUC_dev
consecutive_direction_z,tgt_vol_expansion_5,0.06097889820324807,1.0,5,1.4109866273571237,AUC_dev
donchian_width_change_20_z,tgt_vol_expansion_5,0.06086673505622751,1.0,5,2.0420947077668106,AUC_dev
side_sequence_entropy_z,tgt_vol_expansion_5,0.060772756390570074,0.8,5,1.081975418884015,AUC_dev
equal_lows_20_z,tgt_vol_expansion_5,0.05741532727159655,1.0,5,2.4280468046269763,AUC_dev
breakout_down_bps_10_z,tgt_vol_expansion_5,0.057370063459555046,0.8,5,1.5591386517597436,AUC_dev
inside_bar,tgt_vol_expansion_5,0.056599995279720504,1.0,5,1.7185141255600804,AUC_dev
twap_vwap_spread_bps_z,tgt_vol_expansion_5,0.05618221577392073,1.0,5,3.164192576950441,AUC_dev
shannon_size_diversity,tgt_vol_expansion_5,0.05602175057604799,1.0,5,1.866617422279934,AUC_dev
range_compression_10,tgt_vol_expansion_5,0.055882889904763866,1.0,5,1.4185993589003365,AUC_dev
large_trade_volume_pct,tgt_vol_expansion_5,0.05522205450497956,0.8,5,1.1969372170297838,AUC_dev
path_hull_ratio_z,tgt_vol_expansion_5,0.05468884475362308,1.0,5,1.8931833030959233,AUC_dev
hurst_regime_z,tgt_vol_expansion_5,0.05403005675758934,1.0,5,1.7719865838204945,AUC_dev
resistance_touches_20,tgt_vol_expansion_5,0.053906641122877685,1.0,5,2.3832410347268067,AUC_dev
bos_bearish,tgt_vol_expansion_5,0.052526951026204395,1.0,5,2.1642828142905044,AUC_dev
fractal_dimension,tgt_vol_expansion_5,0.05140169286089278,0.8,5,0.7920996762249252,AUC_dev
fvg_bearish_size_bps_z,tgt_vol_expansion_5,0.05032020161448956,0.8,5,1.0501125277060397,AUC_dev
atr_percentile_5_z,tgt_vol_expansion_5,0.05017397298531416,0.8,5,0.8390772111989941,AUC_dev
vol_asymmetry_z,tgt_vol_expansion_5,0.049805323753994823,0.8,5,1.194571326727828,AUC_dev
breakout_any_20,tgt_vol_expansion_5,0.04972285071325626,1.0,5,2.5745419559179292,AUC_dev
liq_pool_below_20,tgt_vol_expansion_5,0.0490207491059637,0.8,5,1.31519292040947,AUC_dev
dist_to_swing_high_bps,tgt_vol_expansion_5,0.04790225722418821,0.8,5,1.0223096873969424,AUC_dev
aggression_imbalance,tgt_vol_expansion_5,0.04740400323813361,1.0,5,2.1725477469221732,AUC_dev
overlap_asia_europe,tgt_vol_expansion_5,0.04730674372955131,1.0,5,4.654912788508897,AUC_dev
is_swing_low,tgt_vol_expansion_5,0.04399147135005599,1.0,5,3.6594016474601805,AUC_dev
