cluster,size,representative,composite,n_targets,members
76,4,cvd_max,0.04568140840800132,4,"cvd_max, standing_wave_ratio, cvd_max_z, ofi_first_half"
4,3,fib_wave_ratio_pct,0.04549500292953735,3,"fib_wave_ratio_pct, fib_wave_ratio_count, fib_wave_ratio_pct_z"
65,3,poc_migration_bps_z,0.04498891182361613,2,"poc_migration_bps_z, fair_value_change_bps_z, fair_value_change_bps"
139,1,contrarian_ratio,0.04491036763807142,3,contrarian_ratio
75,4,vol_asymmetry_z,0.0446410282550745,1,"vol_asymmetry_z, return_skewness_z, vol_asymmetry, return_skewness"
213,2,nash_balance_z,0.04452011764105002,3,"nash_balance_z, nash_balance"
206,2,vwap_spread,0.04420884966128512,4,"vwap_spread, vwap_flux"
90,2,near_resistance_10,0.04331078521752967,2,"near_resistance_10, near_resistance_20"
87,1,support_touches_20,0.043293705073660656,2,support_touches_20
6,1,ew_impulse_detected,0.04279022291034982,1,ew_impulse_detected
209,2,intracandle_reversal_z,0.04204283512571192,2,"intracandle_reversal_z, intracandle_reversal"
2,2,ew_impulse_correction_ratio_z,0.042016004296625484,2,"ew_impulse_correction_ratio_z, ew_impulse_correction_ratio"
187,2,range_compression_20_z,0.041989718519359245,3,"range_compression_20_z, donchian_width_bps_20_z"
173,2,max_drawup_z,0.041793089922357925,1,"max_drawup_z, max_drawup"
184,2,range_compression_5_z,0.04127749402224325,3,"range_compression_5_z, range_compression_5"
174,6,range_atr_ratio_14_z,0.04096229141424874,2,"range_atr_ratio_14_z, range_atr_ratio_10_z, range_atr_ratio_20_z, range_atr_ratio_10, range_atr_ratio_14, wave_energy_z"
202,1,predator_prey_ratio_z,0.04025644834042741,3,predator_prey_ratio_z
26,6,ew_vol_exhaustion_z,0.03962642275638519,3,"ew_vol_exhaustion_z, ew_vol_exhaustion, ew_amplitude_trend_z, ew_amplitude_trend, ew_amplitude_trend_norm_z, ew_amplitude_trend_norm"
27,2,overlap_asia_europe,0.03930747438497106,1,"overlap_asia_europe, overlap_count"
207,2,avg_lower_wick_5,0.039068336112370435,2,"avg_lower_wick_5, avg_lower_wick_5_z"
62,1,time_at_high_pct,0.03896768567363421,2,time_at_high_pct
45,1,three_crows,0.03835472593293798,2,three_crows
64,2,time_at_low_pct,0.038252766723157965,3,"time_at_low_pct, time_weighted_position"
49,1,gap_abs_bps,0.03783589967880383,2,gap_abs_bps
157,2,breakout_vol_confirm_20_z,0.037382695426108455,1,"breakout_vol_confirm_20_z, breakout_vol_confirm_10_z"
80,3,first_half_return_z,0.037021860957110755,2,"first_half_return_z, first_half_return, taylor_price_a0"
172,9,quartile_count_ratio_z,0.03689447040097379,2,"quartile_count_ratio_z, activity_peak_to_mean_z, trade_time_uniformity, trade_time_entropy, carrying_capacity_ratio_z, quartile_count_ratio, trade_time_entropy_z, trade_time_uniformity_z, activity_peak_to_mean"
52,1,liq_void_count_10,0.03640359962494567,1,liq_void_count_10
148,1,dist_to_equal_low_bps,0.03638590592634156,2,dist_to_equal_low_bps
129,2,large_trade_volume_pct,0.035940608187481266,2,"large_trade_volume_pct, size_gini"
115,4,dipole_strength_z,0.035925109039779884,2,"dipole_strength_z, dipole_strength, centroid_buy_sell_gap_z, temporal_dipole_z"
95,3,bos_net_5_z,0.03579691105109446,2,"bos_net_5_z, bos_net_5, bos_bearish_count_5"
212,2,taylor_ofi_r2_z,0.03575534520927606,2,"taylor_ofi_r2_z, taylor_ofi_r2"
32,1,overlap_europe_us,0.035247910891656326,1,overlap_europe_us
118,1,hammer,0.03518173463575786,1,hammer
23,2,taylor_curvature_trend_ratio,0.03515816417971103,1,"taylor_curvature_trend_ratio, taylor_curvature_trend_ratio_z"
114,5,upper_wick_ratio_z,0.034991398540444155,2,"upper_wick_ratio_z, upper_wick_ratio, ohlc_triangle_area_z, ohlc_triangle_area, wick_dominance_z"
38,11,taylor_vol_a1,0.03493876633811594,1,"taylor_vol_a1, taylor_rate_a1, taylor_vol_a1_z, taylor_rate_a1_z, taylor_vol_a2_z, taylor_vol_a2, taylor_rate_a2_z, taylor_rate_a2, activity_curvature_z, taylor_vol_a3_z, activity_curvature"
155,1,near_support_5,0.03422805552247589,2,near_support_5
215,3,absorption_ratio_z,0.03366440455050604,2,"absorption_ratio_z, market_pressure_z, bernoulli_z"
34,5,trade_pct_q4,0.03323302114516984,2,"trade_pct_q4, trade_pct_q4_z, volume_pct_q4_z, volume_pct_q4, volume_q4_pct"
43,1,golden_quartile_pairs_z,0.032888563152682,2,golden_quartile_pairs_z
12,2,fib_updown_wave_ratio_z,0.03279844228450462,1,"fib_updown_wave_ratio_z, fib_updown_wave_ratio"
180,8,range,0.03275845842264024,2,"range, wave_amplitude, true_range, boltzmann_entropy, price_path_length, fib_respect_score, wave_frequency, wave_wavelength"
18,2,liq_sweep_count_10_z,0.03273307011086136,3,"liq_sweep_count_10_z, liq_sweep_count_10"
36,5,arrival_time_kurtosis_z,0.032128063944192285,2,"arrival_time_kurtosis_z, large_trade_time_std_z, large_trade_time_std, sell_time_std, buy_time_std"
53,1,gap_fill_rate_10,0.032105049501627944,2,gap_fill_rate_10
22,4,taylor_price_vol_divergence_z,0.031056648476102986,1,"taylor_price_vol_divergence_z, taylor_price_vol_divergence, taylor_price_rate_divergence_z, taylor_price_rate_divergence"
120,2,hilbert_amp_freq_corr_z,0.030280182702322134,1,"hilbert_amp_freq_corr_z, hilbert_amp_freq_corr"
183,1,price_clustering,0.03008258131427304,2,price_clustering
218,1,taylor_complexity_z,0.029959180520631016,1,taylor_complexity_z
158,2,breakout_up_bps_20,0.029385145354623225,2,"breakout_up_bps_20, breakout_up_20"
46,1,liq_void_down_bps,0.029167003551782793,1,liq_void_down_bps
85,1,choch_net_z,0.02853868099031895,1,choch_net_z
83,1,engulfing_bullish,0.028511980998091498,1,engulfing_bullish
143,1,side_sequence_entropy_z,0.027966300926223278,1,side_sequence_entropy_z
88,1,resistance_touches_20,0.027509021084228504,1,resistance_touches_20
142,2,side_switch_rate,0.027171257238620742,1,"side_switch_rate, side_sequence_entropy"
61,2,path_hull_ratio_z,0.027140091603259166,1,"path_hull_ratio_z, path_hull_ratio"
119,1,shooting_star,0.026966098254526213,1,shooting_star
11,6,taylor_ofi_a2_z,0.02693283555295081,1,"taylor_ofi_a2_z, taylor_ofi_a2, taylor_ofi_a3_z, taylor_ofi_a3, taylor_ofi_a1, taylor_ofi_a1_z"
100,8,donchian_position_10,0.02688665584754375,1,"donchian_position_10, sr_position_10, dist_to_support_10_bps_z, dist_to_support_20_bps_z, dist_to_support_10_bps, donchian_mid_dist_bps_10, donchian_position_10_z, sr_position_10_z"
156,2,donchian_width_change_20_z,0.02629889898630825,1,"donchian_width_change_20_z, donchian_width_change_20"
37,5,trade_pct_q3,0.026147743159263357,1,"trade_pct_q3, volume_pct_q3, volume_q3_pct, volume_pct_q3_z, trade_pct_q3_z"
82,2,time_to_low_pct,0.025633167521924755,1,"time_to_low_pct, high_before_low"
5,2,ew_impulse_quality_z,0.02561338438462975,1,"ew_impulse_quality_z, ew_impulse_quality"
13,1,fib_updown_golden_dist_z,0.025515798034369406,1,fib_updown_golden_dist_z
196,1,herding_ratio_z,0.025339384962938603,2,herding_ratio_z
147,3,equal_lows_20_z,0.025276016506183507,2,"equal_lows_20_z, equal_lows_10, equal_lows_20"
103,1,bearish_patterns_5_z,0.02484623135485771,1,bearish_patterns_5_z
186,1,flash_event_pct_z,0.02479608692398725,1,flash_event_pct_z
72,2,tail_volume_ratio_z,0.024791789902380013,1,"tail_volume_ratio_z, tail_volume_ratio"
113,1,outside_bar,0.024487117047506737,1,outside_bar
3,1,ew_alternation_score,0.024371707948629275,2,ew_alternation_score
96,1,bos_bullish_count_5,0.024094402210454335,1,bos_bullish_count_5
164,1,std_trade_size_z,0.02402777530240762,1,std_trade_size_z
47,1,liq_void_any,0.023870268255214693,1,liq_void_any
161,1,inside_bar,0.023560767962025428,1,inside_bar
205,2,wavelet_energy_s2_z,0.023458205300278923,1,"wavelet_energy_s2_z, wavelet_energy_s2"
110,1,ob_net_10_z,0.023039401686113015,1,ob_net_10_z
19,1,liq_sweep_bull,0.02300987646668624,1,liq_sweep_bull
153,3,bos_bearish,0.022991445597209344,1,"bos_bearish, breakout_down_bps_5, breakout_down_5"
160,2,value_area_overlap_pct_z,0.022685273192720387,1,"value_area_overlap_pct_z, value_area_overlap_pct"
59,2,temperature_change_z,0.02261116953397652,1,"temperature_change_z, heating_rate_z"
68,1,bos_net_z,0.02250003012855262,1,bos_net_z
152,2,breakout_down_bps_20,0.022357983150499344,1,"breakout_down_bps_20, breakout_down_20"
51,1,gap_up,0.02215426238124242,1,gap_up
91,1,near_resistance_5,0.022089966171324287,1,near_resistance_5
116,5,ofi_field_gradient_z,0.02155554130014227,1,"ofi_field_gradient_z, ofi_shift_z, ofi_acceleration, ofi_shift, ofi_field_gradient"
134,1,te_price_to_volume,0.021366039579697876,1,te_price_to_volume
216,2,taylor_price_r2_z,0.02123744891989972,1,"taylor_price_r2_z, taylor_price_rmse_z"
167,1,wavelet_energy_s1_z,0.021043329884521747,1,wavelet_energy_s1_z
15,1,stop_hunt_down_score_z,0.020788758222874806,1,stop_hunt_down_score_z
192,1,atr_percentile_10_z,0.020655337168323865,1,atr_percentile_10_z
58,1,ob_supply,0.02023926474193052,1,ob_supply
112,1,liq_sweep_bear,0.019773870974056612,1,liq_sweep_bear
8,2,ew_wave_symmetry,0.01975055216155659,1,"ew_wave_symmetry, ew_wave_symmetry_z"
133,1,round_level_magnet_pct_z,0.019324049506188115,1,round_level_magnet_pct_z
71,2,volume_profile_skew_z,0.01922463529492851,1,"volume_profile_skew_z, disposition_sell_z"
149,1,equal_highs_10,0.019191032196898515,1,equal_highs_10
42,2,size_escalation_z,0.019129840930129538,1,"size_escalation_z, size_escalation"
150,1,dist_to_equal_high_bps,0.01874411237327576,1,dist_to_equal_high_bps
117,1,ofi_second_half,0.01857958051302861,1,ofi_second_half
123,1,hilbert_mean_amplitude_z,0.018166053503954657,1,hilbert_mean_amplitude_z
10,6,taylor_price_a4,0.01782506273510893,1,"taylor_price_a4, taylor_price_a3, taylor_price_a5, taylor_price_a4_z, taylor_price_a3_z, taylor_price_a5_z"
50,1,gap_down,0.017286883557376436,1,gap_down
1,2,half_cosine_similarity,0.017192420346217794,1,"half_cosine_similarity, half_cosine_similarity_z"
92,1,stop_hunt_up_score,0.017132920727154326,1,stop_hunt_up_score
102,1,bullish_patterns_5,0.017077268008146018,1,bullish_patterns_5
108,1,ll_count_10,0.016807683176533847,1,ll_count_10
175,1,monotonicity_score_z,0.01662945560207961,1,monotonicity_score_z
195,1,fractal_dimension,0.015980386945164005,1,fractal_dimension
169,1,max_down_sweep_z,0.015979986298356067,1,max_down_sweep_z
176,2,golden_angle_deviation,0.01564342091776829,1,"golden_angle_deviation, golden_angle_uniformity"
16,1,stop_hunt_up_score_z,0.014871828345489236,1,stop_hunt_up_score_z
