target,is_binary,n_features,features,trade_score,n_train,n_trade,metric,period,trade_start,trade_end
tgt_breakout_down_10,True,20,"close_to_vwap, max_drawup, dist_to_r1_bps, dist_to_support_5_bps, time_to_high_pct, is_swing_low, breakout_up_bps_5_z, dist_to_resistance_10_bps_z, cvd_close_vs_range, dist_to_resistance_5_bps, fair_value_change_bps_z, low, disposition_sell_z, panic_sell_ratio, total_energy, aggression_imbalance, bos_net_z, atr_change_pct_14, max_up_sweep_z, wave_wavelength_z",0.3678125,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_down_3,True,20,"close_to_vwap, dist_to_r1_bps, max_drawup, time_to_high_pct, is_swing_low, dist_to_support_5_bps, cvd_close_vs_range, net_tick_direction, panic_sell_ratio, dist_to_resistance_5_bps, disposition_sell_z, aggression_imbalance, fair_value_change_bps_z, taylor_price_a0, ofi_persistence, breakout_up_bps_5_z, dist_to_resistance_10_bps_z, atr_change_pct_14, cvd_max, burstiness",0.30164158686730513,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_down_5,True,20,"close_to_vwap, max_drawup, dist_to_r1_bps, time_to_high_pct, dist_to_support_5_bps, is_swing_low, cvd_close_vs_range, net_tick_direction, dist_to_resistance_5_bps, dist_to_resistance_10_bps_z, panic_sell_ratio, breakout_up_bps_5_z, aggression_imbalance, disposition_sell_z, fair_value_change_bps_z, low, bos_net_z, total_energy, dist_to_resistance_10_bps, golden_ratio_composite",0.3045930701047542,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_up_10,True,20,"close_to_vwap, is_swing_high, dist_to_r1_bps, max_drawdown, dist_to_resistance_10_bps_z, time_to_high_pct, cvd_close_vs_range, dist_to_resistance_5_bps, net_tick_direction, dist_to_support_5_bps, bos_net_z, atr_change_pct_14, wave_wavelength_z, trade_rate_std, cvd_min, dist_to_resistance_10_bps, burstiness, te_price_to_volume, fair_value_change_bps_z, ofi_persistence",0.30557501050567304,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_up_3,True,20,"close_to_vwap, dist_to_r1_bps, time_to_high_pct, max_drawdown, dist_to_resistance_5_bps, is_swing_high, cvd_close_vs_range, net_tick_direction, dist_to_resistance_10_bps_z, dist_to_support_5_bps, ofi_persistence, cvd_min, fair_value_change_bps_z, aggression_imbalance, dist_to_resistance_10_bps, taylor_price_a0, golden_ratio_composite, bos_net_z, panic_sell_ratio, dist_to_support_20_bps",0.32666167851353045,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_up_5,True,20,"close_to_vwap, dist_to_r1_bps, max_drawdown, time_to_high_pct, dist_to_resistance_5_bps, cvd_close_vs_range, is_swing_high, net_tick_direction, dist_to_resistance_10_bps_z, cvd_min, dist_to_support_5_bps, taylor_price_a0, fair_value_change_bps_z, ofi_persistence, golden_ratio_composite, dist_to_resistance_10_bps, aggression_imbalance, bos_net_z, trade_rate_std, burstiness",0.32571428571428573,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_consolidation_3,True,20,"volume_per_second_std, wave_wavelength_z, atr_change_pct_14, trade_rate_std, kinetic_energy, realized_vol, price_path_length, max_drawup, burstiness, total_energy, monotonicity_score, max_up_sweep_z, roll_spread, eigen_ratio_z, trade_time_uniformity, max_trades_per_second_z, te_price_to_volume, vol_price_feedback_z, max_drawdown, te_price_to_volume_z",0.26593548387096766,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_consolidation_5,True,20,"wave_wavelength_z, atr_change_pct_14, price_path_length, volume_per_second_std, kinetic_energy, trade_rate_std, realized_vol, burstiness, monotonicity_score, max_drawup, total_energy, max_trades_per_second_z, te_price_to_volume, te_price_to_volume_z, max_monotonic_run, trade_time_uniformity, max_monotonic_run_z, roll_spread, vol_price_feedback_z, max_drawdown",0.39941176470588236,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_crash_10,True,20,"volume_per_second_std, realized_vol, trade_rate_std, price_path_length, max_trades_per_second_z, roll_spread, vol_price_feedback_z, eigen_ratio_z, wave_wavelength_z, max_up_sweep_z, max_monotonic_run, kinetic_energy, max_sell_run_z, path_length_over_range, max_monotonic_run_z, max_sell_run, total_energy, trade_time_uniformity, quartile_count_ratio, trade_size_iqr",0.21652864044168396,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_crash_3,True,20,"vol_price_feedback_z, volume_per_second_std, trade_rate_std, roll_spread, max_trades_per_second_z, realized_vol, eigen_ratio_z, max_monotonic_run_z, turbulence, breakout_net_10, max_buy_run_z, trade_time_uniformity, burstiness, max_monotonic_run, max_up_sweep_z, wave_wavelength_z, dist_to_support_20_bps, price_path_length, quartile_count_ratio, dist_to_resistance_10_bps",0.3048484848484848,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_crash_5,True,20,"volume_per_second_std, realized_vol, trade_rate_std, roll_spread, vol_price_feedback_z, max_trades_per_second_z, price_path_length, wave_wavelength_z, eigen_ratio_z, max_up_sweep_z, total_energy, dist_to_support_20_bps, max_monotonic_run, max_buy_run_z, kinetic_energy, max_monotonic_run_z, turbulence, max_drawdown, trade_time_uniformity, max_sell_run_z",0.26121979286536245,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_liquidation_cascade_5,True,20,"trade_rate_std, realized_vol, volume_per_second_std, roll_spread, price_path_length, vol_price_feedback_z, max_monotonic_run, eigen_ratio_z, burstiness, max_sell_run, max_trades_per_second_z, trade_time_uniformity, atr_change_pct_14, path_length_over_range, max_sell_run_z, turbulence, total_energy, kinetic_energy, dist_to_support_20_bps, max_drawdown",0.24603174603174605,2160,180,AUC_dev,2,2025-01-28,2025-02-26
