feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
return_reversal,44,2,0.05238947691668515,0.95,1.7916181739608326,0.05467793698068635
chebyshev_distance_z,168,3,0.042170291336970034,0.9333333333333332,1.6039042536633417,0.05456307461474289
large_trade_centroid_z,35,2,0.054896251792784595,0.9,1.34550148396011,0.05427872713923472
near_support_20,154,3,0.04506808037002827,0.8666666666666667,1.1869215215528615,0.05414727559233913
engulfing_bearish,57,3,0.04150625627285637,0.9333333333333332,1.568617606688947,0.053703896420774
failed_breakout_down_10,93,3,0.044638011001441734,0.8666666666666667,1.3807597980125583,0.05363056655051881
micro_fear_greed_z,60,3,0.042945837334893204,0.9,1.4373592112560722,0.053582014917841064
volume_autocorr,163,3,0.041378828649141795,0.9333333333333332,1.351316418173486,0.053539021037648016
atr_percentile_5,190,3,0.042878414384978004,0.9,1.3706568103151395,0.05349789366809131
breakout_net_10,106,2,0.05409035738324755,0.9,1.4734348975946716,0.05348189818771702
order_flow_imbalance_z,78,4,0.03577879668180192,0.925,1.7158637452056906,0.05326497045289114
second_half_return,79,2,0.048295596460456156,1.0,2.0161779643146356,0.0530581357600132
price_tick_entropy_z,203,2,0.050539901934363196,0.95,1.3353407847435004,0.05274756946651395
fomo_buy_ratio,73,4,0.04093739295631192,0.8,1.167403426679663,0.05270895380808088
sr_position_20,105,3,0.0407345394274743,0.9333333333333332,1.5431098888414327,0.052705391490381906
donchian_position_20,105,3,0.0407345394274743,0.9333333333333332,1.5431098888414327,0.052705391490381906
low_volume_node_pct,33,3,0.04384200158438626,0.8666666666666667,0.9221804049118018,0.05267419696642478
fib_size_ratio_pct_z,199,3,0.042090916653915865,0.9,1.4168651732204962,0.05251536037052177
inter_trade_skew,171,4,0.03833107404780735,0.8500000000000001,1.0530592027482077,0.05243776122733098
sell_centroid,35,2,0.05016581797896305,0.95,1.356295791892784,0.052357144897637584
price_volume_angle_cos,39,4,0.03932767314857108,0.825,1.2478283601988385,0.052218744742829656
area_above_vwap_pct_z,63,3,0.0415144627370747,0.9,1.2537779629947507,0.05179613903759563
vol_price_feedback_z,165,2,0.052179451577427746,0.9,1.2534447236387511,0.05159248804703224
breakout_any_10,159,2,0.0469499321518381,1.0,1.7979156520628132,0.05157977241414333
session_us,31,1,0.0742160770382309,1.0,2.239001863106869,0.05144266455126944
hh_count_5_z,98,3,0.04618081044041753,0.8000000000000002,0.7767261074187571,0.051216157684397925
