timestamp,datetime,flow_impact,flow_direction,flow_imbalance,burst_ratio,price,date
1747001930276,2025-05-11 22:18:50.276,0.8319814977686574,Sell,0.999843401323259,1.0,172.01,2025-05-11
1747002113946,2025-05-11 22:21:53.946,0.8478077384389853,Buy,1.0,1.0,172.45,2025-05-11
1747002113946,2025-05-11 22:21:53.946,0.891253165119275,Buy,1.0,1.0,172.49,2025-05-11
1747002114748,2025-05-11 22:21:54.748,0.8094734153194905,Buy,0.9994591671173608,1.0,172.5,2025-05-11
1747002125127,2025-05-11 22:22:05.127,0.6997148497477516,Buy,0.9537589955596386,0.6,172.43,2025-05-11
1747002205815,2025-05-11 22:23:25.815,0.6666206959959546,Buy,1.0,1.0,172.42,2025-05-11
1747002227164,2025-05-11 22:23:47.164,0.7111541803114346,Sell,1.0,1.0,172.18,2025-05-11
1747002243971,2025-05-11 22:24:03.971,0.7063006122852066,Sell,0.9440065235118238,1.0,172.06,2025-05-11
1747002350659,2025-05-11 22:25:50.659,1.0173121313157218,Buy,0.8172030695223915,0.9333333333333333,171.79,2025-05-11
1747002359668,2025-05-11 22:25:59.668,1.1746076233183858,Sell,0.8335338510335776,1.0,171.74,2025-05-11
1747002359706,2025-05-11 22:25:59.706,3.0606782511210753,Sell,1.0,1.0,171.7,2025-05-11
1747002359708,2025-05-11 22:25:59.708,1.6079035874439456,Sell,1.0,1.0,171.67,2025-05-11
1747002359733,2025-05-11 22:25:59.733,1.9468890134529144,Sell,0.9987052222701768,0.9666666666666667,171.64,2025-05-11
1747002451866,2025-05-11 22:27:31.866,4.571020019065776,Buy,0.9888013272501037,1.0,172.04,2025-05-11
1747002914493,2025-05-11 22:35:14.493,0.7003043094139592,Sell,0.7122284891395657,1.0,171.79,2025-05-11
1747002930128,2025-05-11 22:35:30.128,0.6020362290096523,Sell,1.0,1.0,171.76,2025-05-11
1747002947644,2025-05-11 22:35:47.644,0.6128274923443348,Sell,0.8000199880071958,0.9666666666666667,171.68,2025-05-11
1747002958493,2025-05-11 22:35:58.493,0.9618788685139121,Buy,0.9928092042186002,0.9333333333333333,171.73,2025-05-11
1747003004151,2025-05-11 22:36:44.151,0.9417687850289731,Buy,0.9479320168975341,1.0,171.88,2025-05-11
1747003045843,2025-05-11 22:37:25.843,1.1828111871323974,Sell,1.0,1.0,171.46,2025-05-11
1747003047363,2025-05-11 22:37:27.363,0.7063208927918038,Sell,0.8466965620328848,1.0,171.52,2025-05-11
1747003048068,2025-05-11 22:37:28.068,0.6091120222496201,Sell,0.9987768735004938,1.0,171.48,2025-05-11
1747003050256,2025-05-11 22:37:30.256,1.6032143602588182,Sell,0.9533346048699853,0.9,171.43,2025-05-11
1747003052064,2025-05-11 22:37:32.064,0.6527619769940588,Sell,0.900042926350647,1.0,171.41,2025-05-11
1747003080040,2025-05-11 22:38:00.040,0.718249075215783,Sell,0.9555928582328705,1.0,171.3,2025-05-11
1747003080040,2025-05-11 22:38:00.040,1.2710458468781525,Sell,1.0,1.0,171.27,2025-05-11
1747003080040,2025-05-11 22:38:00.040,0.7652729514628405,Sell,1.0,1.0,171.24,2025-05-11
1747003080053,2025-05-11 22:38:00.053,1.1197175204573477,Sell,1.0,1.0,171.26,2025-05-11
1747003081165,2025-05-11 22:38:01.165,0.9765726248629251,Buy,1.0,1.0,171.45,2025-05-11
1747003171134,2025-05-11 22:39:31.134,0.7010014306151645,Buy,0.9641993226898886,0.9666666666666667,171.71,2025-05-11
1747003516108,2025-05-11 22:45:16.108,1.5423382030941528,Buy,0.9302785265049417,0.9666666666666667,171.22,2025-05-11
