event_idx,timestamp,datetime,event_price,direction,flow_impact,imbalance,max_run,ret_5s,price_5s,ret_15s,price_15s,ret_30s,price_30s,ret_60s,price_60s,ret_120s,price_120s,ret_300s,price_300s,classification
1658,1747033705011,2025-05-12 07:08:25.011,176.23,Sell,120.47906227631124,0.7320616662482987,439,-63.55331101401604,177.35,-73.19979572150147,177.52,-54.47426658344255,177.19,-82.27884015207496,177.68,-124.26942064347715,178.42,-131.0787039664077,178.54,Reversal
1659,1747033705012,2025-05-12 07:08:25.012,175.8,Sell,120.69273443092838,0.7311585618098903,439,-88.16837315130734,177.35,-97.83845278725818,177.52,-79.06712172923699,177.19,-106.93970420932851,177.68,-149.03299203640364,178.42,-155.8589306029568,178.54,Reversal
1660,1747033705012,2025-05-12 07:08:25.012,175.41,Sell,121.1391374373709,0.7321492542384743,439,-110.59802747847887,177.35,-120.28960720597534,177.52,-101.47654067613027,177.19,-129.41109400832394,177.68,-171.59797046918595,178.42,-178.4390855709478,178.54,Reversal
1661,1747033705012,2025-05-12 07:08:25.012,175.38,Sell,121.21062992126508,0.7323072380319734,439,-112.32751739080847,177.35,-122.02075493214818,177.52,-103.20447029307803,177.19,-131.14380202987863,177.68,-173.33789485688175,178.42,-180.18018018018,178.54,Reversal
1662,1747033705014,2025-05-12 07:08:25.014,176.25,Sell,121.41991768074972,0.7304370190178502,439,-62.41134751773018,177.35,-72.05673758865306,177.52,-53.3333333333332,177.19,-81.13475177305003,177.68,-123.12056737588583,178.42,-129.92907801418394,178.54,Reversal
1663,1747033705014,2025-05-12 07:08:25.014,176.52,Sell,121.65246957767168,0.7271291008746873,439,-47.02016768638025,177.35,-56.65080444142306,177.52,-37.95603897575274,177.19,-65.71493315205056,177.68,-107.63652843870254,178.42,-114.43462497167356,178.54,Reversal
1664,1747033705014,2025-05-12 07:08:25.014,176.6,Sell,121.88600572656212,0.7238198852149358,439,-42.468856172140434,177.35,-52.0951302378265,177.52,-33.408833522083995,177.19,-61.15515288788293,177.68,-103.05775764439373,178.42,-109.85277463193644,178.54,Reversal
1665,1747033705014,2025-05-12 07:08:25.014,176.67,Sell,122.37705798139386,0.716902856357392,439,-38.48983981434352,177.35,-48.112299767930196,177.52,-29.433406916851208,177.19,-57.16873266542251,177.68,-99.05473481632423,178.42,-105.84705948944386,178.54,Reversal
1666,1747033705017,2025-05-12 07:08:25.017,176.0,Sell,122.71045096636168,0.7152263506517492,439,-76.70454545454513,177.35,-86.36363636363694,177.52,-67.61363636363623,177.19,-95.45454545454584,177.68,-137.4999999999993,178.42,-144.31818181818136,178.54,Reversal
1667,1747033705019,2025-05-12 07:08:25.019,176.29,Sell,122.8481567645006,0.7135192734482273,439,-60.12819785580591,177.35,-69.77139939871905,177.52,-51.05224346247692,177.19,-78.84735379204804,177.68,-120.82364286119437,178.42,-127.06336150660896,178.53,Reversal
1668,1747033705023,2025-05-12 07:08:25.023,176.22,Sell,123.48255189692723,0.7140635676766252,439,-64.12438996708633,177.35,-73.77142208602947,177.52,-55.044830325729144,177.19,-82.85098172738667,177.68,-124.84394506866352,178.42,-131.08614232209752,178.53,Reversal
1669,1747033705025,2025-05-12 07:08:25.025,176.22,Sell,124.814871152475,0.7170770453879206,439,-64.69186244467227,177.36,-73.77142208602947,177.52,-55.044830325729144,177.19,-82.85098172738667,177.68,-124.84394506866352,178.42,-131.08614232209752,178.53,Reversal
1670,1747033705025,2025-05-12 07:08:25.025,175.91,Sell,131.54563350036344,0.731236319460422,439,-82.42851458132097,177.36,-91.52407481098368,177.52,-72.76448183730324,177.19,-100.61963504064637,177.68,-142.68660110283616,178.42,-148.93979876073018,178.53,Reversal
1671,1747033705026,2025-05-12 07:08:25.026,175.85,Sell,134.72127773801554,0.7375237854872942,439,-85.86863804378841,177.36,-94.96730167756701,177.52,-76.20130793289755,177.19,-104.06596531134561,177.68,-146.14728461757142,178.42,-152.4026158657951,178.53,Reversal
1672,1747033705028,2025-05-12 07:08:25.028,176.09,Sell,134.77720114531695,0.7374667224335726,439,-72.12221023340395,177.36,-81.20847293997426,177.52,-62.468056107671885,177.19,-90.29473564654457,177.68,-132.31870066443204,178.42,-138.56550627520005,178.53,Reversal
1673,1747033705030,2025-05-12 07:08:25.030,176.21,Sell,136.3604151753814,0.7400135436270265,439,-65.26303842006729,177.36,-74.3431133306851,177.52,-55.615458827534745,177.19,-83.42318824130291,177.68,-125.41853470291014,178.42,-131.6610862039608,178.53,Reversal
1674,1747033705034,2025-05-12 07:08:25.034,176.22,Sell,136.51037938440084,0.7383209669384774,439,-64.69186244467227,177.36,-73.77142208602947,177.52,-55.044830325729144,177.19,-82.85098172738667,177.68,-124.84394506866352,178.42,-131.08614232209752,178.53,Reversal
1675,1747033705034,2025-05-12 07:08:25.034,175.87,Sell,136.72548317824487,0.7387326542953074,439,-84.72166941490924,177.36,-93.81929834536905,177.52,-75.0554386762946,177.19,-102.91692727582887,177.68,-144.99346107920528,178.42,-151.24808096889728,178.53,Reversal
1676,1747033705034,2025-05-12 07:08:25.034,175.54,Sell,137.7581424481089,0.7406911602802175,439,-103.68007291785472,177.36,-112.79480460294054,177.52,-93.99567050244991,177.19,-121.90953628802637,177.68,-164.0651703315481,178.42,-170.3315483650455,178.53,Reversal
1677,1747033705036,2025-05-12 07:08:25.036,176.26,Sell,139.2543843951384,0.7434696367747616,439,-62.40780664926942,177.36,-71.48530579825369,177.52,-52.76296380347254,177.19,-80.56280494723794,177.68,-122.54623851128994,178.42,-128.78701917621754,178.53,Reversal
1678,1747033705038,2025-05-12 07:08:25.038,175.98,Sell,139.55699713672763,0.7434578303751705,439,-78.41800204568837,177.36,-87.5099443118548,177.52,-68.75781338788545,177.19,-96.60188657802121,177.68,-138.65211955904067,178.42,-144.902829867031,178.53,Reversal
1679,1747033705038,2025-05-12 07:08:25.038,175.35,Sell,140.68772369363543,0.74551969502509,439,-114.627887082978,177.36,-123.75249500998095,177.52,-104.93299116053626,177.19,-132.8771029369839,177.68,-175.0784145993723,178.42,-181.35158254918773,178.53,Reversal
1680,1747033705038,2025-05-12 07:08:25.038,175.31,Sell,140.88698997853172,0.7458796242489264,439,-116.93571387827342,177.36,-126.0624037419433,177.52,-107.23860589812307,177.19,-135.18909360561318,177.68,-177.40003422508616,178.42,-183.6746335063601,178.53,Reversal
1681,1747033705038,2025-05-12 07:08:25.038,175.27,Sell,141.0025053686535,0.7460878107223939,439,-119.24459405488693,177.36,-128.37336680550007,177.52,-109.54527300735934,177.19,-137.5021395561132,177.68,-179.7227135276988,178.42,-185.99874479374625,178.53,Reversal
1682,1747033705038,2025-05-12 07:08:25.038,175.25,Sell,141.10164638511745,0.7462662148245606,439,-120.39942938659136,177.36,-129.5292439372331,177.52,-110.6990014265334,177.19,-138.65905848787486,177.68,-180.88445078459273,178.42,-187.16119828815985,178.53,Reversal
1683,1747033705038,2025-05-12 07:08:25.038,175.2,Sell,141.2834645669358,0.7465927457149792,439,-123.28767123287815,177.36,-132.42009132420216,177.52,-113.58447488584528,177.19,-141.55251141552617,177.68,-183.7899543378995,178.42,-190.06849315068564,178.53,Reversal
1684,1747033705038,2025-05-12 07:08:25.038,175.16,Sell,141.52308518254085,0.7470218036470632,439,-125.59945192966528,177.36,-134.73395752454977,177.52,-115.89403973509941,177.19,-143.86846311943424,177.68,-186.11555149577478,178.42,-192.39552409225877,178.53,Reversal
1685,1747033705038,2025-05-12 07:08:25.038,175.12,Sell,141.65363278454532,0.7472549476635215,439,-127.91228871630933,177.36,-137.04888076747406,177.52,-118.20465966194571,177.19,-146.18547281863877,177.68,-188.4422110552754,178.42,-194.72361809045205,178.53,Reversal
1686,1747033705041,2025-05-12 07:08:25.041,176.25,Sell,141.97807802434497,0.7462909966113201,439,-62.978723404256094,177.36,-72.05673758865306,177.52,-53.3333333333332,177.19,-81.13475177305003,177.68,-123.68794326241174,178.43,-129.36170212765964,178.53,Reversal
1687,1747033705043,2025-05-12 07:08:25.043,176.34,Sell,142.20365068003574,0.7435511191315898,439,-57.84280367471987,177.36,-66.9161846433031,177.52,-48.20233639559908,177.19,-75.98956561188632,177.68,-118.5210389021211,178.43,-124.19190200748541,178.53,Reversal
1688,1747033705043,2025-05-12 07:08:25.043,175.64,Sell,142.7290622763136,0.744460047393974,439,-97.92757913914981,177.36,-107.0371213846518,177.52,-88.24869050330285,177.19,-116.14666363015375,177.68,-158.84764290594515,178.43,-164.54110680938368,178.53,Reversal
1689,1747033705043,2025-05-12 07:08:25.043,175.44,Sell,142.77863278454572,0.7445487668688509,439,-109.439124487005,177.36,-118.5590515275885,177.52,-99.74920200638395,177.19,-127.67897856817197,177.68,-170.42863657090797,178.43,-176.12859097127242,178.53,Reversal
1690,1747033705043,2025-05-12 07:08:25.043,175.09,Sell,144.28999642090946,0.7472244873913774,439,-129.6476098006745,177.36,-138.78576731966456,177.52,-119.9383174367465,177.19,-147.92392483865459,177.68,-190.7590382089213,178.43,-196.47038665828987,178.53,Reversal
1691,1747033705043,2025-05-12 07:08:25.043,175.05,Sell,144.4397816750256,0.74748661769891,439,-131.9622964867182,177.36,-141.1025421308197,177.52,-122.25078548985925,177.19,-150.24278777492117,177.68,-193.0876892316478,178.43,-198.80034275921108,178.53,Reversal
1692,1747033705043,2025-05-12 07:08:25.043,175.0,Sell,144.8281138153264,0.7481636897094494,439,-134.85714285714363,177.36,-144.0000000000006,177.52,-125.14285714285701,177.19,-153.14285714285754,177.68,-196.00000000000037,178.43,-201.71428571428575,178.53,Reversal
